datatype,sampling,time_step,max_features,min_samples_leaf,min_samples_split,max_depth,n_estimators,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,2,3,8,2,5,0.011408398364920117,0.17700573545054576,0.49133885438233266,0.11237490636621501,0.8360498193221305,0.046553399013992816,0.5027472527472527,0.18588841350197838
Non_temporal,SMOTE,8,2,3,8,2,10,0.10095822052343795,0.16477750441626363,0.4649758454106281,0.04703552468938738,0.8115848201660558,0.053572820111468154,0.565934065934066,0.14183205052417097
Non_temporal,SMOTE,8,2,3,8,2,20,0.01751075011944579,0.1844831573294087,0.4458592132505175,0.0856408861806448,0.8381822081822082,0.05681817532486736,0.46336996336996333,0.1972332748933114
Non_temporal,SMOTE,8,2,3,8,2,30,0.1205101661623401,0.15140074224253972,0.47198067632850244,0.06651611094783993,0.8048098730629524,0.04893609744025723,0.5924908424908425,0.11045717547029493
Non_temporal,SMOTE,8,2,3,8,5,5,0.1288474810213941,0.13575498367613406,0.3235334713595583,0.06349232604140514,0.7885546846943906,0.05216390707709419,0.4523809523809524,0.12837508358150224
Non_temporal,SMOTE,8,2,3,8,5,10,0.07234432234432235,0.10110645064195563,0.36904761904761907,0.06116132080761816,0.8126114081996435,0.04212647559012003,0.4413919413919414,0.09225025831108444
Non_temporal,SMOTE,8,2,3,8,5,20,0.07793173010564315,0.12703652727713563,0.3378191856452726,0.066086172408207,0.8078322184190303,0.05252240842639878,0.4157509157509158,0.10375098196533732
Non_temporal,SMOTE,8,2,3,8,5,30,0.10013802622498279,0.13762269869224789,0.3403381642512077,0.08434097672893866,0.8013016075995615,0.047331101633509676,0.44047619047619047,0.13726797715158756
Non_temporal,SMOTE,8,2,3,8,10,5,0.03206455380368425,0.1127412065221022,0.28295376121463073,0.04199304706045064,0.8305552389497258,0.05094376122147708,0.315018315018315,0.13105160307691074
Non_temporal,SMOTE,8,2,3,8,10,10,0.05152625152625154,0.1547694675753067,0.2515873015873016,0.06331877851985515,0.8106621525838387,0.09406914387932126,0.3031135531135531,0.13096518803123333
Non_temporal,SMOTE,8,2,3,8,10,20,0.08401284705632532,0.12958773566275497,0.21818495514147687,0.031303000550377325,0.7961437908496731,0.0682831387618713,0.30219780219780223,0.13484879219194112
Non_temporal,SMOTE,8,2,3,8,10,30,0.039358708923926324,0.1361293925612206,0.22529330572808837,0.054634122731996984,0.8147017241444486,0.07084842239106842,0.26465201465201466,0.11118362632554159
Non_temporal,SMOTE,8,2,3,10,2,5,0.09357647183734141,0.08664947833632713,0.4503795721187025,0.06776036907324559,0.8132221094809567,0.026575967571538548,0.5439560439560439,0.10006438373368302
Non_temporal,SMOTE,8,2,3,10,2,10,0.06905558209906039,0.1589555162770688,0.48405797101449277,0.060836223221806554,0.8216912963302566,0.045634338813990476,0.5531135531135531,0.1536716261055167
Non_temporal,SMOTE,8,2,3,10,2,20,0.0881032011466794,0.09316670318699175,0.4412008281573499,0.08039829153073183,0.8131241797116604,0.030240542770345442,0.5293040293040293,0.09999731644482561
Non_temporal,SMOTE,8,2,3,10,2,30,0.11246482985613422,0.1960879335078987,0.44064872325741894,0.10721344175258835,0.798825697669332,0.06832118444657331,0.5531135531135531,0.1402504741324296
Non_temporal,SMOTE,8,2,3,10,5,5,0.19549025853373678,0.17474500750477515,0.3951690821256039,0.07784694384471218,0.7774910031488979,0.057579969233538954,0.5906593406593407,0.16604410149737997
Non_temporal,SMOTE,8,2,3,10,5,10,0.09867282475978129,0.1696504312860892,0.3427191166321601,0.07501566602323308,0.8003740197209087,0.06099795695672849,0.4413919413919414,0.13554350997859624
Non_temporal,SMOTE,8,2,3,10,5,20,0.10724637681159421,0.14598947294238415,0.3451345755693582,0.051185634925472456,0.800218155934131,0.05439899762017402,0.45238095238095233,0.13584015854057627
Non_temporal,SMOTE,8,2,3,10,5,30,0.07789722354939747,0.12418183416368807,0.3378536922015183,0.07402145342512051,0.8098602988953867,0.04969991798615656,0.4157509157509158,0.12128082879958463
Non_temporal,SMOTE,8,2,3,10,10,5,0.1258055953708128,0.1368652303378059,0.2395790200138026,0.061240310797829496,0.7715520282186948,0.06809098752622662,0.3653846153846154,0.12900392177883402
Non_temporal,SMOTE,8,2,3,10,10,10,0.07274778361734884,0.09094057924568076,0.2422705314009662,0.02860202217454227,0.8082172054998141,0.04793273639966253,0.31501831501831506,0.11502064811800426
Non_temporal,SMOTE,8,2,3,10,10,20,0.09778361734883474,0.1224736021135065,0.2300552104899931,0.04373717914671597,0.7909068056126879,0.06429087680896818,0.3278388278388278,0.1258416365296841
Non_temporal,SMOTE,8,2,3,10,10,30,0.07683548335722248,0.16565869314698836,0.2253623188405797,0.056155102828954355,0.7927569294846183,0.09512278891614911,0.3021978021978022,0.14197388261013547
Non_temporal,SMOTE,8,2,3,12,2,5,0.07451558103732017,0.10495787724518627,0.5079020013802623,0.08937582427764595,0.8177852190683975,0.03215663591524592,0.5824175824175823,0.07177991920243745
Non_temporal,SMOTE,8,2,3,12,2,10,0.07671603758560279,0.0932859047381271,0.4287784679089028,0.11438956184433488,0.8134982895053228,0.035819333241097887,0.5054945054945055,0.09971177720744467
Non_temporal,SMOTE,8,2,3,12,2,20,0.17720709242448374,0.12379170226005287,0.45282953761214634,0.07014778910480697,0.7900987792587205,0.03833024593321661,0.6300366300366301,0.12427249416620785
Non_temporal,SMOTE,8,2,3,12,2,30,0.07595954769867816,0.13053805292077778,0.467080745341615,0.0891333403395793,0.8148847376788554,0.04717865112551873,0.543040293040293,0.0932673313647067
