datatype,sampling,time_step,solver,shrinkage,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,svd,,0.49516550522648084,0.08119408878845216,0.21376306620209057,0.050072385858367645,0.607450356660883,0.05877149523197936,0.7089285714285715,0.0790771065195876
Non_temporal,SMOTE,8,lsqr,0.0,0.49516550522648084,0.08119408878845216,0.21376306620209057,0.050072385858367645,0.607450356660883,0.05877149523197936,0.7089285714285715,0.0790771065195876
Non_temporal,SMOTE,8,lsqr,0.01,0.4270760743321719,0.08533535670256691,0.25685249709639957,0.06790008690040185,0.6586196401637578,0.044764349681239816,0.6839285714285714,0.08185119025975601
Non_temporal,SMOTE,8,lsqr,0.02,0.343931475029036,0.15446438106135083,0.3024970963995354,0.09056085474083125,0.7054403731803113,0.06347107267678868,0.6464285714285715,0.14370285384807652
Non_temporal,SMOTE,8,lsqr,0.03,0.30696864111498257,0.17116829652162574,0.3144599303135889,0.0886446919087798,0.7227041963884069,0.06545359777194343,0.6214285714285714,0.15563398978214946
Non_temporal,SMOTE,8,lsqr,0.04,0.28738385598141697,0.18738596837428007,0.32154471544715446,0.08220832884641312,0.7297927511085406,0.07323044198493636,0.6089285714285715,0.149712735133737
Non_temporal,SMOTE,8,lsqr,0.05,0.2748257839721254,0.2105744027333868,0.321602787456446,0.08514663676189377,0.7339660855140732,0.08159135913136732,0.5964285714285714,0.1722450793112499
Non_temporal,SMOTE,8,lsqr,0.06,0.2701219512195122,0.20064796491685824,0.32630662020905926,0.08610864979833192,0.7377817186253719,0.0763797374682664,0.5964285714285714,0.1722450793112499
Non_temporal,SMOTE,8,lsqr,0.07,0.2605981416957027,0.19811189581514677,0.3358304297328688,0.0902114786811389,0.7436073403720462,0.07242682109592515,0.5964285714285714,0.1722450793112499
Non_temporal,SMOTE,8,lsqr,0.08,0.24083914053426247,0.175371247923515,0.343089430894309,0.0872827515684721,0.7523634831800468,0.06514898429162586,0.5839285714285715,0.15527501934520266
Non_temporal,SMOTE,8,lsqr,0.09,0.21875725900116144,0.186311111585526,0.35267131242741,0.08839164551265433,0.7637755603815976,0.06877329008087354,0.5714285714285714,0.17532768155190825
Non_temporal,SMOTE,8,lsqr,0.1,0.21155632984901276,0.18461532449119905,0.35987224157955866,0.08919416380366854,0.7678450147490394,0.06654390566710136,0.5714285714285714,0.17532768155190825
Non_temporal,SMOTE,8,lsqr,0.11,0.2015534262485482,0.19233065756848947,0.3573751451800232,0.08633188889202922,0.7699545495211131,0.0700534830948745,0.5589285714285714,0.17551854660998542
Non_temporal,SMOTE,8,lsqr,0.12,0.16941056910569105,0.19777406717553797,0.3645180023228804,0.0876487475266453,0.781454478526763,0.07014016729696418,0.5339285714285714,0.18201150726124488
Non_temporal,SMOTE,8,lsqr,0.13,0.17661149825783973,0.19911519576862402,0.35731707317073175,0.08325875735682695,0.7783771211015793,0.0712828222960922,0.5339285714285714,0.18201150726124488
Non_temporal,SMOTE,8,lsqr,0.14,0.15982868757259,0.19946341932503564,0.3740998838559814,0.07936674124583182,0.786991654716113,0.06847049608955388,0.5339285714285714,0.18201150726124488
Non_temporal,SMOTE,8,lsqr,0.15,0.14256678281068527,0.2013926690925911,0.37886178861788616,0.07891949740921239,0.7937037412565748,0.06846722673331783,0.5214285714285715,0.18810277260376704
Non_temporal,SMOTE,8,lsqr,0.16,0.14018583042973287,0.20003351421768098,0.38124274099883854,0.07858679275979853,0.7948942174470509,0.06779719545667799,0.5214285714285715,0.18810277260376704
Non_temporal,SMOTE,8,lsqr,0.17,0.12536295005807202,0.21177762111955856,0.3835656213704994,0.0757692858264819,0.8010023185822417,0.07006651816616222,0.5089285714285714,0.20112090231236227
Non_temporal,SMOTE,8,lsqr,0.18,0.12536295005807202,0.21332598925790033,0.3835656213704994,0.07197005881153402,0.8007859391011565,0.07112297059948064,0.5089285714285714,0.20112090231236227
Non_temporal,SMOTE,8,lsqr,0.19,0.09381533101045296,0.2152474178310877,0.3883275261324041,0.07003833418048733,0.8108688292383943,0.07044175639789763,0.4821428571428571,0.20203050891044214
Non_temporal,SMOTE,8,lsqr,0.2,0.09619628339140536,0.21571038388282063,0.38594657375145175,0.06651777941165124,0.8100995984691636,0.07051420739420165,0.4821428571428571,0.20203050891044214
Non_temporal,SMOTE,8,lsqr,0.21,0.09857723577235775,0.21855869580683182,0.3835656213704994,0.06622717396722337,0.8089138277181755,0.07178589159396703,0.4821428571428571,0.20203050891044214
Non_temporal,SMOTE,8,lsqr,0.22,0.09375725900116146,0.21794476923239048,0.38838559814169565,0.06527758817204049,0.8108348925868107,0.07122191466356835,0.4821428571428571,0.20203050891044214
Non_temporal,SMOTE,8,lsqr,0.23,0.09137630662020908,0.21745985652984007,0.3907665505226481,0.0687771938408419,0.8116041233560415,0.07114223433807391,0.4821428571428571,0.20203050891044214
Non_temporal,SMOTE,8,lsqr,0.24,0.09137630662020908,0.21745985652984007,0.3907665505226481,0.0687771938408419,0.8116041233560415,0.07114223433807391,0.4821428571428571,0.20203050891044214
Non_temporal,SMOTE,8,lsqr,0.25,0.08661440185830431,0.2137062881847407,0.3955284552845528,0.07118759100620502,0.8135968769792299,0.06976522359072955,0.4821428571428571,0.20203050891044214
Non_temporal,SMOTE,8,lsqr,0.26,0.06697154471544717,0.19958225810610386,0.40267131242741006,0.07292891849890117,0.8196066642933649,0.06531819040153733,0.46964285714285714,0.18848381352037546
