datatype,sampling,time_step,penalty,C,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,l1,0.001,,,,,,,,
Non_temporal,SMOTE,8,l1,0.01,,,,,,,,
Non_temporal,SMOTE,8,l1,0.05,0.00592451027233637,0.07535526137077565,0.5105590062111802,0.04941102700519145,0.839897168221233,0.022856151137368174,0.5164835164835165,0.10289063666804499
Non_temporal,SMOTE,8,l1,0.1,0.20248181769920903,0.16173855342085117,0.42663906142167,0.048190329996469695,0.7826736446016267,0.04667556812438696,0.6291208791208791,0.16433838449064397
Non_temporal,SMOTE,8,l1,1.5,0.5039417104634496,0.10552251380948836,0.20393374741200831,0.02749442905916697,0.6043833359622833,0.029626437255138388,0.7078754578754579,0.12254991937273137
Non_temporal,SMOTE,8,l1,10.0,0.4855815681902638,0.13597345842042283,0.19665286404416837,0.02980226007495089,0.6059920523233217,0.04394642070817225,0.6822344322344321,0.15181868740579052
Non_temporal,SMOTE,8,l2,0.001,-0.022084195997239448,0.11560279845847501,0.46256038647342995,0.04879974963250624,0.8465313433336689,0.03732150549081888,0.4404761904761905,0.10465634811230491
Non_temporal,SMOTE,8,l2,0.01,0.03706269575834797,0.10789834421608108,0.4290545203588682,0.05575687197740661,0.8278459329816651,0.03622801231362544,0.4661172161172162,0.09697019583996341
Non_temporal,SMOTE,8,l2,0.05,0.1944922227530923,0.06542853055225305,0.37418909592822636,0.04394726609144933,0.7753602341837635,0.025310070602897496,0.5686813186813187,0.062142994788730956
Non_temporal,SMOTE,8,l2,0.1,0.21785581568190263,0.10894291950725017,0.3526570048309179,0.04076496541546035,0.7636260955995301,0.038922299656813854,0.5705128205128206,0.07824715138290836
Non_temporal,SMOTE,8,l2,1.5,0.4903647077560121,0.11414610916679427,0.23033126293995856,0.035830518693013735,0.6264534928303044,0.05011256642221756,0.7206959706959707,0.11605494569082299
Non_temporal,SMOTE,8,l2,10.0,0.4807506503158678,0.12365310843685244,0.20148378191856453,0.03931120707180911,0.6103339732848508,0.0314310434235985,0.6822344322344321,0.15181868740579052
Non_temporal,SMOTE,12,l1,0.001,,,,,,,,
Non_temporal,SMOTE,12,l1,0.01,,,,,,,,
Non_temporal,SMOTE,12,l1,0.05,-0.06828051175877262,0.05848045147942849,0.4904416839199448,0.054175436167078324,0.8534508697217298,0.017492302480741257,0.4221611721611722,0.05187549098266867
Non_temporal,SMOTE,12,l1,0.1,0.06902638424377555,0.13510783214671634,0.45203588681849555,0.06940170102844041,0.8141743221331136,0.040593171020815416,0.521062271062271,0.14191775769206003
Non_temporal,SMOTE,12,l1,1.5,0.5957026065721719,0.07471941558637417,0.18909592822636298,0.04989628942325598,0.5406185303586942,0.05435480411402014,0.7847985347985348,0.08090284895075013
Non_temporal,SMOTE,12,l1,10.0,0.6004645113340765,0.0933007524454669,0.18433402346445824,0.037934681813383914,0.5371712292002147,0.05589180115967232,0.7847985347985348,0.09080722020002999
Non_temporal,SMOTE,12,l2,0.001,-0.04352073047725222,0.05469956434775147,0.47850241545893724,0.03316431924420539,0.8473777348777349,0.012143048537605342,0.43498168498168494,0.05312144693140357
Non_temporal,SMOTE,12,l2,0.01,-0.0006290810638636865,0.06783604124326498,0.4475155279503105,0.050702485268583536,0.8342039499578884,0.016427424921986362,0.44688644688644685,0.05811952986308583
Non_temporal,SMOTE,12,l2,0.05,0.2247385464776769,0.13234112383447744,0.40438233264320217,0.04858686091516621,0.7666773474395979,0.03518822522006436,0.6291208791208792,0.14834316893417113
Non_temporal,SMOTE,12,l2,0.1,0.31868397303179913,0.1688061520589941,0.34706694271911664,0.06201864035605553,0.7261147669912038,0.05323771123151225,0.6657509157509157,0.17683479774530414
Non_temporal,SMOTE,12,l2,1.5,0.5359372511546425,0.1022736601542517,0.22505175983436854,0.0691837779350065,0.5891337766337766,0.059808311970332054,0.7609890109890111,0.10505622863102315
Non_temporal,SMOTE,12,l2,10.0,0.6170966714444975,0.06470949359859224,0.1915113871635611,0.04584055410412544,0.5378724914723044,0.04688134442515892,0.8086080586080585,0.06573662950491983
Non_temporal,SMOTE,24,l1,0.001,,,,,,,,
Non_temporal,SMOTE,24,l1,0.01,,,,,,,,
Non_temporal,SMOTE,24,l1,0.05,0.2681469873371282,0.028574649126114397,0.3527321335419927,0.04808499753811998,0.7535204459981991,0.01740699933463243,0.6208791208791209,0.0570123898031992
Non_temporal,SMOTE,24,l1,0.1,0.4066260096189674,0.10654521437505322,0.24996739697443923,0.023080294100552002,0.6727581060914395,0.050747008191854306,0.6565934065934066,0.08982298200149348
