USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA_ARS,GOES_CLASS,PEAK_TIME
1.339794e+22,113.333,0.00381736,2459.079,6.264,738.474,42.116,0.01249102,28.678,113.232,0.09691762,15998750000000.0,5272682000000.0,6.720293e+22,23.816,549.86676,3.633,78.554,211,11112,M2.9,2010.10.11_19:12_TAI
1.998731e+22,109.875,-0.00233996,9718.563,36.788,1572.022,62.037,-0.00507156,48.253,112.537,0.00670886,33286900000000.0,1506881000000.0,3.944797e+23,39.821,969.20697,4.05,71.516,345,11149,M1.3,2011.01.23_01:03_TAI
1.044454e+21,179.411,-0.02595701,3140.027,17.053,123.512,95.07,-0.06677198,42.538,177.209,0.40945435,2318064000000.0,1374942000000.0,6.6513e+21,28.947,70.198647,2.607,41.401,362,11153,M1.9,2011.02.04_01:31_TAI
8.773099e+20,136.215,0.00600663,2743.054,20.124,71.072,61.832,0.01912862,38.627,135.684,0.54365796,1589258000000.0,416309500000.0,5.304058e+21,31.828,32.643776,1.91,8.746,377,11158,M1.0,2011.02.11_01:39_TAI
1.496598e+22,112.35,0.02447373,11278.95,52.106,2253.719,85.785,0.06066216,60.387,118.861,0.10946212,40432100000000.0,18921730000000.0,3.99728e+23,49.913,700.031982,4.742,653.106,377,11158,M6.6,2011.02.13_10:11_TAI
1.887866e+21,147.988,-0.00997861,2263.679,8.196,162.915,69.37,-0.03489998,34.901,147.401,1.09114611,3534135000000.0,1747805000000.0,9.316419e+21,24.615,202.773529,2.923,30.924,394,11165,M1.3,2011.03.03_02:29_TAI
2.187258e+21,152.921,-0.00377763,2273.86,7.118,188.591,76.059,-0.01256463,35.272,149.292,0.54814065,3944245000000.0,975557900000.0,1.039411e+22,24.792,227.555679,2.817,13.003,394,11165,M5.3,2011.03.03_10:44_TAI
3.108643e+22,74.944,-0.00034248,10906.5,40.167,1773.857,45.628,-0.00064421,47.962,81.739,0.14749876,31661590000000.0,3260483000000.0,6.191176e+23,40.574,1015.133423,4.435,14.639,401,11166,X1.5,2011.03.04_23:23_TAI
2.785602e+22,72.35,0.00122905,4309.158,13.791,1187.094,35.021,0.0032266,33.225,75.965,0.04705349,22921590000000.0,3825602000000.0,2.303407e+23,26.267,518.785461,4.01,49.468,833,11283,M5.3,2011.09.01_01:50_TAI
2.195433e+22,105.216,-0.00547821,6967.235,32.311,1680.443,58.888,-0.01505363,46.053,106.341,0.18999165,36309860000000.0,7213087000000.0,3.273178e+23,38.535,1211.86792,4.042,193.781,833,11283,M6.7,2011.09.03_15:46_TAI
