USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA_ARS,GOES_CLASS,PEAK_TIME
7.533638e+21,97.849,-0.01156183,9368.431,40.982,535.332,55.786,-0.02915791,49.881,99.496,0.15515408,11202150000000.0,2827878000000.0,1.578976e+23,40.491,587.5849,3.194,146.731,115,11099,C4.4,2010.08.11_22:05_TAI
2.402593e+22,75.7,0.00684112,4736.845,15.951,1358.068,40.722,0.01648957,35.21,81.397,-0.04378976,22613270000000.0,7503135000000.0,2.118218e+23,26.944,479.388367,4.22,230.347,115,11099,C4.5,2010.08.15_17:48_TAI
4.897015e+21,123.5,0.00098276,4720.558,30.626,478.127,76.682,0.00268721,49.63,122.266,0.57820153,9923370000000.0,2448190000000.0,5.178912e+22,38.384,264.007629,3.29,8.119,377,11158,X2.2,2011.02.12_13:56_TAI
3.088724e+22,77.069,-0.00166811,10962.34,40.143,1757.985,46.729,-0.00311986,47.884,83.684,0.12036981,31952820000000.0,2633205000000.0,6.155176e+23,40.431,991.221619,4.375,70.524,401,11166,M2.0,2011.03.05_02:30_TAI
4.529095e+22,99.7,0.00714436,12002.91,38.151,3675.843,58.148,0.01423601,47.188,107.809,0.16427773,71784890000000.0,31392450000000.0,1.043315e+24,41.025,1912.398682,5.029,467.598,393,11164,M3.7,2011.03.05_08:12_TAI
2.042674e+22,118.219,0.00717971,5657.062,26.244,1582.188,61.086,0.02116901,42.911,118.532,0.36731702,33356210000000.0,11771720000000.0,2.519202e+23,34.859,1228.67395,4.111,240.736,637,11226,M2.5,2011.06.04_18:41_TAI
2.118057e+22,109.366,-0.00537454,11102.23,47.955,2760.164,77.095,-0.01421189,57.091,115.29,0.21127777,52105980000000.0,4245411000000.0,5.465991e+23,46.629,1263.426025,4.674,199.245,750,11261,M6.0,2011.08.01_01:48_TAI
2.157739e+22,108.761,0.02008734,12668.07,45.756,2795.486,77.695,0.05081043,55.563,114.8,0.28480303,49905830000000.0,34376150000000.0,6.083305e+23,45.528,1334.375,4.854,726.318,750,11261,M9.3,2011.08.01_15:57_TAI
3.228063e+22,91.138,0.01686228,12053.99,46.477,2588.395,56.413,0.03617712,52.994,98.142,-0.01113151,51346960000000.0,32524720000000.0,8.140029e+23,46.382,1213.128052,4.697,857.413,753,11263,X6.9,2011.08.06_20:05_TAI
1.896573e+22,110.549,-0.00192686,7619.805,36.424,1768.426,65.641,-0.00560713,49.448,112.962,0.49223676,38432810000000.0,8598487000000.0,3.30248e+23,40.923,1312.648193,4.256,62.879,833,1283,X2.1,2011.09.04_10:20_TAI
1.753176e+22,111.959,0.00114351,7885.827,37.458,1708.476,68.752,0.00350153,51.626,112.377,0.55233043,37164340000000.0,9331965000000.0,3.307497e+23,41.419,1434.655396,4.289,36.114,833,11283,X1.8,2011.09.05_10:38_TAI
