Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
flare_linked,12,0.001,0.01,0.0,0.0,0.0,0.0
flare_linked,12,0.001,0.07,0.0,0.0,0.0,0.0
flare_linked,12,0.001,0.001,0.0,0.0,0.0,0.0
flare_linked,12,0.001,0.005,0.0,0.0,0.0,0.0
flare_linked,12,0.001,0.0001,0.0,0.0,0.0,0.0
flare_linked,12,0.01,1.0,0.0,0.0,0.0,0.0
flare_linked,12,0.01,0.1,0.0,0.0,0.0,0.0
flare_linked,12,0.01,0.01,0.0,0.0,0.0,0.0
flare_linked,12,0.01,0.07,0.0,0.0,0.0,0.0
flare_linked,12,0.01,0.001,0.0,0.0,0.0,0.0
flare_linked,12,0.01,0.005,0.0,0.0,0.0,0.0
flare_linked,12,0.01,0.0001,0.0,0.0,0.0,0.0
flare_linked,12,0.1,1.0,0.0,0.0,0.0,0.0
flare_linked,12,0.1,0.1,-0.0081,0.1035,0.0073,0.112
flare_linked,12,0.1,0.01,-0.0029,0.0088,-0.0042,0.0127
flare_linked,12,0.1,0.07,-0.0329,0.1229,0.0012,0.119
flare_linked,12,0.1,0.001,0.0,0.0,0.0,0.0
flare_linked,12,0.1,0.005,0.0,0.0,0.0,0.0
flare_linked,12,0.1,0.0001,0.0,0.0,0.0,0.0
flare_linked,12,1.0,1.0,0.145,0.1248,0.1872,0.1614
flare_linked,12,1.0,0.1,0.2401,0.1407,0.2079,0.1206
flare_linked,12,1.0,0.01,-0.0381,0.1591,-0.0308,0.1177
flare_linked,12,1.0,0.07,0.164,0.1454,0.1403,0.1293
flare_linked,12,1.0,0.001,0.0017,0.1535,0.0121,0.1234
flare_linked,12,1.0,0.005,-0.0158,0.14,-0.015,0.0954
flare_linked,12,1.0,0.0001,0.0,0.0,0.0,0.0
flare_linked,12,10.0,1.0,0.1447,0.1196,0.1897,0.1545
flare_linked,12,10.0,0.1,0.5624,0.0828,0.5758,0.1008
flare_linked,12,10.0,0.01,0.247,0.1159,0.2295,0.1153
flare_linked,12,10.0,0.07,0.5768,0.1087,0.5816,0.1095
flare_linked,12,10.0,0.001,-0.0284,0.1702,-0.0193,0.1164
flare_linked,12,10.0,0.005,0.0838,0.1661,0.0672,0.1289
flare_linked,12,10.0,0.0001,0.017,0.1681,0.0156,0.1218
flare_linked,12,100.0,1.0,0.1447,0.1196,0.1897,0.1545
flare_linked,12,100.0,0.1,0.541,0.0756,0.5702,0.0984
flare_linked,12,100.0,0.01,0.6418,0.1231,0.6144,0.1059
flare_linked,12,100.0,0.07,0.6014,0.1311,0.622,0.1328
flare_linked,12,100.0,0.001,0.1744,0.2055,0.1429,0.1649
flare_linked,12,100.0,0.005,0.3946,0.0976,0.3613,0.0917
flare_linked,12,100.0,0.0001,-0.0216,0.2021,-0.0166,0.1399
flare_linked,12,1000.0,1.0,0.1447,0.1196,0.1897,0.1545
flare_linked,12,1000.0,0.1,0.5652,0.081,0.5953,0.1025
flare_linked,12,1000.0,0.01,0.7326,0.0861,0.723,0.0625
flare_linked,12,1000.0,0.07,0.5862,0.0865,0.6141,0.1048
flare_linked,12,1000.0,0.001,0.3745,0.1205,0.3348,0.1227
flare_linked,12,1000.0,0.005,0.6569,0.1038,0.6244,0.0938
flare_linked,12,1000.0,0.0001,0.0943,0.2125,0.0727,0.1532
flare_linked,12,10000.0,1.0,0.1447,0.1196,0.1897,0.1545
flare_linked,12,10000.0,0.1,0.5652,0.081,0.5953,0.1025
flare_linked,12,10000.0,0.01,0.6939,0.1202,0.7108,0.1022
flare_linked,12,10000.0,0.07,0.5862,0.0865,0.6141,0.1048
flare_linked,12,10000.0,0.001,0.4843,0.1219,0.446,0.0979
flare_linked,12,10000.0,0.005,0.7071,0.1583,0.7136,0.137
flare_linked,12,10000.0,0.0001,0.3347,0.1139,0.2669,0.0931
flare_linked,12,100000.0,1.0,0.1447,0.1196,0.1897,0.1545
flare_linked,12,100000.0,0.1,0.5652,0.081,0.5953,0.1025
