Method,Time,Layers,Alpha,Tolerance,TSS Mean,TSS Std,HSS Mean,HSS Std
only_flares,12,54,0.001,1e-06,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,0.001,1e-05,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,0.001,0.0001,0.3822,0.1153,0.3861,0.1147
only_flares,12,54,0.001,0.001,0.3233,0.1405,0.3266,0.1411
only_flares,12,72,1e-07,1e-07,0.3455,0.1028,0.3467,0.1035
only_flares,12,72,1e-07,1e-06,0.3455,0.1028,0.3467,0.1035
only_flares,12,72,1e-07,1e-05,0.3455,0.1028,0.3467,0.1035
only_flares,12,72,1e-07,0.0001,0.3273,0.0869,0.3286,0.0883
only_flares,12,72,1e-07,0.001,0.3067,0.1172,0.3068,0.1163
only_flares,12,72,1e-06,1e-07,0.3455,0.1028,0.3467,0.1035
only_flares,12,72,1e-06,1e-06,0.3455,0.1028,0.3467,0.1035
only_flares,12,72,1e-06,1e-05,0.3455,0.1028,0.3467,0.1035
only_flares,12,72,1e-06,0.0001,0.3273,0.0869,0.3286,0.0883
only_flares,12,72,1e-06,0.001,0.3067,0.1172,0.3068,0.1163
only_flares,12,72,1e-05,1e-07,0.3455,0.1028,0.3467,0.1035
only_flares,12,72,1e-05,1e-06,0.3455,0.1028,0.3467,0.1035
only_flares,12,72,1e-05,1e-05,0.3455,0.1028,0.3467,0.1035
only_flares,12,72,1e-05,0.0001,0.3273,0.0869,0.3286,0.0883
only_flares,12,72,1e-05,0.001,0.3067,0.1172,0.3068,0.1163
only_flares,12,72,0.0001,1e-07,0.3455,0.1028,0.3467,0.1035
only_flares,12,72,0.0001,1e-06,0.3455,0.1028,0.3467,0.1035
only_flares,12,72,0.0001,1e-05,0.3455,0.1028,0.3467,0.1035
only_flares,12,72,0.0001,0.0001,0.3273,0.0869,0.3286,0.0883
only_flares,12,72,0.0001,0.001,0.3067,0.1172,0.3068,0.1163
only_flares,12,72,0.001,1e-07,0.3403,0.0938,0.3418,0.095
only_flares,12,72,0.001,1e-06,0.3403,0.0938,0.3418,0.095
only_flares,12,72,0.001,1e-05,0.3403,0.0938,0.3418,0.095
only_flares,12,72,0.001,0.0001,0.332,0.0941,0.3333,0.0954
only_flares,12,72,0.001,0.001,0.3067,0.1172,0.3068,0.1163
only_flares,12,90,1e-07,1e-07,0.3554,0.114,0.359,0.114
only_flares,12,90,1e-07,1e-06,0.3554,0.114,0.359,0.114
only_flares,12,90,1e-07,1e-05,0.3554,0.114,0.359,0.114
only_flares,12,90,1e-07,0.0001,0.3328,0.1272,0.3361,0.1271
only_flares,12,90,1e-07,0.001,0.2981,0.1092,0.3019,0.1091
only_flares,12,90,1e-06,1e-07,0.3554,0.114,0.359,0.114
only_flares,12,90,1e-06,1e-06,0.3554,0.114,0.359,0.114
only_flares,12,90,1e-06,1e-05,0.3554,0.114,0.359,0.114
only_flares,12,90,1e-06,0.0001,0.3328,0.1272,0.3361,0.1271
only_flares,12,90,1e-06,0.001,0.2981,0.1092,0.3019,0.1091
only_flares,12,90,1e-05,1e-07,0.3554,0.114,0.359,0.114
only_flares,12,90,1e-05,1e-06,0.3554,0.114,0.359,0.114
only_flares,12,90,1e-05,1e-05,0.3554,0.114,0.359,0.114
only_flares,12,90,1e-05,0.0001,0.3328,0.1272,0.3361,0.1271
only_flares,12,90,1e-05,0.001,0.2981,0.1092,0.3019,0.1091
only_flares,12,90,0.0001,1e-07,0.3554,0.114,0.359,0.114
only_flares,12,90,0.0001,1e-06,0.3554,0.114,0.359,0.114
only_flares,12,90,0.0001,1e-05,0.3554,0.114,0.359,0.114
only_flares,12,90,0.0001,0.0001,0.3286,0.1301,0.3318,0.13
only_flares,12,90,0.0001,0.001,0.2981,0.1092,0.3019,0.1091
only_flares,12,90,0.001,1e-07,0.3328,0.1108,0.3362,0.1108
only_flares,12,90,0.001,1e-06,0.3328,0.1108,0.3362,0.1108
only_flares,12,90,0.001,1e-05,0.3328,0.1108,0.3362,0.1108
only_flares,12,90,0.001,0.0001,0.3334,0.1264,0.3366,0.1263
only_flares,12,90,0.001,0.001,0.3029,0.1061,0.3067,0.106
only_flares,12,108,1e-07,1e-07,0.3991,0.1326,0.4019,0.1334
only_flares,12,108,1e-07,1e-06,0.3991,0.1326,0.4019,0.1334
only_flares,12,108,1e-07,1e-05,0.3991,0.1326,0.4019,0.1334
only_flares,12,108,1e-07,0.0001,0.412,0.1291,0.4151,0.13
only_flares,12,108,1e-07,0.001,0.337,0.107,0.3392,0.1074
only_flares,12,108,1e-06,1e-07,0.3991,0.1326,0.4019,0.1334
only_flares,12,108,1e-06,1e-06,0.3991,0.1326,0.4019,0.1334
only_flares,12,108,1e-06,1e-05,0.3991,0.1326,0.4019,0.1334
only_flares,12,108,1e-06,0.0001,0.412,0.1291,0.4151,0.13
only_flares,12,108,1e-06,0.001,0.337,0.107,0.3392,0.1074
only_flares,12,108,1e-05,1e-07,0.3991,0.1326,0.4019,0.1334
only_flares,12,108,1e-05,1e-06,0.3991,0.1326,0.4019,0.1334
only_flares,12,108,1e-05,1e-05,0.3991,0.1326,0.4019,0.1334
only_flares,12,108,1e-05,0.0001,0.412,0.1291,0.4151,0.13
only_flares,12,108,1e-05,0.001,0.337,0.107,0.3392,0.1074
only_flares,12,108,0.0001,1e-07,0.3991,0.1326,0.4019,0.1334
only_flares,12,108,0.0001,1e-06,0.3991,0.1326,0.4019,0.1334
only_flares,12,108,0.0001,1e-05,0.3991,0.1326,0.4019,0.1334
only_flares,12,108,0.0001,0.0001,0.412,0.1291,0.4151,0.13
only_flares,12,108,0.0001,0.001,0.337,0.107,0.3392,0.1074
only_flares,12,108,0.001,1e-07,0.3991,0.1326,0.4019,0.1334
only_flares,12,108,0.001,1e-06,0.3991,0.1326,0.4019,0.1334
only_flares,12,108,0.001,1e-05,0.3944,0.1414,0.3971,0.1423
only_flares,12,108,0.001,0.0001,0.412,0.1291,0.4151,0.13
only_flares,12,108,0.001,0.001,0.3239,0.1109,0.3259,0.1112
flare_linked,12,18,1e-07,1e-07,0.0919,0.0845,0.1232,0.1112
flare_linked,12,18,1e-07,1e-06,0.0919,0.0845,0.1232,0.1112
flare_linked,12,18,1e-07,1e-05,0.0919,0.0845,0.1232,0.1112
flare_linked,12,18,1e-07,0.0001,0.0465,0.0629,0.0659,0.0874
flare_linked,12,18,1e-07,0.001,0.0,0.0,0.0,0.0
flare_linked,12,18,1e-06,1e-07,0.0919,0.0845,0.1232,0.1112
flare_linked,12,18,1e-06,1e-06,0.0919,0.0845,0.1232,0.1112
flare_linked,12,18,1e-06,1e-05,0.0919,0.0845,0.1232,0.1112
flare_linked,12,18,1e-06,0.0001,0.0465,0.0629,0.0659,0.0874
flare_linked,12,18,1e-06,0.001,0.0,0.0,0.0,0.0
flare_linked,12,18,1e-05,1e-07,0.0828,0.0679,0.1122,0.0906
flare_linked,12,18,1e-05,1e-06,0.0828,0.0679,0.1122,0.0906
flare_linked,12,18,1e-05,1e-05,0.0828,0.0679,0.1122,0.0906
flare_linked,12,18,1e-05,0.0001,0.0465,0.0629,0.0659,0.0874
flare_linked,12,18,1e-05,0.001,0.0,0.0,0.0,0.0
flare_linked,12,18,0.0001,1e-07,0.0828,0.0679,0.1122,0.0906
flare_linked,12,18,0.0001,1e-06,0.0828,0.0679,0.1122,0.0906
flare_linked,12,18,0.0001,1e-05,0.0828,0.0679,0.1122,0.0906
flare_linked,12,18,0.0001,0.0001,0.0617,0.0679,0.0831,0.0897
flare_linked,12,18,0.0001,0.001,0.0,0.0,0.0,0.0
flare_linked,12,18,0.001,1e-07,0.098,0.066,0.1308,0.0833
flare_linked,12,18,0.001,1e-06,0.098,0.066,0.1308,0.0833
flare_linked,12,18,0.001,1e-05,0.098,0.066,0.1308,0.0833
flare_linked,12,18,0.001,0.0001,0.0678,0.0777,0.0891,0.0987
flare_linked,12,18,0.001,0.001,0.0,0.0,0.0,0.0
flare_linked,12,36,1e-07,1e-07,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,1e-07,1e-06,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,1e-07,1e-05,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,1e-07,0.0001,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,1e-07,0.001,0.0592,0.1078,0.0823,0.1452
flare_linked,12,36,1e-06,1e-07,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,1e-06,1e-06,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,1e-06,1e-05,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,1e-06,0.0001,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,1e-06,0.001,0.0592,0.1078,0.0823,0.1452
flare_linked,12,36,1e-05,1e-07,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,1e-05,1e-06,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,1e-05,1e-05,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,1e-05,0.0001,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,1e-05,0.001,0.0592,0.1078,0.0823,0.1452
flare_linked,12,36,0.0001,1e-07,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,0.0001,1e-06,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,0.0001,1e-05,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,0.0001,0.0001,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,0.0001,0.001,0.0592,0.1078,0.0823,0.1452
flare_linked,12,36,0.001,1e-07,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,0.001,1e-06,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,0.001,1e-05,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,0.001,0.0001,0.1029,0.133,0.1366,0.1778
flare_linked,12,36,0.001,0.001,0.0592,0.1078,0.0823,0.1452
flare_linked,12,54,1e-07,1e-07,0.04,0.0707,0.051,0.0897
flare_linked,12,54,1e-07,1e-06,0.04,0.0707,0.051,0.0897
flare_linked,12,54,1e-07,1e-05,0.04,0.0707,0.051,0.0897
flare_linked,12,54,1e-07,0.0001,0.04,0.0707,0.051,0.0897
flare_linked,12,54,1e-07,0.001,0.0095,0.0766,0.0116,0.102
flare_linked,12,54,1e-06,1e-07,0.04,0.0707,0.051,0.0897
flare_linked,12,54,1e-06,1e-06,0.04,0.0707,0.051,0.0897
flare_linked,12,54,1e-06,1e-05,0.04,0.0707,0.051,0.0897
flare_linked,12,54,1e-06,0.0001,0.04,0.0707,0.051,0.0897
flare_linked,12,54,1e-06,0.001,0.0095,0.0766,0.0116,0.102
flare_linked,12,54,1e-05,1e-07,0.04,0.0707,0.051,0.0897
flare_linked,12,54,1e-05,1e-06,0.04,0.0707,0.051,0.0897
flare_linked,12,54,1e-05,1e-05,0.04,0.0707,0.051,0.0897
flare_linked,12,54,1e-05,0.0001,0.04,0.0707,0.051,0.0897
flare_linked,12,54,1e-05,0.001,0.0095,0.0766,0.0116,0.102
flare_linked,12,54,0.0001,1e-07,0.04,0.0707,0.051,0.0897
flare_linked,12,54,0.0001,1e-06,0.04,0.0707,0.051,0.0897
flare_linked,12,54,0.0001,1e-05,0.04,0.0707,0.051,0.0897
flare_linked,12,54,0.0001,0.0001,0.04,0.0707,0.051,0.0897
flare_linked,12,54,0.0001,0.001,0.0095,0.0766,0.0116,0.102
flare_linked,12,54,0.001,1e-07,0.04,0.0707,0.051,0.0897
flare_linked,12,54,0.001,1e-06,0.04,0.0707,0.051,0.0897
flare_linked,12,54,0.001,1e-05,0.04,0.0707,0.051,0.0897
flare_linked,12,54,0.001,0.0001,0.04,0.0707,0.051,0.0897
flare_linked,12,54,0.001,0.001,0.0095,0.0766,0.0116,0.102
flare_linked,12,72,1e-07,1e-07,0.0503,0.0741,0.0709,0.1024
flare_linked,12,72,1e-07,1e-06,0.0503,0.0741,0.0709,0.1024
flare_linked,12,72,1e-07,1e-05,0.0503,0.0741,0.0709,0.1024
flare_linked,12,72,1e-07,0.0001,0.0562,0.0646,0.0783,0.0904
flare_linked,12,72,1e-07,0.001,0.0731,0.0707,0.1,0.0932
flare_linked,12,72,1e-06,1e-07,0.0503,0.0741,0.0709,0.1024
flare_linked,12,72,1e-06,1e-06,0.0503,0.0741,0.0709,0.1024
flare_linked,12,72,1e-06,1e-05,0.0503,0.0741,0.0709,0.1024
flare_linked,12,72,1e-06,0.0001,0.0562,0.0646,0.0783,0.0904
flare_linked,12,72,1e-06,0.001,0.0731,0.0707,0.1,0.0932
flare_linked,12,72,1e-05,1e-07,0.0503,0.0741,0.0709,0.1024
flare_linked,12,72,1e-05,1e-06,0.0503,0.0741,0.0709,0.1024
flare_linked,12,72,1e-05,1e-05,0.0503,0.0741,0.0709,0.1024
flare_linked,12,72,1e-05,0.0001,0.0562,0.0646,0.0783,0.0904
flare_linked,12,72,1e-05,0.001,0.0731,0.0707,0.1,0.0932
flare_linked,12,72,0.0001,1e-07,0.0503,0.0741,0.0709,0.1024
flare_linked,12,72,0.0001,1e-06,0.0503,0.0741,0.0709,0.1024
flare_linked,12,72,0.0001,1e-05,0.0503,0.0741,0.0709,0.1024
flare_linked,12,72,0.0001,0.0001,0.0562,0.0646,0.0783,0.0904
flare_linked,12,72,0.0001,0.001,0.0731,0.0707,0.1,0.0932
flare_linked,12,72,0.001,1e-07,0.0532,0.0751,0.0755,0.1039
flare_linked,12,72,0.001,1e-06,0.0532,0.0751,0.0755,0.1039
flare_linked,12,72,0.001,1e-05,0.0532,0.0751,0.0755,0.1039
flare_linked,12,72,0.001,0.0001,0.0591,0.0654,0.083,0.0918
flare_linked,12,72,0.001,0.001,0.064,0.0736,0.0869,0.097
flare_linked,12,90,1e-07,1e-07,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,1e-07,1e-06,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,1e-07,1e-05,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,1e-07,0.0001,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,1e-07,0.001,0.0366,0.0402,0.05,0.0553
flare_linked,12,90,1e-06,1e-07,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,1e-06,1e-06,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,1e-06,1e-05,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,1e-06,0.0001,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,1e-06,0.001,0.0366,0.0402,0.05,0.0553
flare_linked,12,90,1e-05,1e-07,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,1e-05,1e-06,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,1e-05,1e-05,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,1e-05,0.0001,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,1e-05,0.001,0.0366,0.0402,0.05,0.0553
flare_linked,12,90,0.0001,1e-07,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,0.0001,1e-06,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,0.0001,1e-05,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,0.0001,0.0001,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,0.0001,0.001,0.0366,0.0402,0.05,0.0553
flare_linked,12,90,0.001,1e-07,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,0.001,1e-06,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,0.001,1e-05,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,0.001,0.0001,0.0944,0.0827,0.1272,0.1106
flare_linked,12,90,0.001,0.001,0.0366,0.0402,0.05,0.0553
flare_linked,12,108,1e-07,1e-07,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,1e-07,1e-06,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,1e-07,1e-05,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,1e-07,0.0001,0.1274,0.097,0.1695,0.1274
flare_linked,12,108,1e-07,0.001,0.063,0.0694,0.0859,0.0952
