,HARPNUM,NOAANUM,CLASS,PEAKTIME,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH
55,892,11302,M4.4,2011.09.24_02:33_TAI,6.211403e+22,77.9,-0.01343932,17683.6,41.137,5177.499,50.603,-0.02084694,48.162,92.896,0.11929872,80625540000000.0,20064140000000.0,1.882948e+24,42.389,1947.435059,4.898,1077.525
56,892,11302,M7.4,2011.09.24_04:50_TAI,5.833914e+22,80.197,-0.01183092,19250.66,41.965,5092.235,52.772,-0.01777141,48.519,95.899,0.09123273,78743810000000.0,17088520000000.0,1.875758e+24,42.843,1942.631958,4.945,868.011
57,892,11302,M3.1,2011.09.24_08:49_TAI,5.496934e+22,78.858,-0.00643343,19148.85,44.474,5228.554,53.355,-0.01022521,49.942,95.85,0.0930616,81160180000000.0,10200580000000.0,1.813552e+24,44.133,1899.690552,4.921,458.787
58,892,11302,M3.7,2011.09.24_15:33_TAI,5.29862e+22,77.595,-0.00562838,19710.54,46.783,4941.262,51.718,-0.00945147,51.209,93.411,0.06671349,79636600000000.0,10573950000000.0,1.879915e+24,45.632,1908.942871,4.972,404.214
59,899,11303,M2.2,2011.09.24_16:58_TAI,7.610288e+21,90.771,-0.01181834,5231.948,23.09,531.288,49.761,-0.02651148,42.913,99.716,-0.24353047,9830433000000.0,4097988000000.0,7.703536e+22,33.193,118.25827,3.57,131.03
60,892,11302,M4.0,2011.09.25_05:08_TAI,5.194643e+22,85.335,-0.00853223,21152.12,49.515,5502.839,56.508,-0.01199829,52.117,100.975,0.18071252,77814620000000.0,18097390000000.0,1.854509e+24,46.591,1809.962891,5.133,563.28
61,892,11302,M2.6,2011.09.25_14:46_TAI,4.722961e+22,83.222,-0.00616535,20369.17,52.174,5152.291,57.725,-0.00992399,53.875,96.11,0.16548292,76972070000000.0,16847050000000.0,1.741473e+24,48.286,1821.53833,5.153,396.894
62,892,11302,M1.2,2011.09.27_13:28_TAI,3.758251e+22,80.381,-0.00639969,20597.91,62.384,3509.906,60.3,-0.01117198,60.933,90.779,0.29094589,64257480000000.0,9290162000000.0,1.552967e+24,53.842,1907.038086,4.92,363.31
63,902,11305,M1.0,2011.09.29_19:06_TAI,8.963202e+21,97.757,-0.01426596,13906.36,52.168,820.562,62.95,-0.02930417,57.782,99.069,0.41032508,16979960000000.0,8608635000000.0,2.785752e+23,48.777,479.951324,3.761,215.188
64,902,11305,M3.9,2011.10.01_00:50_TAI,9.600959e+21,99.913,-0.031781,16824.46,56.169,998.342,68.731,-0.0587486,61.987,101.095,0.44882676,19254790000000.0,20579790000000.0,3.632628e+23,51.04,596.812256,4.234,516.664
65,892,11302,M1.3,2011.10.01_17:23_TAI,3.705024e+22,93.758,-0.01484047,12921.18,40.447,2810.624,54.41,-0.02677323,48.278,99.508,0.14080699,52310840000000.0,33374110000000.0,8.872526e+23,41.829,1571.734619,4.646,767.312
66,940,11319,M1.3,2011.10.20_13:00_TAI,7.034761e+22,79.814,-0.00108707,5865.985,18.294,3131.768,35.181,-0.00290052,35.683,82.163,0.04675416,64141540000000.0,6358696000000.0,8.426677e+23,29.524,2073.495361,4.512,117.587
67,940,11314,M1.3,2011.10.21_11:10_TAI,6.312541e+22,65.672,-0.00174177,6532.233,20.02,2538.093,31.284,-0.00446212,36.735,69.709,0.05528101,47820270000000.0,5291827000000.0,8.19623e+23,29.028,1666.92334,4.539,164.557
68,1028,11339,M1.0,2011.11.03_20:40_TAI,8.218218e+22,74.03,-0.00194645,13302.99,38.202,5555.378,46.693,-0.00348071,45.834,85.683,-0.04627044,95237850000000.0,2576228000000.0,1.901159e+24,40.378,2569.760742,4.977,209.45
69,1028,11339,M3.7,2011.11.04_03:35_TAI,8.085321e+22,77.079,-0.00015086,13112.93,37.69,5605.062,47.231,-0.00026771,45.512,87.696,-2.4e-05,94038000000000.0,2193598000000.0,1.833978e+24,40.25,2652.738037,4.975,15.886
70,1028,11339,M1.1,2011.11.04_11:21_TAI,7.822827e+22,76.083,-0.00049918,12052.5,36.926,5457.38,46.336,-0.00098838,45.544,87.264,-0.02136226,95773920000000.0,7609687000000.0,1.725378e+24,40.261,2714.874023,5.029,53.808
