HARPNUM NOAA_Number Class Peak_Time USFLUX MEANGBT MEANJZH MEANPOT SHRGT45 TOTUSJH MEANGBH MEANALP MEANGAM MEANGBZ MEANJZD TOTUSJZ SAVNCPP TOTPOT MEANSHR AREA_ACR R_VALUE ABSNJZH
377 11158 M6.6 2011.02.17_10:11_TAI 3.281056e+22 97.913 0.01707984 9756.794 39.6 3144.613 59.744 0.03685337 49.241 106.698 -0.02130954 5.891677e+13 2.974461e+13 6.560876e+23 42.407 1103.533447 4.972 864.753
384 11162 M1.0 2011.02.17_10:26_TAI 1.585064e+22 103.022 -0.00599469 7661.929 40.097 1347.631 60.568 -0.01635998 51.026 102.559 0.3575871 3.040495e+13 5.27462e+12 2.921657e+23 42.447 720.135925 4.018 172.114
377 11158 M1.4 2011.02.17_13:03_TAI 3.385615e+22 97.73 0.01374201 9806.895 37.902 3242.983 58.983 0.02949237 48.289 106.016 -0.01971286 5.829481e+13 2.653182e+13 6.729104e+23 41.47 1120.770874 5.027 709.995
384 11162 M1.0 2011.02.17_14:08_TAI 1.514567e+22 105.086 -0.00732057 8015.242 40.561 1318.121 61.592 -0.01967902 51.012 105.885 0.28574729 3.102222e+13 3.980536e+12 2.887559e+23 42.652 707.713928 4.055 198.585
384 11162 M1.3 2011.02.17_21:04_TAI 1.649649e+22 101.4 -0.00434301 6761.104 42.429 1366.395 58.952 -0.01306095 52.595 101.097 0.3663176 3.434321e+13 6.071823e+12 2.899065e+23 43.585 744.285461 3.665 140.218
393 11164 M1.1 2011.02.27_12:52_TAI 2.634481e+22 74.079 0.01285954 4375.255 14.828 1615.747 39.517 0.03724542 34.211 79.357 -0.14262953 3.177707e+13 2.51091e+13 2.349663e+23 28.223 597.53949 4.415 519.988
393 11164 M1.2 2011.03.06_05:13_TAI 5.693587e+22 98.303 0.00868506 10587.03 35.976 4703.476 56.248 0.01869764 45.776 106.762 -0.03036223 9.402801e+13 5.240897e+13 1.196679e+24 39.902 2068.188965 5.008 738.994
394 11165 M1.5 2011.03.06_07:54_TAI 3.126788e+22 94.326 -0.00629544 4796.396 22.027 2233.181 50.48 -0.01613283 39.517 101.714 -0.14272751 4.342794e+13 8.736306e+12 3.036177e+23 32.082 918.823975 4.561 300.072
393 11164 M1.4 2011.03.06_08:07_TAI 6.020203e+22 90.891 0.00688796 9753.147 33.616 4557.743 51.01 0.01607103 44.401 99.685 0.01943416 9.351087e+13 4.0771e+13 1.208181e+24 38.766 2116.946533 5.103 642.391
393 11164 M1.8 2011.03.06_09:20_TAI 5.690153e+22 94.973 0.00722766 10619.32 35.247 4427.353 54.153 0.01563461 45.159 104.498 -0.01012612 8.874617e+13 3.973919e+13 1.188778e+24 39.433 2114.205078 5.062 609.118
394 11165 M1.5 2011.03.06_21:50_TAI 4.589308e+22 83.29 0.00062341 5916.656 25.383 3219.611 46.979 0.0015206 41.002 95.012 -0.04423099 6.013384e+13 1.576138e+12 5.409867e+23 34.101 1281.49707 4.606 42.921
394 11165 M1.3 2011.03.07_02:29_TAI 4.827225e+22 80.115 0.00764372 6828.985 24.536 3453.203 46.953 0.0174632 40.971 93.458 -0.00538741 5.932958e+13 1.85237e+13 6.303634e+23 33.733 1376.02832 4.694 531.269
