HARPNUM NOAA_Number Class Peak_Time USFLUX MEANGBT MEANJZH MEANPOT SHRGT45 TOTUSJH MEANGBH MEANALP MEANGAM MEANGBZ MEANJZD TOTUSJZ SAVNCPP TOTPOT MEANSHR AREA_ACR R_VALUE ABSNJZH
3295 11877 M9.3 2013.10.23_00:30_TAI 3.985834e+22 92.911 0.00746765 9278.189 36.86 2713.391 48.639 0.0189565 47.583 94.926 0.12841301 6.267501e+13 2.314652e+13 8.505648e+23 40.878 1520.805054 4.511 515.485
3291 11875 X1.0 2013.10.27_02:03_TAI 5.515792e+22 90.433 -0.00992908 9411.309 31.604 3880.761 49.396 -0.02241344 43.794 97.486 0.06287481 8.069013e+13 4.08645e+13 1.054785e+24 38.156 1930.773193 4.591 837.915
3291 11875 M5.1 2013.10.27_04:41_TAI 5.839845e+22 87.688 -0.00873582 8893.033 29.548 3813.344 46.153 -0.02046623 43.034 93.975 0.11667063 7.907973e+13 4.114499e+13 1.072166e+24 37.049 1926.72876 4.577 793.029
3341 11890 X1.1 2013.11.07_04:26_TAI 5.084219e+22 100.461 0.00735114 11257.17 44.537 4926.256 62.767 0.01712547 51.718 105.284 0.0153019 9.854383e+13 1.712731e+13 1.223241e+24 44.382 2366.622314 4.863 601.433
3341 11890 X1.1 2013.11.09_05:14_TAI 3.809701e+22 102.817 0.00829932 9712.337 44.334 3720.508 63.06 0.0212638 53.4 105.951 0.22025113 8.034744e+13 1.213533e+13 8.684757e+23 44.521 2177.477295 4.598 558.785
3364 11893 X1.0 2013.11.18_10:26_TAI 5.547351e+22 83.862 0.00731047 6710.024 23.651 3441.191 43.516 0.01691148 39.024 92.58 -0.12711509 6.547139e+13 2.443121e+13 7.195624e+23 32.797 1504.702637 4.803 590.298
3563 11944 X1.2 2014.01.06_18:32_TAI 9.447797e+22 88.688 0.01251759 13878.5 50.442 7869.667 55.689 0.02765618 55.398 91.322 0.15762906 1.734301e+14 6.973349e+13 2.999264e+24 48.356 4566.675293 4.998 2036.887
3721 11974 M1.7 2014.02.10_03:31_TAI 1.899428e+22 112.222 0.00305002 7742.188 34.747 1735.345 65.63 0.00772371 49.065 112.411 0.12647933 3.514967e+13 3.720052e+12 3.215685e+23 39.166 1084.857788 4.178 95.389
3894 12017 X1.0 2014.03.28_17:48_TAI 1.149691e+22 126.345 0.01271649 7356.699 29.798 1181.389 71.478 0.03146107 46.364 130.18 0.26780155 2.345099e+13 1.095576e+13 1.764955e+23 36.277 821.931335 4.407 229.723
3941 12027 M6.5 2014.04.01_14:05_TAI 1.778795e+22 73.203 -0.00695545 8013.122 21.764 910.132 34.735 -0.01788919 37.233 73.493 -0.07129015 1.714114e+13 3.606667e+12 2.841888e+23 32.075 453.917938 0.0 185.731
3999 12036 M7.3 2014.04.17_13:03_TAI 2.91765e+22 99.791 0.00325833 9813.272 48.57 2495.747 64.769 0.00802694 55.406 102.355 0.10946603 5.280148e+13 2.8921e+12 6.496682e+23 46.568 1534.237549 4.402 162.428
4000 12035 X1.3 2014.04.24_00:27_TAI 3.699734e+22 76.789 0.00317375 3689.466 13.513 1733.588 33.589 0.01039741 32.857 83.531 -0.05750597 3.433339e+13 3.695145e+12 2.922863e+23 25.632 1410.516724 4.633 189.317
4071 12051 M1.8 2014.05.05_09:03_TAI 4.281129e+22 83.686 -0.00542484 7117.52 22.702 2676.917 42.738 -0.01202296 37.27 91.213 -0.23167101 4.545722e+13 8.725597e+12 5.515938e+23 31.048 1175.049316 4.57 316.561
