USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA_ARS,GOES_CLASS,PEAK_TIME
7.483176e+21,103.775,-0.01257754,8705.284,36.294,537.634,57.863,-0.03160331,47.589,104.097,0.20296748,11112250000000.0,2860763000000.0,1.395529e+23,38.563,519.598572,3.456,151.811,115,11099,C4.4,2010.08.12_10:05_TAI
1.080978e+22,120.026,0.02835603,9200.471,47.881,1511.92,88.369,0.0672066,59.424,124.747,0.20358285,29816600000000.0,21481890000000.0,2.340601e+23,47.746,470.031311,4.365,543.16,377,11158,X2.2,2011.02.13_01:56_TAI
2.722415e+22,83.05,-0.00176622,10861.63,41.395,1836.767,51.336,-0.00350233,48.218,89.926,0.12272736,35025380000000.0,2437185000000.0,5.522075e+23,41.387,1038.552368,4.406,67.611,401,11166,M2.0,2011.03.05_14:30_TAI
4.90407e+22,96.481,0.00928932,11965.96,39.268,3761.582,55.25,0.01894681,46.967,105.997,0.05553023,73188310000000.0,38526990000000.0,1.136452e+24,40.626,1895.631958,4.999,664.288,393,11164,M3.7,2011.03.05_20:12_TAI
2.116432e+22,116.372,0.00807666,5260.958,23.148,1593.884,57.156,0.02415953,40.915,117.51,0.31139961,32964240000000.0,16321820000000.0,2.408346e+23,33.434,1168.90625,4.059,278.394,637,11226,M2.5,2011.06.05_06:41_TAI
2.15857e+22,110.401,0.01738371,13041.98,45.258,2859.943,77.675,0.0417088,55.0,116.955,0.37192836,50919460000000.0,29155480000000.0,6.110265e+23,45.047,1350.126831,4.831,613.245,750,11261,M6.0,2011.08.01_13:48_TAI
2.037379e+22,111.742,0.03402044,13515.83,46.457,2783.603,78.209,0.07749308,55.234,119.519,0.08744754,45000120000000.0,45248680000000.0,5.826449e+23,45.111,1278.300293,4.767,1104.303,750,11261,M9.3,2011.08.02_03:57_TAI
3.60587e+22,87.874,0.02105123,12375.92,41.286,2888.55,52.909,0.04326076,49.644,94.652,-0.06057662,53402780000000.0,47442220000000.0,8.819107e+23,43.807,1231.862183,4.769,1129.504,753,11263,X6.9,2011.08.07_08:05_TAI
2.1207e+22,109.324,-0.00174808,7414.156,39.355,1899.25,67.22,-0.00535267,51.281,110.894,0.42839217,40143420000000.0,8725415000000.0,3.750368e+23,41.597,1423.839966,4.192,66.581,833,11283,X2.1,2011.09.04_22:20_TAI
1.769037e+22,108.276,0.00593565,8420.214,43.072,1716.008,69.624,0.01753279,54.686,110.116,0.44407681,36349590000000.0,9478957000000.0,3.617848e+23,43.996,1382.22644,4.411,192.036,833,11283,X1.8,2011.09.05_22:38_TAI
6.189564e+22,105.147,-0.01219981,9760.736,37.354,4900.359,59.322,-0.02800185,47.891,109.424,0.16098681,100470100000000.0,33106940000000.0,1.234385e+24,40.34,3211.495117,4.81,1161.703,1321,11402,M8.7,2012.01.21_03:59_TAI
7.453157e+22,75.828,-0.00645133,3595.075,10.852,3298.541,31.916,-0.01944386,29.732,79.311,0.01009511,67702720000000.0,29055090000000.0,5.418488e+23,23.785,1700.428833,4.543,732.136,1321,11402,X1.8,2012.01.25_18:37_TAI
4.733254e+22,83.404,-0.02443276,14309.38,39.271,3916.247,56.966,-0.03803458,48.274,101.462,-9.444e-05,61101350000000.0,50756820000000.0,1.109898e+24,42.797,1422.027832,4.905,1426.971,1449,11429,X5.4,2012.03.05_00:24_TAI
4.808665e+22,83.857,-0.02445505,14159.18,38.865,4081.899,57.175,-0.03778154,48.086,102.698,-0.03458134,62666880000000.0,50160810000000.0,1.111825e+24,42.42,1440.427734,4.889,1445.88,1449,11430,X1.3,2012.03.05_01:14_TAI
5.625798e+22,94.663,-0.03436743,17929.31,49.364,5773.121,64.675,-0.05714045,53.159,111.434,-0.0377166,90828270000000.0,87436060000000.0,1.761317e+24,46.923,2117.921875,5.208,2542.09,1449,11429,M6.3,2012.03.07_03:53_TAI
5.166582e+22,93.89,-0.02665776,13997.29,50.739,4918.869,62.355,-0.05753326,54.069,102.314,-0.00307309,91886840000000.0,89948770000000.0,1.47251e+24,47.421,2400.012207,5.095,2111.454,1449,11430,C8.0,2012.03.08_15:52_TAI
5.064228e+22,97.39,-0.02907739,15257.97,50.878,4754.734,64.831,-0.05595112,53.679,106.553,0.03363859,85410850000000.0,87994170000000.0,1.461144e+24,47.144,2383.192383,5.097,2096.655,1449,11429,M8.4,2012.03.08_17:44_TAI
