USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA,Class,Peak Time
2.98697e+22,88.801,-0.00228152,3140.347,10.927,1314.458,34.367,-0.00763307,30.345,91.108,0.00693055,29631340000000.0,3568167000000.0,2.006813e+23,25.632,884.953186,3.201,109.782,2739,11745,M5.0,2013.05.21_01:32_TAI
2.894845e+22,78.764,0.01147966,6605.467,23.644,1567.897,39.907,0.0252307,38.285,84.152,-0.43077397,27642480000000.0,21337920000000.0,3.482712e+23,30.645,744.646606,4.426,455.742,2790,11762,M5.9,2013.06.06_10:49_TAI
2.324112e+22,111.953,-0.01255252,6851.818,32.065,2437.681,66.141,-0.03502146,46.524,116.745,0.22628939,49566700000000.0,19788810000000.0,3.466098e+23,38.527,1374.837891,4.653,478.126,3291,11875,M4.3,2013.10.21_09:20_TAI
3.457619e+22,92.281,0.01074641,11386.5,35.25,2318.53,49.131,0.02228912,45.878,95.729,0.02129743,45840500000000.0,20396590000000.0,7.745673e+23,39.73,1364.817627,4.482,550.442,3295,11877,M9.3,2013.10.22_12:30_TAI
4.486194e+22,96.802,-0.01121383,11166.92,34.083,3314.916,53.46,-0.02334485,45.513,103.208,0.14885218,64641990000000.0,31027060000000.0,9.801106e+23,39.042,1863.131836,4.763,741.1,3291,11875,X1.0,2013.10.26_14:03_TAI
4.587292e+22,97.546,-0.01318005,11763.08,34.487,3432.814,53.686,-0.02564875,44.966,105.717,0.14809518,64820380000000.0,37392120000000.0,1.002441e+24,39.028,1891.241089,4.793,845.751,3291,11875,M5.1,2013.10.26_16:41_TAI
6.351692e+22,70.268,-0.01238834,11252.67,30.596,3445.187,37.073,-0.0250524,42.41,81.444,0.04304122,60063870000000.0,52063810000000.0,1.309846e+24,35.852,2008.4552,4.531,1085.801,3291,11875,X2.3,2013.10.28_09:54_TAI
5.272518e+22,96.013,0.00903666,11194.5,42.383,4600.942,58.131,0.02126733,49.952,100.878,0.02437569,90434760000000.0,15884180000000.0,1.239846e+24,43.416,2401.651123,4.906,753.621,3341,11890,X1.1,2013.11.06_16:26_TAI
3.630907e+22,106.664,0.011741,11430.57,47.802,3498.427,69.71,0.02648725,55.203,108.423,0.15873364,68017260000000.0,16296180000000.0,8.918879e+23,46.207,2210.021729,4.546,689.784,3341,11890,X1.1,2013.11.08_17:14_TAI
4.90577e+22,97.35,0.00922291,8656.392,28.121,3583.474,51.974,0.01916019,41.132,105.886,-0.15371539,64966430000000.0,19341650000000.0,7.74927e+23,35.225,1565.986206,4.902,621.679,3364,11893,X1.0,2013.11.17_22:26_TAI
1.156361e+23,76.874,0.00838909,10369.88,29.736,7088.455,42.737,0.01644042,42.465,85.807,0.04573341,131710400000000.0,53814650000000.0,2.194802e+24,37.411,3593.579102,5.026,1336.936,3563,11943,M4.0,2014.01.03_07:46_TAI
6.050118e+22,78.786,0.00382445,5679.849,18.527,3120.286,37.467,0.00841624,35.129,84.941,-0.19737107,51644850000000.0,9916035000000.0,6.100851e+23,29.567,1808.149048,4.498,309.314,3535,11936,M1.9,2014.01.03_10:52_TAI
9.429233e+22,96.11,0.01568061,16786.85,46.886,8126.544,58.496,0.02675382,52.338,102.531,0.21409258,150734300000000.0,66287580000000.0,2.991879e+24,45.836,4496.771973,5.065,2104.322,3563,11944,X1.2,2014.01.06_06:32_TAI
5.376578e+21,101.674,-0.00391347,5140.341,14.521,314.437,49.074,-0.00765272,34.005,103.953,-0.55393755,4840367000000.0,1879737000000.0,4.555391e+22,26.504,133.737045,3.548,26.111,3587,11947,M3.6,2014.01.06_15:47_TAI
1.821418e+22,112.428,0.00617323,7096.705,30.057,1653.21,61.769,0.01607058,45.975,113.461,-0.02278656,34584780000000.0,6332598000000.0,2.790099e+23,37.068,976.960083,3.986,182.752,3721,11974,M1.7,2014.02.09_15:31_TAI
1.073104e+22,123.634,0.00441434,7443.374,31.094,1003.249,76.936,0.01117805,49.35,125.174,0.23570956,19957870000000.0,6423135000000.0,1.700836e+23,37.479,779.701538,4.047,75.949,3894,12017,X1.0,2014.03.28_05:48_TAI
2.829131e+22,96.696,0.00391252,11077.5,52.724,2635.087,64.566,0.00917479,57.194,100.723,0.3511894,56170020000000.0,8980707000000.0,7.098992e+23,48.49,1477.619873,4.556,188.787,3999,12036,M7.3,2014.04.17_01:03_TAI
6.737644e+22,82.154,0.00828886,5689.841,17.814,3960.89,38.204,0.0207865,34.789,92.879,-0.23853222,67064480000000.0,26985450000000.0,7.257734e+23,27.931,2027.421509,4.605,796.096,4000,12035,X1.3,2014.04.23_12:27_TAI
4.220366e+22,90.309,-0.00789286,7542.144,26.008,2869.853,48.254,-0.01757059,40.267,96.344,-0.13499998,50731280000000.0,16982090000000.0,5.991851e+23,33.926,1208.783813,4.428,472.151,4071,12051,M1.8,2014.05.04_21:03_TAI
4.122505e+22,84.764,-0.00454504,7528.114,23.521,2520.2,43.263,-0.00995288,37.675,92.816,-0.27947584,44104030000000.0,10631220000000.0,5.5788e+23,31.635,1155.432373,4.545,253.604,4071,12051,M1.0,2014.05.05_10:09_TAI
6.692475e+22,95.547,0.00533935,10818.14,37.972,4627.196,53.999,0.0107249,47.134,101.739,-0.11307433,93747270000000.0,23527390000000.0,1.381456e+24,40.547,3003.106445,4.844,513.39,4197,12085,M3.1,2014.06.11_10:16_TAI
1.392048e+23,97.513,-0.00322057,20737.07,51.029,12607.896,60.538,-0.0052296,53.686,111.281,0.12487602,222075000000000.0,12421840000000.0,5.261111e+24,47.839,6764.608398,5.502,615.232,4698,12192,M4.0,2014.10.22_19:48_TAI
4.930995e+22,76.102,0.01715722,6136.529,20.496,3563.71,42.179,0.04062641,36.847,86.574,-0.02441877,59844080000000.0,39770970000000.0,5.703893e+23,30.939,1271.967041,4.672,1200.782,4781,12205,M2.0,2014.11.05_16:25_TAI
4.894444e+22,88.309,0.02379431,6875.051,20.027,4202.876,47.295,0.05590031,36.975,98.35,0.01184574,67148410000000.0,53437770000000.0,6.330634e+23,31.218,1329.393311,4.809,1649.779,4781,12205,X1.6,2014.11.06_05:26_TAI
1.095266e+23,72.116,-0.00101832,8549.578,22.11,5407.631,33.186,-0.002329,36.221,80.26,-0.01853002,100017400000000.0,15936300000000.0,1.733505e+24,31.387,3206.274414,4.658,155.467,4817,12209,M3.7,2014.11.14_08:46_TAI
1.604168e+22,102.54,0.00957321,6587.156,24.183,1164.184,55.144,0.02022246,40.089,107.36,-0.01078876,21389520000000.0,6402938000000.0,1.907858e+23,33.466,506.648529,4.261,208.782,4941,12241,M1.1,2014.12.15_13:50_TAI
5.613046e+22,110.06,0.00897049,8343.594,29.907,4883.515,59.235,0.02451445,44.906,114.576,0.4560633,100538100000000.0,35890670000000.0,1.023465e+24,36.518,4382.071289,4.948,828.551,4920,12242,M8.7,2014.12.15_16:51_TAI
3.254522e+22,91.536,0.0139285,13163.45,51.864,2995.556,62.188,0.02972116,56.061,99.827,0.17399679,61404800000000.0,25312470000000.0,9.094475e+23,48.676,1355.388306,4.818,724.603,4941,12241,M6.9,2014.12.17_09:58_TAI
8.821024e+22,105.815,0.00866818,10043.46,33.186,7289.925,57.984,0.02191776,44.914,111.634,0.38633388,143738200000000.0,62227540000000.0,1.848961e+24,38.094,4729.348633,5.208,1201.6,4920,12242,X1.8,2014.12.18_12:28_TAI
2.816481e+22,80.763,0.01797048,17171.88,62.305,2269.556,57.75,0.0355242,60.658,87.191,0.15144141,46308480000000.0,38209610000000.0,1.025336e+24,52.943,1379.793823,4.556,807.971,4941,12241,M1.0,2014.12.20_00:17_TAI
2.829194e+22,91.394,-0.00115759,9351.127,33.876,2014.775,54.234,-0.0023224,45.375,98.696,-0.12458461,36489920000000.0,2473362000000.0,4.847518e+23,38.968,930.184448,4.439,45.184,5026,12257,M5.6,2015.01.11_16:24_TAI
1.606893e+22,109.991,0.00039584,10035.13,45.917,1740.325,74.81,0.00099088,55.11,112.457,0.09997111,35130110000000.0,2041868000000.0,3.622839e+23,44.982,881.773926,4.576,10.761,5144,12280,M2.4,2015.02.08_11:35_TAI
3.098457e+22,83.137,0.01755049,6472.347,22.392,1910.49,41.222,0.04202406,37.509,89.463,-0.19571799,35692830000000.0,36926470000000.0,3.817203e+23,31.479,862.508301,4.35,779.382,5298,12297,M5.8,2015.03.08_11:53_TAI
3.041272e+22,85.671,0.01784524,6607.173,23.171,1894.107,41.881,0.04203934,38.187,91.426,-0.08921897,35040430000000.0,35003020000000.0,3.817573e+23,32.379,887.661194,4.317,776.357,5298,12297,M5.1,2015.03.08_15:24_TAI
2.910127e+22,100.207,0.03458467,9441.82,31.098,2929.056,54.547,0.07901946,43.866,107.245,0.14932667,48275900000000.0,53820910000000.0,5.570896e+23,37.719,1161.824463,4.876,1536.493,5298,12297,X2.2,2015.03.10_04:22_TAI
3.198216e+22,103.601,0.0211311,9777.96,25.573,2864.839,51.784,0.04739438,39.905,109.545,0.22411808,46500290000000.0,28601690000000.0,6.063479e+23,34.146,1231.363037,4.812,986.695,5298,12297,M1.0,2015.03.16_11:34_TAI
4.453214e+22,73.63,-0.00641204,12903.62,37.718,2696.719,46.314,-0.01029721,46.497,86.219,-0.07748511,43941410000000.0,12850530000000.0,9.563753e+23,40.202,1545.511841,4.607,357.849,5692,12371,M3.0,2015.06.17_05:36_TAI
4.994036e+22,80.01,-0.00837439,17487.45,55.021,3716.653,55.031,-0.01423604,55.376,90.383,0.01685627,71459850000000.0,16421910000000.0,1.61944e+24,49.752,1846.559937,5.0,583.938,5692,12371,M2.0,2015.06.19_13:42_TAI
