USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA,Class,Peak Time
2.731255e+22,101.697,-0.00103641,6129.049,22.987,1918.647,45.273,-0.00292434,39.423,104.912,0.05498054,41154420000000.0,2846021000000.0,3.66382e+23,33.609,1054.170044,4.83,46.649,11373,13712,M1.3,2024.06.14_22:27_TAI
1.190372e+22,116.269,0.01006983,10121.72,32.939,1013.226,69.806,0.02110908,48.326,113.416,-0.01660345,20372480000000.0,8282769000000.0,2.456274e+23,38.059,1100.450806,4.461,184.006,11373,13712,M1.5,2024.06.17_00:04_TAI
1.227499e+22,116.245,0.00781491,9619.327,32.772,1080.413,70.054,0.01717925,48.173,113.225,-0.12170256,22183810000000.0,7522180000000.0,2.479223e+23,37.818,1081.651611,4.552,151.664,11373,13712,M1.5,2024.06.17_02:46_TAI
1.752676e+22,116.151,0.00659454,8315.257,34.074,1762.461,73.629,0.0168251,50.287,113.814,0.18543978,36702730000000.0,7065418000000.0,3.304076e+23,39.672,1351.399048,4.65,197.309,11373,13712,M2.4,2024.06.18_03:23_TAI
1.653548e+22,117.917,0.00576961,9117.611,37.042,1688.06,78.312,0.01374464,52.165,114.56,0.22338463,33859890000000.0,4058924000000.0,3.312669e+23,41.33,1371.119019,4.699,157.845,11373,13712,M1.1,2024.06.18_04:20_TAI
1.931782e+22,92.054,0.00174124,7705.862,25.076,1503.095,53.028,0.0032293,40.309,99.964,-0.1381882,23844800000000.0,2366334000000.0,2.527015e+23,33.49,522.601257,4.529,42.995,11420,13719,M5.7,2024.06.20_15:16_TAI
3.647379e+22,74.209,-0.0065866,8524.237,30.604,2240.468,41.268,-0.01459217,42.76,80.944,-0.09895943,41150600000000.0,9493532000000.0,5.979071e+23,37.442,1080.662964,4.369,347.865,11385,13716,M2.8,2024.06.22_00:55_TAI
7.417395e+22,67.133,-0.00434138,8592.278,23.032,4241.833,38.686,-0.0092951,37.94,74.815,0.03717742,70483910000000.0,2041158000000.0,1.152778e+24,30.352,1998.811279,4.769,438.57,11373,13712,M1.2,2024.06.23_03:37_TAI
1.387016e+22,114.828,-0.0056936,7804.398,35.246,1458.486,71.81,-0.01499359,49.331,117.464,0.00393924,29032330000000.0,1956164000000.0,2.360742e+23,40.844,832.315186,4.02,129.683,11422,13720,M1.1,2024.06.24_03:13_TAI
6.404345e+22,93.815,0.0015534,5874.06,20.417,4117.763,44.401,0.00378833,36.672,98.965,-0.29123133,77128490000000.0,14610990000000.0,7.199244e+23,30.969,2367.177979,4.457,143.355,11487,13738,M1.0,2024.07.06_15:15_TAI
5.129046e+22,103.596,-0.00142746,11118.38,42.601,4387.86,64.701,-0.00324562,51.359,107.352,0.05003065,89486690000000.0,2186327000000.0,1.18734e+24,43.5,3066.643066,4.717,114.782,11487,13738,M1.5,2024.07.09_21:59_TAI
5.58387e+22,105.139,-0.00463759,11305.61,41.218,5020.357,65.012,-0.01073019,50.861,108.936,0.10583581,104630400000000.0,17594460000000.0,1.33898e+24,42.99,3061.733398,4.865,413.58,11487,13738,M1.3,2024.07.10_01:45_TAI
5.550555e+22,105.444,-0.00486991,12033.09,41.822,5110.925,67.14,-0.01094227,51.009,109.588,-0.02814976,103168400000000.0,12594790000000.0,1.382967e+24,43.262,3115.9375,5.02,421.442,11487,13738,M1.4,2024.07.10_04:04_TAI
5.359863e+22,104.698,-0.00448169,12639.6,44.077,4903.776,67.762,-0.0097588,52.084,109.127,0.09647325,96968560000000.0,16138800000000.0,1.384287e+24,44.241,3140.515869,5.07,369.587,11487,13738,M1.1,2024.07.10_05:04_TAI
5.801305e+22,111.733,-0.00605108,12809.5,41.601,5512.727,68.334,-0.01225209,50.608,117.438,0.13925885,106415200000000.0,27969790000000.0,1.468713e+24,42.777,3243.753174,5.017,522.414,11487,13738,M1.0,2024.07.10_07:37_TAI
1.018711e+23,88.93,0.00021339,2970.326,10.429,4995.977,34.926,0.00067734,30.575,90.502,-0.12358072,104199300000000.0,10745760000000.0,6.312664e+23,24.991,2676.617188,4.551,34.148,11513,13745,M1.2,2024.07.10_20:17_TAI
