,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA,Class,Peak Time
136,4.790478e+22,94.543,-0.01014043,13050.89,42.153,3873.709,52.61,-0.01971514,49.374,104.787,-0.2017913,73756050000000.0,34708210000000.0,1.213234e+24,43.349,1859.491455,4.945,709.79,9133,13234,M3.8,2023.02.28_17:16_TAI
137,5.465104e+22,88.968,-0.00764431,12599.75,37.346,4115.112,48.47,-0.01482087,46.652,97.432,-0.13393706,75866400000000.0,22663210000000.0,1.312404e+24,40.853,1976.550171,4.984,599.535,9133,13234,M3.2,2023.03.01_06:32_TAI
138,5.60885e+22,89.664,-0.00665311,12118.17,35.257,4136.049,49.018,-0.01243727,45.741,99.555,-0.12171517,75019540000000.0,18012470000000.0,1.262484e+24,39.457,2065.213135,4.958,521.91,9133,13234,X2.0,2023.03.01_13:52_TAI
139,6.081037e+22,77.702,-0.00998965,11327.9,29.472,4058.632,41.928,-0.01976988,42.508,87.301,-0.13147207,67737250000000.0,28805690000000.0,1.285701e+24,35.912,1902.796875,4.729,853.716,9133,13234,M5.2,2023.03.02_11:57_TAI
140,5.257373e+21,112.084,0.00652377,2609.25,16.941,364.661,46.025,0.02508236,37.629,113.016,0.01937243,8292410000000.0,2466242000000.0,3.268722e+22,31.601,206.863586,3.353,61.539,9152,13243,M5.8,2023.03.03_22:28_TAI
141,4.68991e+22,95.497,0.00869327,6018.567,22.77,3055.267,43.213,0.02430857,38.366,99.028,-0.03899709,62797830000000.0,27007740000000.0,6.006122e+23,33.455,1851.795044,4.479,653.212,9250,13256,M5.4,2023.03.28_03:37_TAI
142,3.123874e+22,82.194,0.00857002,6586.059,20.852,2118.921,41.766,0.01920234,37.582,89.17,-0.07258341,34789600000000.0,10294740000000.0,3.88803e+23,31.144,774.192444,4.5,380.955,9470,13296,M3.9,2023.05.02_04:44_TAI
143,3.83194e+22,88.047,0.01550761,8523.951,29.053,2884.593,46.554,0.03273824,42.271,94.196,-0.00803127,47724500000000.0,25389540000000.0,6.328096e+23,36.53,1176.078369,4.503,866.86,9470,13296,M2.1,2023.05.03_04:01_TAI
144,2.275067e+22,108.443,0.00874351,8344.653,41.206,1947.472,67.696,0.02210614,51.634,107.489,-0.07728826,41957980000000.0,8473028000000.0,4.161318e+23,42.407,1351.05542,3.903,328.319,9470,13296,M6.5,2023.05.06_23:54_TAI
145,2.331561e+22,108.758,0.00712793,8042.918,40.767,2031.676,66.713,0.01844657,51.549,108.396,-0.05187318,44721800000000.0,4150145000000.0,4.178011e+23,42.522,1351.715698,4.059,278.795,9470,13296,M1.2,2023.05.07_02:13_TAI
146,2.37335e+22,111.415,0.0086333,7800.415,39.304,1918.784,67.16,0.02107792,50.924,111.197,-0.02512232,40285210000000.0,13657080000000.0,3.986983e+23,41.361,1388.553589,4.217,332.261,9470,13296,M4.2,2023.05.07_14:58_TAI
147,2.388192e+22,117.172,0.00909596,8124.159,36.535,2038.164,69.46,0.02072235,49.083,117.325,0.08338545,42341600000000.0,14887540000000.0,3.959006e+23,40.117,1363.480103,4.299,333.767,9470,13296,M5.0,2023.05.07_16:52_TAI
148,2.65484e+22,117.57,0.02058,7667.549,34.572,2576.677,66.346,0.05071754,46.99,121.294,0.06254512,51156390000000.0,37017390000000.0,4.193093e+23,39.009,1405.9198,4.593,847.443,9470,13296,M2.2,2023.05.08_10:21_TAI
149,5.363856e+21,73.316,-0.00021768,18341.78,67.466,295.368,52.928,-0.00037289,62.61,71.704,-0.05163312,6701607000000.0,479902800000.0,2.052221e+23,53.824,263.7034,3.085,1.834,9478,13294,M2.1,2023.05.09_05:01_TAI
150,5.553352e+21,77.67,0.0015342,18022.11,64.164,292.059,53.509,0.00256916,61.896,76.398,-0.1956037,6360207000000.0,894816700000.0,2.04302e+23,52.694,252.859467,2.877,13.093,9478,13294,M1.8,2023.05.09_14:29_TAI
151,4.443522e+22,103.078,0.00199288,13155.61,35.54,3082.504,50.841,0.00388783,46.106,107.764,0.18033233,62903950000000.0,6474721000000.0,1.163112e+24,39.618,2468.97998,4.505,132.672,9559,13312,M1.1,2023.05.23_10:46_TAI
152,3.976153e+22,83.003,-0.00114164,4153.876,12.173,2305.926,41.161,-0.00268578,33.049,89.02,-0.15355523,39702100000000.0,4552362000000.0,3.019529e+23,26.245,1032.362427,4.504,62.489,9632,13327,M4.7,2023.06.05_07:46_TAI
153,5.698399e+22,94.253,0.00247845,4860.484,20.944,3559.683,43.093,0.00694376,38.127,98.367,-0.14368072,71317670000000.0,6985478000000.0,5.779044e+23,32.531,1815.971191,5.041,221.891,9680,13336,M2.5,2023.06.16_09:53_TAI
154,2.394008e+22,116.896,0.0096944,2978.408,14.793,1906.215,50.311,0.0375374,36.054,117.233,0.08997327,42377420000000.0,22041310000000.0,1.691987e+23,29.307,1591.370605,4.011,414.659,9679,13337,M1.1,2023.06.22_08:17_TAI
155,3.463541e+22,111.388,0.00459434,4376.368,23.824,2913.909,57.134,0.01608292,41.505,112.729,0.45812812,66193270000000.0,15371170000000.0,3.587406e+23,34.213,2253.376465,4.049,283.563,9751,13366,M2.3,2023.07.07_23:55_TAI
156,4.363017e+22,89.491,0.02131023,25002.01,53.078,3528.066,56.436,0.02629035,54.649,98.424,-0.1669203,61823270000000.0,56047670000000.0,1.879998e+24,48.472,1992.204224,5.021,1206.5,9781,13363,M1.0,2023.07.12_05:36_TAI
157,4.45854e+22,91.58,0.01775772,23491.46,51.664,3595.333,59.084,0.02300343,54.245,99.714,-0.33053219,64481400000000.0,47341330000000.0,1.820636e+24,48.08,2004.513184,4.887,1036.252,9781,13363,M2.9,2023.07.13_03:41_TAI
158,5.074568e+22,88.502,0.00992108,18416.2,47.433,3821.349,51.21,0.01679477,52.055,96.885,-0.27916786,72510200000000.0,22788550000000.0,1.819616e+24,45.949,2323.212891,4.969,738.089,9781,13363,M4.0,2023.07.14_13:46_TAI
159,8.986112e+21,92.023,-0.00290418,1653.578,2.082,472.645,33.853,-0.00944154,25.635,92.834,-0.40993395,9204215000000.0,3070609000000.0,3.027661e+22,20.945,185.040512,0.0,40.037,9822,13376,M1.3,2023.07.16_15:48_TAI
160,9.000998e+21,92.61,-0.00353138,1685.644,2.263,474.37,33.817,-0.01137782,25.696,93.459,-0.4308331,9230538000000.0,3217245000000.0,3.076971e+22,21.015,188.812637,1.967,48.539,9822,13376,M1.4,2023.07.16_16:05_TAI
