Method,Time,Layers,Alpha,Tolerance,TSS Mean,TSS Std,HSS Mean,HSS Std
only_flares,12,54,0.001,1e-05,0.1503,0.1848,0.153,0.1881
only_flares,12,54,0.001,0.0001,0.1189,0.1402,0.1221,0.1444
only_flares,12,54,0.001,0.001,0.1077,0.1284,0.1092,0.1299
only_flares,12,72,1e-07,1e-07,0.1755,0.1605,0.1748,0.1592
only_flares,12,72,1e-07,1e-06,0.1755,0.1605,0.1748,0.1592
only_flares,12,72,1e-07,1e-05,0.1755,0.1605,0.1748,0.1592
only_flares,12,72,1e-07,0.0001,0.1592,0.1442,0.1599,0.1456
only_flares,12,72,1e-07,0.001,0.0588,0.1081,0.0581,0.1079
only_flares,12,72,1e-06,1e-07,0.1755,0.1605,0.1748,0.1592
only_flares,12,72,1e-06,1e-06,0.1755,0.1605,0.1748,0.1592
only_flares,12,72,1e-06,1e-05,0.1755,0.1605,0.1748,0.1592
only_flares,12,72,1e-06,0.0001,0.1592,0.1442,0.1599,0.1456
only_flares,12,72,1e-06,0.001,0.0588,0.1081,0.0581,0.1079
only_flares,12,72,1e-05,1e-07,0.1755,0.1605,0.1748,0.1592
only_flares,12,72,1e-05,1e-06,0.1755,0.1605,0.1748,0.1592
only_flares,12,72,1e-05,1e-05,0.1755,0.1605,0.1748,0.1592
only_flares,12,72,1e-05,0.0001,0.1592,0.1442,0.1599,0.1456
only_flares,12,72,1e-05,0.001,0.0588,0.1081,0.0581,0.1079
only_flares,12,72,0.0001,1e-07,0.1755,0.1605,0.1748,0.1592
only_flares,12,72,0.0001,1e-06,0.1755,0.1605,0.1748,0.1592
only_flares,12,72,0.0001,1e-05,0.1755,0.1605,0.1748,0.1592
only_flares,12,72,0.0001,0.0001,0.1592,0.1442,0.1599,0.1456
only_flares,12,72,0.0001,0.001,0.0588,0.1081,0.0581,0.1079
only_flares,12,72,0.001,1e-07,0.1755,0.1605,0.1748,0.1592
only_flares,12,72,0.001,1e-06,0.1755,0.1605,0.1748,0.1592
only_flares,12,72,0.001,1e-05,0.1755,0.1605,0.1748,0.1592
only_flares,12,72,0.001,0.0001,0.1592,0.1442,0.1599,0.1456
only_flares,12,72,0.001,0.001,0.0588,0.1081,0.0581,0.1079
only_flares,12,90,1e-07,1e-07,0.1762,0.147,0.1799,0.1489
only_flares,12,90,1e-07,1e-06,0.1762,0.147,0.1799,0.1489
only_flares,12,90,1e-07,1e-05,0.1762,0.147,0.1799,0.1489
only_flares,12,90,1e-07,0.0001,0.1488,0.1359,0.152,0.1376
only_flares,12,90,1e-07,0.001,0.0199,0.1336,0.0201,0.1371
only_flares,12,90,1e-06,1e-07,0.1762,0.147,0.1799,0.1489
only_flares,12,90,1e-06,1e-06,0.1762,0.147,0.1799,0.1489
only_flares,12,90,1e-06,1e-05,0.1762,0.147,0.1799,0.1489
only_flares,12,90,1e-06,0.0001,0.1488,0.1359,0.152,0.1376
only_flares,12,90,1e-06,0.001,0.0199,0.1336,0.0201,0.1371
only_flares,12,90,1e-05,1e-07,0.1762,0.147,0.1799,0.1489
only_flares,12,90,1e-05,1e-06,0.1762,0.147,0.1799,0.1489
only_flares,12,90,1e-05,1e-05,0.1762,0.147,0.1799,0.1489
only_flares,12,90,1e-05,0.0001,0.1488,0.1359,0.152,0.1376
only_flares,12,90,1e-05,0.001,0.0199,0.1336,0.0201,0.1371
only_flares,12,90,0.0001,1e-07,0.1762,0.147,0.1799,0.1489
only_flares,12,90,0.0001,1e-06,0.1762,0.147,0.1799,0.1489
only_flares,12,90,0.0001,1e-05,0.1762,0.147,0.1799,0.1489
only_flares,12,90,0.0001,0.0001,0.1488,0.1359,0.152,0.1376
only_flares,12,90,0.0001,0.001,0.0199,0.1336,0.0201,0.1371
only_flares,12,90,0.001,1e-07,0.1809,0.1439,0.1848,0.1457
only_flares,12,90,0.001,1e-06,0.1809,0.1439,0.1848,0.1457
only_flares,12,90,0.001,1e-05,0.1809,0.1439,0.1848,0.1457
only_flares,12,90,0.001,0.0001,0.1535,0.1335,0.157,0.1351
only_flares,12,90,0.001,0.001,0.0199,0.1336,0.0201,0.1371
only_flares,12,108,1e-07,1e-07,0.2549,0.1605,0.2573,0.161
only_flares,12,108,1e-07,1e-06,0.2549,0.1605,0.2573,0.161
only_flares,12,108,1e-07,1e-05,0.2549,0.1605,0.2573,0.161
only_flares,12,108,1e-07,0.0001,0.2513,0.1618,0.2527,0.1626
only_flares,12,108,1e-07,0.001,0.21,0.1624,0.2129,0.1633
only_flares,12,108,1e-06,1e-07,0.2588,0.1669,0.2616,0.1677
only_flares,12,108,1e-06,1e-06,0.2588,0.1669,0.2616,0.1677
only_flares,12,108,1e-06,1e-05,0.2549,0.1605,0.2573,0.161
only_flares,12,108,1e-06,0.0001,0.2513,0.1618,0.2527,0.1626
only_flares,12,108,1e-06,0.001,0.21,0.1624,0.2129,0.1633
only_flares,12,108,1e-05,1e-07,0.2549,0.1605,0.2573,0.161
