Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
flare_linked,12,10.0,0.01,0.1857,0.0612,0.1353,0.0443
flare_linked,12,10.0,0.07,0.1175,0.0333,0.0969,0.0272
flare_linked,12,10.0,0.001,0.1751,0.079,0.1212,0.0559
flare_linked,12,10.0,0.005,0.1773,0.0627,0.128,0.0447
flare_linked,12,100.0,1.0,0.1035,0.0623,0.1125,0.0662
flare_linked,12,100.0,0.1,0.14,0.0669,0.1258,0.0588
flare_linked,12,100.0,0.01,0.1929,0.0686,0.1489,0.052
flare_linked,12,100.0,0.07,0.1804,0.0523,0.1562,0.0417
flare_linked,12,100.0,0.001,0.2048,0.0584,0.1468,0.044
flare_linked,12,100.0,0.005,0.2011,0.0561,0.1493,0.0413
flare_linked,12,1000.0,1.0,0.1054,0.0614,0.1146,0.0653
flare_linked,12,1000.0,0.1,0.1681,0.0662,0.162,0.0637
flare_linked,12,1000.0,0.01,0.1719,0.0449,0.1386,0.034
flare_linked,12,1000.0,0.07,0.1596,0.0586,0.15,0.0546
flare_linked,12,1000.0,0.001,0.208,0.0756,0.1522,0.0535
flare_linked,12,1000.0,0.005,0.1841,0.0547,0.1432,0.0411
flare_linked,12,10000.0,1.0,0.1035,0.0623,0.1125,0.0662
flare_linked,12,10000.0,0.1,0.1025,0.0685,0.1016,0.0681
flare_linked,12,10000.0,0.01,0.1838,0.0577,0.1566,0.0444
flare_linked,12,10000.0,0.07,0.1334,0.0807,0.1301,0.0796
flare_linked,12,10000.0,0.001,0.2028,0.0686,0.1527,0.0505
flare_linked,12,10000.0,0.005,0.1568,0.0327,0.1287,0.0244
flare_linked,12,100000.0,1.0,0.1035,0.0623,0.1125,0.0662
flare_linked,12,100000.0,0.1,0.1025,0.071,0.1012,0.0703
flare_linked,12,100000.0,0.01,0.1544,0.0658,0.1372,0.0577
flare_linked,12,100000.0,0.07,0.0958,0.08,0.0939,0.0783
flare_linked,12,100000.0,0.001,0.181,0.0744,0.142,0.0568
flare_linked,12,100000.0,0.005,0.1684,0.0527,0.1437,0.0419
only_cme,12,0.001,1.0,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.1,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.01,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.07,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.001,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.005,0.0,0.0,0.0,0.0
only_cme,12,0.01,1.0,0.0,0.0,0.0,0.0
only_cme,12,0.01,0.1,0.3666,0.0761,0.3,0.0553
only_cme,12,0.01,0.01,0.3715,0.0668,0.2789,0.0484
only_cme,12,0.01,0.07,0.3688,0.0798,0.2967,0.0558
only_cme,12,0.01,0.001,0.0,0.0,0.0,0.0
only_cme,12,0.01,0.005,0.3294,0.0589,0.2408,0.0741
only_cme,12,0.1,1.0,0.127,0.0632,0.1657,0.0769
only_cme,12,0.1,0.1,0.4062,0.0739,0.3283,0.0599
only_cme,12,0.1,0.01,0.3935,0.0702,0.2994,0.0482
only_cme,12,0.1,0.07,0.4024,0.0746,0.3229,0.0566
only_cme,12,0.1,0.001,0.3639,0.0603,0.2519,0.0398
only_cme,12,0.1,0.005,0.381,0.0731,0.2873,0.0544
only_cme,12,1.0,1.0,0.2137,0.0453,0.2266,0.044
only_cme,12,1.0,0.1,0.4177,0.0633,0.3397,0.0518
