Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
flare_linked,12,10.0,0.07,0.5464,0.0775,0.5062,0.0665
flare_linked,12,10.0,0.001,0.0164,0.0627,0.0135,0.0497
flare_linked,12,10.0,0.005,0.1879,0.0908,0.1523,0.0764
flare_linked,12,100.0,1.0,0.3049,0.0473,0.3601,0.0531
flare_linked,12,100.0,0.1,0.5744,0.0979,0.5821,0.1028
flare_linked,12,100.0,0.01,0.6003,0.0758,0.5514,0.0692
flare_linked,12,100.0,0.07,0.6118,0.0887,0.6008,0.0917
flare_linked,12,100.0,0.001,0.2218,0.0871,0.1725,0.0687
flare_linked,12,100.0,0.005,0.5197,0.0785,0.4649,0.0738
flare_linked,12,1000.0,1.0,0.3049,0.0473,0.3601,0.0531
flare_linked,12,1000.0,0.1,0.5465,0.0582,0.5645,0.0584
flare_linked,12,1000.0,0.01,0.6578,0.0785,0.6118,0.075
flare_linked,12,1000.0,0.07,0.5736,0.0751,0.5819,0.0756
flare_linked,12,1000.0,0.001,0.4801,0.0718,0.4162,0.067
flare_linked,12,1000.0,0.005,0.6294,0.0599,0.5769,0.0558
flare_linked,12,10000.0,1.0,0.3049,0.0473,0.3601,0.0531
flare_linked,12,10000.0,0.1,0.5564,0.0511,0.5748,0.0538
flare_linked,12,10000.0,0.01,0.6839,0.0725,0.6632,0.0632
flare_linked,12,10000.0,0.07,0.5516,0.0606,0.5633,0.0629
flare_linked,12,10000.0,0.001,0.5868,0.0717,0.5326,0.0744
flare_linked,12,10000.0,0.005,0.6889,0.0834,0.6492,0.0753
flare_linked,12,100000.0,1.0,0.3049,0.0473,0.3601,0.0531
flare_linked,12,100000.0,0.1,0.5564,0.0511,0.5748,0.0538
flare_linked,12,100000.0,0.01,0.6515,0.0691,0.6366,0.0525
flare_linked,12,100000.0,0.07,0.5516,0.0606,0.5633,0.0629
flare_linked,12,100000.0,0.001,0.6653,0.075,0.6106,0.0716
flare_linked,12,100000.0,0.005,0.6748,0.0815,0.6563,0.0704
only_cme,12,0.001,1.0,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.1,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.01,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.07,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.001,0.0,0.0,0.0,0.0
only_cme,12,0.001,0.005,0.0,0.0,0.0,0.0
only_cme,12,0.01,1.0,0.0,0.0,0.0,0.0
only_cme,12,0.01,0.1,0.0,0.0,0.0,0.0
only_cme,12,0.01,0.01,0.0,0.0,0.0,0.0
only_cme,12,0.01,0.07,0.0,0.0,0.0,0.0
only_cme,12,0.01,0.001,0.0,0.0,0.0,0.0
only_cme,12,0.01,0.005,0.0,0.0,0.0,0.0
only_cme,12,0.1,1.0,0.105,0.0514,0.1465,0.0653
only_cme,12,0.1,0.1,0.3529,0.1015,0.2442,0.0732
only_cme,12,0.1,0.01,0.0726,0.107,0.0465,0.07
only_cme,12,0.1,0.07,0.3235,0.0906,0.2032,0.0565
only_cme,12,0.1,0.001,0.0112,0.0233,0.0063,0.0172
only_cme,12,0.1,0.005,0.0614,0.1018,0.0414,0.0667
only_cme,12,1.0,1.0,0.3586,0.0864,0.4381,0.0916
only_cme,12,1.0,0.1,0.7012,0.0397,0.5931,0.0345
only_cme,12,1.0,0.01,0.3208,0.0899,0.2285,0.0665
only_cme,12,1.0,0.07,0.6833,0.0473,0.5617,0.0429
only_cme,12,1.0,0.001,0.0714,0.1145,0.0519,0.0853
only_cme,12,1.0,0.005,0.2007,0.1013,0.1521,0.0761
only_cme,12,10.0,1.0,0.3543,0.0942,0.4502,0.0987
only_cme,12,10.0,0.1,0.8506,0.0432,0.835,0.0415
only_cme,12,10.0,0.01,0.698,0.0718,0.5561,0.0605
only_cme,12,10.0,0.07,0.8715,0.0444,0.8369,0.0502
only_cme,12,10.0,0.001,0.2064,0.0992,0.1605,0.0768
only_cme,12,10.0,0.005,0.5146,0.0639,0.41,0.0497
only_cme,12,100.0,1.0,0.3543,0.0942,0.4502,0.0987
only_cme,12,100.0,0.1,0.8255,0.0555,0.8468,0.0366
only_cme,12,100.0,0.01,0.8551,0.0501,0.7666,0.0423
only_cme,12,100.0,0.07,0.8789,0.0504,0.873,0.0416
only_cme,12,100.0,0.001,0.4477,0.0749,0.3744,0.0595
only_cme,12,100.0,0.005,0.7603,0.0447,0.6379,0.0398
only_cme,12,1000.0,1.0,0.3543,0.0942,0.4502,0.0987
only_cme,12,1000.0,0.1,0.8294,0.0803,0.8514,0.0617
only_cme,12,1000.0,0.01,0.9101,0.0341,0.8702,0.0417
only_cme,12,1000.0,0.07,0.8477,0.0678,0.8666,0.0505
only_cme,12,1000.0,0.001,0.6368,0.0684,0.5421,0.0485
only_cme,12,1000.0,0.005,0.8856,0.032,0.8146,0.0308
only_cme,12,10000.0,1.0,0.3543,0.0942,0.4502,0.0987
only_cme,12,10000.0,0.1,0.8294,0.0803,0.8514,0.0617
only_cme,12,10000.0,0.01,0.9014,0.0355,0.8985,0.0342
only_cme,12,10000.0,0.07,0.8457,0.0673,0.862,0.0529
only_cme,12,10000.0,0.001,0.8067,0.0464,0.7044,0.0325
only_cme,12,10000.0,0.005,0.9054,0.0419,0.8739,0.0484
only_cme,12,100000.0,1.0,0.3543,0.0942,0.4502,0.0987
only_cme,12,100000.0,0.1,0.8294,0.0803,0.8514,0.0617
only_cme,12,100000.0,0.01,0.8783,0.0437,0.8776,0.0364
only_cme,12,100000.0,0.07,0.8457,0.0673,0.862,0.0529
only_cme,12,100000.0,0.001,0.8806,0.0461,0.8212,0.0397
only_cme,12,100000.0,0.005,0.8862,0.0502,0.8812,0.0405
only_flares,24,0.001,1.0,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.1,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.01,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.07,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.001,0.0,0.0,0.0,0.0
only_flares,24,0.001,0.005,0.0,0.0,0.0,0.0
only_flares,24,0.01,1.0,0.0,0.0,0.0,0.0
only_flares,24,0.01,0.1,0.0,0.0,0.0,0.0
only_flares,24,0.01,0.01,0.0,0.0,0.0,0.0
only_flares,24,0.01,0.07,0.0,0.0,0.0,0.0
only_flares,24,0.01,0.001,0.0,0.0,0.0,0.0
only_flares,24,0.01,0.005,0.0,0.0,0.0,0.0
only_flares,24,0.1,1.0,0.2498,0.0697,0.2434,0.0697
only_flares,24,0.1,0.1,0.2447,0.0673,0.2419,0.0669
only_flares,24,0.1,0.01,0.0013,0.1021,-0.0008,0.1009
only_flares,24,0.1,0.07,0.226,0.0587,0.2224,0.0582
only_flares,24,0.1,0.001,0.0,0.0,0.0,0.0
only_flares,24,0.1,0.005,-0.0137,0.0484,-0.0143,0.0487
only_flares,24,1.0,1.0,0.5977,0.0548,0.5925,0.0541
only_flares,24,1.0,0.1,0.5083,0.0501,0.511,0.05
