datatype,sampling,time_step,n_estimators,min_samples_split,min_samples_leaf,max_depth,max_features,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,5,0.1,0.1,3,log2,0.1358663259039844,0.07162277383674587,0.45727883538633823,0.06893763364079443,0.6980385845156967,0.029738697601268013,0.5931451612903226,0.08542084370047841
Non_temporal,SMOTE,8,5,0.1,0.1,3,sqrt,0.1358663259039844,0.07162277383674587,0.45727883538633823,0.06893763364079443,0.6980385845156967,0.029738697601268013,0.5931451612903226,0.08542084370047841
Non_temporal,SMOTE,8,5,0.1,0.1,5,log2,0.12471501011451072,0.09583133997792861,0.4278051511758119,0.05255017530750123,0.6997839503865604,0.04032090026679406,0.5525201612903227,0.09231521086049407
Non_temporal,SMOTE,8,5,0.1,0.1,5,sqrt,0.12471501011451072,0.09583133997792861,0.4278051511758119,0.05255017530750123,0.6997839503865604,0.04032090026679406,0.5525201612903227,0.09231521086049407
Non_temporal,SMOTE,8,5,0.1,0.1,8,log2,0.12984446682079254,0.08862060042557336,0.42569988801791714,0.05523991700921482,0.6965370492921773,0.03783114294132472,0.5555443548387098,0.07884514603448835
Non_temporal,SMOTE,8,5,0.1,0.1,8,sqrt,0.12984446682079254,0.08862060042557336,0.42569988801791714,0.05523991700921482,0.6965370492921773,0.03783114294132472,0.5555443548387098,0.07884514603448835
Non_temporal,SMOTE,8,5,0.1,0.23333333333333334,3,log2,0.17862618755192713,0.10406815071366597,0.4373012318029115,0.06904453176149328,0.6786120671019722,0.04973808708593021,0.6159274193548387,0.08012813091994749
Non_temporal,SMOTE,8,5,0.1,0.23333333333333334,3,sqrt,0.17862618755192713,0.10406815071366597,0.4373012318029115,0.06904453176149328,0.6786120671019722,0.04973808708593021,0.6159274193548387,0.08012813091994749
Non_temporal,SMOTE,8,5,0.1,0.23333333333333334,5,log2,0.17862618755192713,0.10406815071366597,0.4373012318029115,0.06904453176149328,0.6786120671019722,0.04973808708593021,0.6159274193548387,0.08012813091994749
Non_temporal,SMOTE,8,5,0.1,0.23333333333333334,5,sqrt,0.17862618755192713,0.10406815071366597,0.4373012318029115,0.06904453176149328,0.6786120671019722,0.04973808708593021,0.6159274193548387,0.08012813091994749
Non_temporal,SMOTE,8,5,0.1,0.23333333333333334,8,log2,0.17862618755192713,0.10406815071366597,0.4373012318029115,0.06904453176149328,0.6786120671019722,0.04973808708593021,0.6159274193548387,0.08012813091994749
Non_temporal,SMOTE,8,5,0.1,0.23333333333333334,8,sqrt,0.17862618755192713,0.10406815071366597,0.4373012318029115,0.06904453176149328,0.6786120671019722,0.04973808708593021,0.6159274193548387,0.08012813091994749
Non_temporal,SMOTE,8,5,0.1,0.3666666666666667,3,log2,0.160874227865477,0.11753162143811537,0.44255319148936173,0.08183903138650955,0.6847394764830848,0.05276559423097397,0.6034274193548387,0.08590129369261279
Non_temporal,SMOTE,8,5,0.1,0.3666666666666667,3,sqrt,0.160874227865477,0.11753162143811537,0.44255319148936173,0.08183903138650955,0.6847394764830848,0.05276559423097397,0.6034274193548387,0.08590129369261279
Non_temporal,SMOTE,8,5,0.1,0.3666666666666667,5,log2,0.160874227865477,0.11753162143811537,0.44255319148936173,0.08183903138650955,0.6847394764830848,0.05276559423097397,0.6034274193548387,0.08590129369261279
Non_temporal,SMOTE,8,5,0.1,0.3666666666666667,5,sqrt,0.160874227865477,0.11753162143811537,0.44255319148936173,0.08183903138650955,0.6847394764830848,0.05276559423097397,0.6034274193548387,0.08590129369261279
Non_temporal,SMOTE,8,5,0.1,0.3666666666666667,8,log2,0.160874227865477,0.11753162143811537,0.44255319148936173,0.08183903138650955,0.6847394764830848,0.05276559423097397,0.6034274193548387,0.08590129369261279
Non_temporal,SMOTE,8,5,0.1,0.3666666666666667,8,sqrt,0.160874227865477,0.11753162143811537,0.44255319148936173,0.08183903138650955,0.6847394764830848,0.05276559423097397,0.6034274193548387,0.08590129369261279
Non_temporal,SMOTE,8,5,0.1,0.5,3,log2,0.1500937172633024,0.11831900816932808,0.4183538633818589,0.0742389092838737,0.6863235073283385,0.058034763518589653,0.5684475806451613,0.09466520200957713
Non_temporal,SMOTE,8,5,0.1,0.5,3,sqrt,0.1500937172633024,0.11831900816932808,0.4183538633818589,0.0742389092838737,0.6863235073283385,0.058034763518589653,0.5684475806451613,0.09466520200957713
Non_temporal,SMOTE,8,5,0.1,0.5,5,log2,0.1500937172633024,0.11831900816932808,0.4183538633818589,0.0742389092838737,0.6863235073283385,0.058034763518589653,0.5684475806451613,0.09466520200957713
Non_temporal,SMOTE,8,5,0.1,0.5,5,sqrt,0.1500937172633024,0.11831900816932808,0.4183538633818589,0.0742389092838737,0.6863235073283385,0.058034763518589653,0.5684475806451613,0.09466520200957713
Non_temporal,SMOTE,8,5,0.1,0.5,8,log2,0.1500937172633024,0.11831900816932808,0.4183538633818589,0.0742389092838737,0.6863235073283385,0.058034763518589653,0.5684475806451613,0.09466520200957713
Non_temporal,SMOTE,8,5,0.1,0.5,8,sqrt,0.1500937172633024,0.11831900816932808,0.4183538633818589,0.0742389092838737,0.6863235073283385,0.058034763518589653,0.5684475806451613,0.09466520200957713
Non_temporal,SMOTE,8,5,0.23333333333333334,0.1,3,log2,0.12469898042119713,0.08681650998192593,0.4562486002239642,0.06542127171325729,0.7018253906114331,0.03780659887188549,0.5809475806451614,0.08251739294553347
