USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA,Class,Peak Time
5.560622e+22,111.318,-0.0152077,13435.24,39.232,5471.573,66.08,-0.02681815,48.271,123.232,0.26163569,83620570000000.0,34484250000000.0,1.280706e+24,41.127,3744.108887,5.014,1091.563,12471,13936,M1.3,2024.12.28_14:46_TAI
5.552386e+22,111.185,-0.01513636,13503.62,38.646,5522.846,66.537,-0.02700523,48.155,122.944,0.24039932,84838870000000.0,32975570000000.0,1.290416e+24,40.898,3730.131348,4.946,1089.122,12471,13936,M1.3,2024.12.28_15:30_TAI
2.560944e+22,121.492,-0.02085697,8983.479,24.149,2140.263,57.664,-0.03657358,39.438,129.615,-0.30846184,34567760000000.0,24664280000000.0,3.723615e+23,32.685,1514.2229,4.542,650.925,12492,13940,M1.2,2024.12.28_16:05_TAI
8.267642e+22,110.175,0.00390723,5709.953,13.051,5123.157,48.644,0.00767721,31.61,115.741,-0.47022396,82551570000000.0,23716990000000.0,7.521798e+23,26.408,3981.210693,4.741,387.562,12456,13933,M3.1,2024.12.28_17:26_TAI
2.770902e+22,114.095,-0.01752894,8249.986,24.484,2172.905,54.487,-0.03385369,39.851,122.192,0.08304015,36695030000000.0,22361410000000.0,3.925439e+23,32.856,1594.094238,4.634,628.027,12492,13939,M3.5,2024.12.28_17:47_TAI
5.685993e+22,114.083,-0.01404652,13411.87,37.22,5749.936,67.855,-0.02440957,47.468,125.166,0.24278201,86985970000000.0,32420470000000.0,1.291355e+24,40.268,3657.578369,5.026,1018.345,12471,13936,M3.0,2024.12.28_18:59_TAI
5.661657e+22,113.364,-0.01466367,13311.56,37.242,5638.373,67.142,-0.02566653,47.41,124.34,0.2451335,85782500000000.0,35597860000000.0,1.279293e+24,40.247,3644.501465,5.028,1061.107,12471,13936,X1.1,2024.12.28_19:18_TAI
5.580784e+22,111.913,-0.01434949,13311.85,36.706,5512.562,66.839,-0.02559287,47.233,122.93,0.33936128,83723890000000.0,35345340000000.0,1.26684e+24,40.01,3605.710693,5.02,1028.256,12471,13936,M4.2,2024.12.28_19:59_TAI
5.593367e+22,111.974,-0.01405894,13600.02,36.297,5454.713,67.403,-0.02511434,47.174,122.109,0.18675336,84466560000000.0,24888260000000.0,1.291175e+24,40.201,3589.831299,4.986,1005.031,12471,13936,M1.4,2024.12.28_21:48_TAI
5.677796e+22,111.699,-0.0144567,13300.66,36.338,5633.257,67.08,-0.02620797,47.149,121.31,0.1093611,87006420000000.0,28369740000000.0,1.297093e+24,40.296,3550.436523,4.96,1061.556,12471,13938,M2.6,2024.12.28_22:39_TAI
5.744096e+22,109.326,-0.01288177,13016.49,37.503,5875.297,64.747,-0.02414353,47.477,119.89,0.15504086,90680910000000.0,29588840000000.0,1.321931e+24,40.727,3507.805664,5.018,985.082,12471,13936,M1.6,2024.12.29_00:24_TAI
5.759275e+22,108.767,-0.01326993,12975.25,37.061,5877.637,64.478,-0.02493277,47.13,119.706,0.11296336,90179780000000.0,29166820000000.0,1.319001e+24,40.489,3523.52002,5.003,1015.747,12471,13936,M1.3,2024.12.29_00:56_TAI
5.779444e+22,109.692,-0.01221347,13019.01,36.492,5755.904,64.597,-0.02282564,46.796,119.932,0.24743024,89797440000000.0,25266330000000.0,1.318971e+24,40.229,3507.011719,5.039,931.693,12471,13936,M7.1,2024.12.29_03:09_TAI
8.667794e+22,98.164,0.00368235,4716.752,10.173,4865.772,42.803,0.00780543,29.413,101.923,-0.19556451,78730420000000.0,21288770000000.0,6.654181e+23,24.717,3315.936035,4.756,391.165,12456,13932,M1.2,2024.12.29_05:52_TAI
5.768068e+22,110.04,-0.01435435,13477.55,35.943,5795.417,66.551,-0.02632153,46.772,121.301,0.28869319,90313920000000.0,30252410000000.0,1.337433e+24,40.16,3606.067383,5.077,1072.586,12471,13934,M3.3,2024.12.29_06:41_TAI
8.503966e+22,97.31,0.00448697,4584.854,9.863,4467.8,41.709,0.00920238,28.701,101.498,-0.1705025,70429060000000.0,25121580000000.0,6.218582e+23,23.549,3225.991455,4.633,458.245,12456,13933,M1.1,2024.12.29_08:39_TAI
5.879217e+22,113.703,-0.01907819,14051.91,35.813,6188.112,68.788,-0.03291373,46.782,126.82,0.13487029,92123520000000.0,31608360000000.0,1.384091e+24,40.009,3663.821777,5.14,1414.991,12471,13936,M1.5,2024.12.29_09:53_TAI
5.90935e+22,113.803,-0.01998813,13948.15,36.05,6238.116,68.639,-0.03448234,46.743,126.722,0.11188936,92562960000000.0,34890010000000.0,1.382484e+24,39.98,3695.424561,5.123,1491.714,12471,13936,M1.8,2024.12.29_10:06_TAI
2.597217e+22,124.518,-0.0221537,10736.84,34.172,2501.6,70.149,-0.03740198,46.179,136.188,0.12472563,41867880000000.0,23316250000000.0,4.640875e+23,38.16,1834.632935,4.747,720.992,12492,13939,M1.9,2024.12.29_11:30_TAI
2.567088e+22,126.703,-0.02497932,10958.89,34.618,2491.561,72.223,-0.04121277,46.435,137.993,0.17144738,41314910000000.0,25325050000000.0,4.611109e+23,38.29,1851.760132,4.74,791.37,12492,13939,M1.7,2024.12.29_12:47_TAI
2.563728e+22,127.612,-0.02862087,11328.76,33.796,2580.344,73.387,-0.04602623,46.423,139.951,0.19098414,41601160000000.0,31362720000000.0,4.689855e+23,37.961,1892.518677,4.706,892.141,12492,13940,M1.7,2024.12.29_15:00_TAI
6.123191e+22,113.08,-0.01892484,12900.89,33.518,6172.515,64.694,-0.03340694,44.952,126.485,-0.01048688,93838200000000.0,35876390000000.0,1.329003e+24,38.897,3638.466797,5.141,1467.962,12471,13936,M3.5,2024.12.29_18:25_TAI
8.265035e+22,90.043,0.00489136,4523.558,8.787,4136.951,39.156,0.01015489,27.989,95.653,-0.2336221,63977340000000.0,21247150000000.0,5.943083e+23,22.761,2742.404541,4.587,483.877,12456,13933,M1.4,2024.12.29_20:40_TAI
8.298932e+22,90.283,0.00483208,4575.888,8.826,4188.284,39.077,0.01003801,27.939,96.723,-0.26863238,64958700000000.0,22792240000000.0,6.03736e+23,22.858,2753.704346,4.612,480.038,12456,13933,M1.7,2024.12.29_20:50_TAI
8.31587e+22,86.238,0.00563016,4393.72,8.358,4131.223,37.365,0.01221315,27.675,92.309,-0.20847258,64652030000000.0,25935540000000.0,5.94096e+23,22.565,2659.873047,4.585,573.224,12456,13933,M1.7,2024.12.29_22:11_TAI
