datatype,sampling,time_step,max_features,min_samples_leaf,min_samples_split,max_depth,n_estimators,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,2,3,8,2,5,0.13131176270058523,0.0769879223871798,0.519571159408752,0.07546311666871054,0.7037415134723924,0.029155625972688372,0.6508829221093373,0.04652645280113277
Non_temporal,SMOTE,8,2,3,8,2,10,0.15147847733828146,0.07036941778980219,0.4772709179205477,0.05302653056751979,0.6958910134994256,0.023974709077672615,0.6287493952588292,0.08968857974305558
Non_temporal,SMOTE,8,2,3,8,2,20,0.12147948779188326,0.05359055766462234,0.4942679722951995,0.05388713328255892,0.7065447666426312,0.019145427619631176,0.6157474600870827,0.05018287843140919
Non_temporal,SMOTE,8,2,3,8,2,30,0.1407396010035131,0.05010620532341903,0.44676644640819463,0.04121310412471326,0.6956725525656582,0.019900341988578523,0.5875060474117079,0.04918404964581384
Non_temporal,SMOTE,8,2,3,8,5,5,0.10124974738659955,0.08683601093401813,0.44779476156356984,0.05993208786454824,0.7086243144398279,0.038905255052757895,0.5490445089501693,0.06104295241447849
Non_temporal,SMOTE,8,2,3,8,5,10,0.18524625468738198,0.06660752058428139,0.4182854337499668,0.037950276367481786,0.6755202312288633,0.02863711271110845,0.6035316884373488,0.054676762559272105
Non_temporal,SMOTE,8,2,3,8,5,20,0.16584299388216275,0.08304975658036548,0.4436151580288194,0.055738370789647516,0.6842621453475214,0.037407488086187456,0.6094581519109822,0.036260675958886865
Non_temporal,SMOTE,8,2,3,8,5,30,0.1584442280644812,0.07459760474423917,0.43202505108404315,0.06536820401476809,0.684355338108159,0.03843224267218514,0.5904692791485244,0.040353957370375934
Non_temporal,SMOTE,8,2,3,8,10,5,0.20212542280848944,0.05534405799520124,0.3056152641774806,0.03055018472431261,0.6440597760902091,0.02870878502770102,0.5077406869859701,0.04985767301522826
Non_temporal,SMOTE,8,2,3,8,10,10,0.23594193668232358,0.03178254450353443,0.28449831489000343,0.049085697617555143,0.6188898720441619,0.029424165470302917,0.5204402515723271,0.03929105354436653
Non_temporal,SMOTE,8,2,3,8,10,20,0.20418639092510601,0.0238381309315032,0.2845049491813284,0.05716624975761384,0.6337007432979325,0.024606131621691514,0.4886913401064345,0.056655856861707564
Non_temporal,SMOTE,8,2,3,8,10,30,0.20034896372369504,0.07609637350257002,0.2792107847039779,0.041817952248251036,0.6334999876413562,0.054400210261653474,0.47955974842767296,0.04358652847649114
Non_temporal,SMOTE,8,2,3,10,2,5,0.10949821282398309,0.04157557986975897,0.5225167847570522,0.07541045186317631,0.7120896501160363,0.017084171463902766,0.6320149975810353,0.06257727103992926
Non_temporal,SMOTE,8,2,3,10,2,10,0.16180066914482963,0.031243778865127483,0.47946686834912283,0.04811239161444689,0.6917411618482302,0.013697075903894691,0.6412675374939526,0.042997565042428895
Non_temporal,SMOTE,8,2,3,10,2,20,0.1537290330877625,0.07178413603024272,0.4625626940530212,0.042479918567486334,0.6928985694352633,0.02693539187093287,0.6162917271407837,0.06298805327101839
Non_temporal,SMOTE,8,2,3,10,2,30,0.14301899040375274,0.07109812391741283,0.4668020062096967,0.03707785233157925,0.6972511780129059,0.025688381478970707,0.6098209966134495,0.06001385078726419
Non_temporal,SMOTE,8,2,3,10,5,5,0.16815402374872165,0.047622521776765334,0.4414855505134942,0.04309258568440029,0.6844262656319383,0.022560053926046708,0.6096395742622157,0.030815761132342464
Non_temporal,SMOTE,8,2,3,10,5,10,0.17427364716593283,0.07400999666782956,0.4036170156303904,0.044644192566987546,0.6765332591608724,0.03197624789769741,0.5778906627963232,0.05210609392486215
Non_temporal,SMOTE,8,2,3,10,5,20,0.15120034743273336,0.08549674030446702,0.42989544356871806,0.04179008564961301,0.6890477612542184,0.03531295376605937,0.5810957910014514,0.051574920955343766
Non_temporal,SMOTE,8,2,3,10,5,30,0.17020248877784105,0.09807202876970313,0.4235928668099674,0.05973227843866961,0.6793278883292575,0.045537285893508514,0.5937953555878084,0.05198850495408858
Non_temporal,SMOTE,8,2,3,10,10,5,0.15779789499039557,0.08174017075078996,0.32448318870578247,0.048280076828993324,0.6672240709212539,0.0471141874745004,0.482281083696178,0.05976791943918749
Non_temporal,SMOTE,8,2,3,10,10,10,0.23709859985833237,0.04978399188421221,0.29924634450547993,0.038127207021570096,0.6249842111911077,0.03403872132325683,0.5363449443638123,0.03605844981095042
Non_temporal,SMOTE,8,2,3,10,10,20,0.22126024998009716,0.05355908469799858,0.2803120770639281,0.04171330916344605,0.6255990092483028,0.03615898997388156,0.5015723270440251,0.05572656255435675
Non_temporal,SMOTE,8,2,3,10,10,30,0.19833520114150638,0.08927987005480957,0.30033436828278,0.040110626883545115,0.6432467855203962,0.04725474571746289,0.4986695694242864,0.07067952372154182
Non_temporal,SMOTE,8,2,3,12,2,5,0.1235950612294056,0.054580638017579626,0.4858026165644986,0.03354320000601016,0.7063353090888883,0.018441625567232618,0.6093976777939042,0.06278218261187873
Non_temporal,SMOTE,8,2,3,12,2,10,0.1673441298769696,0.06996416513475745,0.47422577820237244,0.06842883916942379,0.6883293805958544,0.026686530769593125,0.641569908079342,0.057451970798478635
Non_temporal,SMOTE,8,2,3,12,2,20,0.1809362618115902,0.07524336253365252,0.4573680439455457,0.029543562257360486,0.6836935706225673,0.0264082002572344,0.6383043057571359,0.06966316435197167
Non_temporal,SMOTE,8,2,3,12,2,30,0.14605673033545016,0.059333761686601476,0.46999310033702196,0.04006854324032925,0.6964901519782442,0.02151076526184908,0.6160498306724721,0.05393033479144777
