datatype,sampling,time_step,solver,shrinkage,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,svd,,0.19410204367301231,0.08791192555971329,0.4215229563269876,0.056682711029691434,0.6722836385597615,0.03753142305988795,0.615625,0.08906756299846737
Non_temporal,SMOTE,8,lsqr,0.0,0.19410204367301231,0.08791192555971329,0.4215229563269876,0.056682711029691434,0.6722836385597615,0.03753142305988795,0.615625,0.08906756299846737
Non_temporal,SMOTE,8,lsqr,0.01,0.22316767059206008,0.10099873700375146,0.42048152295632696,0.05509241815175147,0.6620970622384619,0.04094100948850923,0.643649193548387,0.09704499451588386
Non_temporal,SMOTE,8,lsqr,0.02,0.21905652837481487,0.09633169163570816,0.4183426651735722,0.05884561601601581,0.662535980177831,0.03940180125195472,0.6373991935483871,0.08971779856830399
Non_temporal,SMOTE,8,lsqr,0.03,0.21381506700863348,0.09620204624595877,0.4204591265397536,0.05823163170043078,0.6649538966651861,0.03885846428579618,0.6342741935483871,0.09170595108617645
Non_temporal,SMOTE,8,lsqr,0.04,0.22434350503919376,0.09718590181487613,0.41940649496080623,0.06392672645137425,0.6603876625276976,0.04106323564083931,0.64375,0.092664325871837
Non_temporal,SMOTE,8,lsqr,0.05,0.21597704367301232,0.09636301121990214,0.42152295632698766,0.06488574301472558,0.6635895775017109,0.04038397717166341,0.6375,0.08813067090114515
Non_temporal,SMOTE,8,lsqr,0.06,0.21598824188129898,0.09142329339847417,0.421511758118701,0.06748703049174522,0.6635167589611688,0.03833886160835755,0.6375,0.09046130799417312
Non_temporal,SMOTE,8,lsqr,0.07,0.20542690911389663,0.0922445279576276,0.42572228443449045,0.06732684772051914,0.6680805100357323,0.038631710736194716,0.631149193548387,0.09256694790562642
Non_temporal,SMOTE,8,lsqr,0.08,0.203378359462486,0.07658575683272331,0.43099664053751396,0.0657421010735362,0.670001386648574,0.03313321429944801,0.6343750000000001,0.0901573251515702
Non_temporal,SMOTE,8,lsqr,0.09,0.18767637178051513,0.0738369990871683,0.4373236282194849,0.06854730636958,0.6759207644976177,0.03342251440289596,0.6250000000000001,0.08216684339492392
Non_temporal,SMOTE,8,lsqr,0.1,0.17925319690784958,0.07250557779344127,0.4362709966405375,0.072322160265733,0.6779199932451323,0.03568752662782778,0.615524193548387,0.07539648710616464
Non_temporal,SMOTE,8,lsqr,0.11,0.17708002203518405,0.07255204194682122,0.43521836506159006,0.06869126005148173,0.6792670648384114,0.03237024778033738,0.6122983870967741,0.07612615964714278
Non_temporal,SMOTE,8,lsqr,0.12,0.1717930453708052,0.08083445057867264,0.43415453527435605,0.06825847629749958,0.6809285694834744,0.03525430414545563,0.6059475806451613,0.07806540390807508
Non_temporal,SMOTE,8,lsqr,0.13,0.17506294476754689,0.08618123776420471,0.4309854423292273,0.07362090920411107,0.678521903868196,0.03995020939283144,0.6060483870967741,0.0812374920333133
Non_temporal,SMOTE,8,lsqr,0.14,0.1772361196402124,0.08994606078159928,0.4320380739081746,0.07294146099031922,0.6776645498401103,0.0428465087849048,0.6092741935483871,0.0781860453489297
