datatype,sampling,time_step,C,gamma,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,0.1,1.0,0.12009373984033522,0.08106567661502412,0.04845464725643897,0.0189177514270629,0.4861638361638361,0.1587126708442495,0.16854838709677417,0.07927618298950863
Non_temporal,SMOTE,8,0.1,0.1,0.08409233554889284,0.09327589497139833,0.3381858902575588,0.0694732365695524,0.7053976177816035,0.045532305608287915,0.4222782258064516,0.09895831051353407
Non_temporal,SMOTE,8,0.1,0.01,-0.05401595744680852,0.0586399835504333,0.6227659574468085,0.15912256043908812,0.7682259540482593,0.020861206365296408,0.56875,0.15916684316156657
Non_temporal,SMOTE,8,0.1,0.07,0.047578590651302245,0.10480022588943246,0.39082866741321387,0.09013207455237429,0.7246121844034791,0.05120053689838625,0.4384072580645161,0.10004901934933069
Non_temporal,SMOTE,8,0.1,0.001,-0.07166846530361595,0.06986444687629705,0.7219708846584547,0.1965558873679676,0.7728910973558927,0.02242298683631124,0.6503024193548388,0.2183791871587242
Non_temporal,SMOTE,8,0.1,0.005,-0.04098316204891089,0.06441861673053768,0.6511646136618141,0.17969224702804623,0.763881766016473,0.017458573737412417,0.6101814516129032,0.1887968128801969
Non_temporal,SMOTE,8,0.1,0.0001,-0.06189717064624498,0.07596941228213465,0.7410302351623741,0.24712056351480088,0.7719395460834223,0.02313615458905294,0.6791330645161291,0.2697792533809089
Non_temporal,SMOTE,8,1.0,1.0,0.2551795777191779,0.0612486268534311,0.07163493840985441,0.030034339910235977,0.38116941689276457,0.11602891652977304,0.32681451612903223,0.06454258530131662
Non_temporal,SMOTE,8,1.0,0.1,0.3723537459812882,0.07079739554117713,0.23712206047032475,0.01994270109573806,0.540543136035527,0.030038228388667404,0.609475806451613,0.07376552994392727
Non_temporal,SMOTE,8,1.0,0.01,0.11035005689412276,0.08846400611005661,0.5026539753639419,0.05196417639982079,0.7120339765521216,0.030378519920972607,0.6130040322580645,0.08903378521437452
Non_temporal,SMOTE,8,1.0,0.07,0.3759422298883791,0.08448971515588262,0.2561142217245241,0.03176884324168362,0.5504477535575933,0.034925786794048286,0.6320564516129032,0.09188772103951424
Non_temporal,SMOTE,8,1.0,0.001,-0.06039685908319185,0.06331065323336123,0.638421052631579,0.17792354173521027,0.7686748880774433,0.02196639893167765,0.578024193548387,0.1779696149851442
Non_temporal,SMOTE,8,1.0,0.005,0.026989014015822,0.09674984049384996,0.5289585666293393,0.08522987445325993,0.742822351233313,0.031091987323268615,0.5559475806451613,0.13212818939186255
Non_temporal,SMOTE,8,1.0,0.0001,-0.06189717064624498,0.07596941228213465,0.7410302351623741,0.24712056351480088,0.7719395460834223,0.02313615458905294,0.6791330645161291,0.2697792533809089
Non_temporal,SMOTE,8,4.0,1.0,0.2813988052234223,0.0612946206504498,0.06426651735722284,0.022276411415093844,0.3514116928822811,0.09140793757737631,0.34566532258064514,0.062264531070863334
Non_temporal,SMOTE,8,4.0,0.1,0.5342514810533541,0.0655692823570305,0.1486114221724524,0.03294894439929674,0.39191458434198906,0.051840923665119665,0.6828629032258065,0.061464166125326965
Non_temporal,SMOTE,8,4.0,0.01,0.3061277002131272,0.10799216646966563,0.354053751399776,0.04565189793903216,0.6170018041926839,0.046441969205067934,0.6601814516129033,0.09283223382794897
Non_temporal,SMOTE,8,4.0,0.07,0.555660536249684,0.06384074467262552,0.16863381858902576,0.03510956905481461,0.4084461654567977,0.045441131688499316,0.7242943548387097,0.06799057014117288
Non_temporal,SMOTE,8,4.0,0.001,-0.023378494924683024,0.11619196411590053,0.5383986562150056,0.10720657734794195,0.7608182174261653,0.03567531664341376,0.5150201612903225,0.15514532105678097
Non_temporal,SMOTE,8,4.0,0.005,0.1708744762128382,0.13286071799022375,0.4836618141097425,0.05612062161271665,0.6889403448394463,0.047758841544369504,0.6545362903225806,0.09482565580078475
Non_temporal,SMOTE,8,4.0,0.0001,-0.06189717064624498,0.07596941228213465,0.7410302351623741,0.24712056351480088,0.7719395460834223,0.02313615458905294,0.6791330645161291,0.2697792533809089
Non_temporal,SMOTE,8,10.0,1.0,0.28768169996026444,0.06080605507788043,0.06110862262038073,0.022457701704573625,0.3354128108733372,0.09333808651286053,0.34879032258064513,0.06440577760065842
Non_temporal,SMOTE,8,10.0,0.1,0.599112812917675,0.06636283771372742,0.08959686450167972,0.02806747527973982,0.27584475029327965,0.06759642524905718,0.6887096774193548,0.06669822895773031
Non_temporal,SMOTE,8,10.0,0.01,0.45011313351154125,0.10160837336019156,0.2550279955207167,0.05616207248962069,0.5161993263607465,0.06444704639721577,0.7051411290322581,0.07156725616269362
Non_temporal,SMOTE,8,10.0,0.07,0.646372412672037,0.06692983886726601,0.1064501679731243,0.02691934679026985,0.29535058998826524,0.05537309235563509,0.7528225806451613,0.06217037165614053
Non_temporal,SMOTE,8,10.0,0.001,0.03648532041325004,0.12249331341297313,0.5204703247480403,0.043651466244546355,0.7417186094867004,0.039468674879957796,0.5569556451612903,0.14867789730438158
Non_temporal,SMOTE,8,10.0,0.005,0.31574982841455046,0.09414110370448307,0.3572340425531915,0.05406919979657206,0.6131182733345797,0.042760110831114286,0.672983870967742,0.076856837888225
Non_temporal,SMOTE,8,10.0,0.0001,-0.054102766138063065,0.07191112428818441,0.6352519596864501,0.1704587189839261,0.7673015611869907,0.024627661735831627,0.581149193548387,0.1747026994205685
