datatype,sampling,time_step,n_estimators,learning_rate,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,5,0.001,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,8,5,0.01,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,8,5,0.05,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,8,5,0.1,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,8,10,0.001,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,8,10,0.01,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,8,10,0.05,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,8,10,0.1,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,8,20,0.001,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,8,20,0.01,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,8,20,0.05,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,8,20,0.1,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,8,50,0.001,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,8,50,0.01,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,8,50,0.05,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,8,50,0.1,0.34956654354658095,0.07960083455743697,0.21505039193729006,0.0550001273947192,0.5265426950824936,0.07263241566510924,0.564616935483871,0.09111860533054122
Non_temporal,SMOTE,12,5,0.001,0.4310006366723259,0.05662539337406687,0.1899671052631579,0.029400332390426984,0.47532700493640806,0.0439619770276755,0.6209677419354839,0.04327403875027921
Non_temporal,SMOTE,12,5,0.01,0.4310006366723259,0.05662539337406687,0.1899671052631579,0.029400332390426984,0.47532700493640806,0.0439619770276755,0.6209677419354839,0.04327403875027921
Non_temporal,SMOTE,12,5,0.05,0.4310006366723259,0.05662539337406687,0.1899671052631579,0.029400332390426984,0.47532700493640806,0.0439619770276755,0.6209677419354839,0.04327403875027921
Non_temporal,SMOTE,12,5,0.1,0.4310006366723259,0.05662539337406687,0.1899671052631579,0.029400332390426984,0.47532700493640806,0.0439619770276755,0.6209677419354839,0.04327403875027921
Non_temporal,SMOTE,12,10,0.001,0.4310006366723259,0.05662539337406687,0.1899671052631579,0.029400332390426984,0.47532700493640806,0.0439619770276755,0.6209677419354839,0.04327403875027921
Non_temporal,SMOTE,12,10,0.01,0.4310006366723259,0.05662539337406687,0.1899671052631579,0.029400332390426984,0.47532700493640806,0.0439619770276755,0.6209677419354839,0.04327403875027921
Non_temporal,SMOTE,12,10,0.05,0.4310006366723259,0.05662539337406687,0.1899671052631579,0.029400332390426984,0.47532700493640806,0.0439619770276755,0.6209677419354839,0.04327403875027921
Non_temporal,SMOTE,12,10,0.1,0.4310006366723259,0.05662539337406687,0.1899671052631579,0.029400332390426984,0.47532700493640806,0.0439619770276755,0.6209677419354839,0.04327403875027921
Non_temporal,SMOTE,12,20,0.001,0.4310006366723259,0.05662539337406687,0.1899671052631579,0.029400332390426984,0.47532700493640806,0.0439619770276755,0.6209677419354839,0.04327403875027921
Non_temporal,SMOTE,12,20,0.01,0.4310006366723259,0.05662539337406687,0.1899671052631579,0.029400332390426984,0.47532700493640806,0.0439619770276755,0.6209677419354839,0.04327403875027921
Non_temporal,SMOTE,12,20,0.05,0.4310006366723259,0.05662539337406687,0.1899671052631579,0.029400332390426984,0.47532700493640806,0.0439619770276755,0.6209677419354839,0.04327403875027921
Non_temporal,SMOTE,12,20,0.1,0.4310006366723259,0.05662539337406687,0.1899671052631579,0.029400332390426984,0.47532700493640806,0.0439619770276755,0.6209677419354839,0.04327403875027921
Non_temporal,SMOTE,12,50,0.001,0.4310006366723259,0.05662539337406687,0.1899671052631579,0.029400332390426984,0.47532700493640806,0.0439619770276755,0.6209677419354839,0.04327403875027921
