datatype,sampling,time_step,penalty,C,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,l1,0.001,,,,,,,,
Non_temporal,SMOTE,8,l1,0.01,,,,,,,,
Non_temporal,SMOTE,8,l1,0.05,0.03512066244929871,0.04201219615301924,0.4794535997664729,0.04189220039573287,0.7378587462046946,0.014788805352245506,0.5145742622157716,0.06426498236994525
Non_temporal,SMOTE,8,l1,0.1,0.08162041034622834,0.0444152986000188,0.41408592734124144,0.02862763663866025,0.716599109758898,0.017377464770961453,0.49570633768746974,0.06262494126740309
Non_temporal,SMOTE,8,l1,1.5,0.3013045058065359,0.06476659018301804,0.33403656821378336,0.016906913192927288,0.6135244362490976,0.0257644912760814,0.6353410740203193,0.06194486347471945
Non_temporal,SMOTE,8,l1,10.0,0.29074858281330695,0.06419957115785598,0.33509805482578353,0.021732500498327208,0.617466106257556,0.027074267178543866,0.6258466376390905,0.057936886927288433
Non_temporal,SMOTE,8,l2,0.001,0.01900877563643268,0.06804679656361476,0.4889738078178489,0.04551790323996188,0.7441953989119803,0.025204768975690524,0.5079825834542816,0.07601401669186354
Non_temporal,SMOTE,8,l2,0.01,0.0459184819108392,0.05309105521413061,0.47839211315447283,0.038864175187889975,0.7341965205787114,0.019859031293283678,0.5243105950653121,0.0717356609853524
Non_temporal,SMOTE,8,l2,0.05,0.1338386622002576,0.07437804572700157,0.44465674176684455,0.02194004175418187,0.7004823587181198,0.024378495441416778,0.5784954039671021,0.09272289523548952
Non_temporal,SMOTE,8,l2,0.1,0.16637246136290798,0.07113633935354027,0.4183517766632168,0.030431630261994632,0.684025345660446,0.024916708907898627,0.5847242380261248,0.07780593886849389
Non_temporal,SMOTE,8,l2,1.5,0.2886462779584346,0.06548152892753391,0.3466947960618847,0.026368963796417257,0.6218239644472413,0.026943924111932173,0.6353410740203193,0.06113044902366528
Non_temporal,SMOTE,8,l2,10.0,0.289653159249529,0.05831375001586275,0.3329883501844333,0.017111744676086164,0.6174117190704689,0.0233509352252609,0.6226415094339622,0.05572511876071544
Non_temporal,SMOTE,12,l1,0.001,,,,,,,,
Non_temporal,SMOTE,12,l1,0.01,,,,,,,,
Non_temporal,SMOTE,12,l1,0.05,0.019496707917215843,0.08986990690732932,0.4229095348034923,0.059189231688207646,0.7391472238392497,0.03938163063670038,0.4424062427207081,0.06788747368870489
Non_temporal,SMOTE,12,l1,0.1,0.1774429672089094,0.06871113390322815,0.35889525780856085,0.05039385899274291,0.6638238572146915,0.04021792473602268,0.5363382250174703,0.04469256628126898
Non_temporal,SMOTE,12,l1,1.5,0.31953621880777355,0.04943882585406308,0.33891940662898384,0.0366471935509702,0.604647930127971,0.028022056268776137,0.6584556254367574,0.04541102089330394
Non_temporal,SMOTE,12,l1,10.0,0.32978546176141904,0.03329586156962394,0.3378711885996338,0.03705950051303639,0.6005542317459214,0.022858393825652176,0.6676566503610529,0.04063959743208101
Non_temporal,SMOTE,12,l2,0.001,-0.061093714524970005,0.0793311641005994,0.5028593795610753,0.10329496339161942,0.7707035181736516,0.02348551082363284,0.44176566503610526,0.06493115291435354
Non_temporal,SMOTE,12,l2,0.01,0.07646020752063264,0.08839582665314395,0.4439800440516944,0.05294811738438512,0.7173514081886864,0.03401695150828024,0.520440251572327,0.06724341125894054
Non_temporal,SMOTE,12,l2,0.05,0.16248042884059122,0.10025214512076891,0.43028686675689304,0.057818364641767005,0.6825306793258852,0.04220055586949591,0.5927672955974843,0.072344132517782
Non_temporal,SMOTE,12,l2,0.1,0.17405063291139236,0.09284290510021359,0.4155720085980416,0.05964580194517239,0.675608421408337,0.04282428794242717,0.589622641509434,0.06620598513027451
Non_temporal,SMOTE,12,l2,1.5,0.3069760310425862,0.06100785940597222,0.3452485205530345,0.029862683738350777,0.611946602851133,0.029214350110902006,0.6522245515956208,0.047972086464247186
Non_temporal,SMOTE,12,l2,10.0,0.31743314845774834,0.042479441206412734,0.33787782289095875,0.03317869318405964,0.6054319919933606,0.0228400513748622,0.6553109713487072,0.04450676916863373
Non_temporal,SMOTE,24,l1,0.001,,,,,,,,
Non_temporal,SMOTE,24,l1,0.01,,,,,,,,
Non_temporal,SMOTE,24,l1,0.05,0.11613481718759266,0.09080126416157852,0.34537228740127285,0.07652755028174407,0.6859817923804945,0.04800697756394438,0.4615071045888655,0.04029769694720927
Non_temporal,SMOTE,24,l1,0.1,0.19970108786078158,0.06304668004670705,0.3484587071543594,0.021683687293896775,0.6574834495515559,0.023638787952703872,0.5481597950151409,0.07439077874034025
