datatype,sampling,time_step,n_estimators,min_samples_split,min_samples_leaf,max_depth,max_features,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,5,0.1,0.1,3,log2,0.15537570440342446,0.08299417239173083,0.3971444568868981,0.05048544888356986,0.6839642731143125,0.03544282318023671,0.5525201612903227,0.08928225451339004
Non_temporal,SMOTE,8,5,0.1,0.1,3,sqrt,0.15537570440342446,0.08299417239173083,0.3971444568868981,0.05048544888356986,0.6839642731143125,0.03544282318023671,0.5525201612903227,0.08928225451339004
Non_temporal,SMOTE,8,5,0.1,0.1,5,log2,0.1686874616190442,0.06424359143375487,0.3708286674132139,0.0437777837075715,0.6746153343782655,0.029767214390618316,0.5395161290322582,0.08148853363157
Non_temporal,SMOTE,8,5,0.1,0.1,5,sqrt,0.1686874616190442,0.06424359143375487,0.3708286674132139,0.0437777837075715,0.6746153343782655,0.029767214390618316,0.5395161290322582,0.08148853363157
Non_temporal,SMOTE,8,5,0.1,0.1,8,log2,0.20128756818263915,0.05011506986568654,0.34770436730123183,0.03709339516393339,0.6560171381301797,0.022309479930200552,0.548991935483871,0.06359153500790661
Non_temporal,SMOTE,8,5,0.1,0.1,8,sqrt,0.20128756818263915,0.05011506986568654,0.34770436730123183,0.03709339516393339,0.6560171381301797,0.022309479930200552,0.548991935483871,0.06359153500790661
Non_temporal,SMOTE,8,5,0.1,0.23333333333333334,3,log2,0.06515207889318356,0.12664457926397357,0.38888017917133255,0.06891705366133945,0.716202050051062,0.06628068966230397,0.454032258064516,0.0831750360896343
Non_temporal,SMOTE,8,5,0.1,0.23333333333333334,3,sqrt,0.06515207889318356,0.12664457926397357,0.38888017917133255,0.06891705366133945,0.716202050051062,0.06628068966230397,0.454032258064516,0.0831750360896343
Non_temporal,SMOTE,8,5,0.1,0.23333333333333334,5,log2,0.06515207889318356,0.12664457926397357,0.38888017917133255,0.06891705366133945,0.716202050051062,0.06628068966230397,0.454032258064516,0.0831750360896343
Non_temporal,SMOTE,8,5,0.1,0.23333333333333334,5,sqrt,0.06515207889318356,0.12664457926397357,0.38888017917133255,0.06891705366133945,0.716202050051062,0.06628068966230397,0.454032258064516,0.0831750360896343
Non_temporal,SMOTE,8,5,0.1,0.23333333333333334,8,log2,0.06515207889318356,0.12664457926397357,0.38888017917133255,0.06891705366133945,0.716202050051062,0.06628068966230397,0.454032258064516,0.0831750360896343
Non_temporal,SMOTE,8,5,0.1,0.23333333333333334,8,sqrt,0.06515207889318356,0.12664457926397357,0.38888017917133255,0.06891705366133945,0.716202050051062,0.06628068966230397,0.454032258064516,0.0831750360896343
Non_temporal,SMOTE,8,5,0.1,0.3666666666666667,3,log2,-0.045634775855218,0.09048269498019272,0.43636058230683084,0.08454420396977158,0.7696524530923526,0.04377554453861223,0.3907258064516129,0.08795638744634673
Non_temporal,SMOTE,8,5,0.1,0.3666666666666667,3,sqrt,-0.045634775855218,0.09048269498019272,0.43636058230683084,0.08454420396977158,0.7696524530923526,0.04377554453861223,0.3907258064516129,0.08795638744634673
Non_temporal,SMOTE,8,5,0.1,0.3666666666666667,5,log2,-0.045634775855218,0.09048269498019272,0.43636058230683084,0.08454420396977158,0.7696524530923526,0.04377554453861223,0.3907258064516129,0.08795638744634673
Non_temporal,SMOTE,8,5,0.1,0.3666666666666667,5,sqrt,-0.045634775855218,0.09048269498019272,0.43636058230683084,0.08454420396977158,0.7696524530923526,0.04377554453861223,0.3907258064516129,0.08795638744634673
Non_temporal,SMOTE,8,5,0.1,0.3666666666666667,8,log2,-0.045634775855218,0.09048269498019272,0.43636058230683084,0.08454420396977158,0.7696524530923526,0.04377554453861223,0.3907258064516129,0.08795638744634673
Non_temporal,SMOTE,8,5,0.1,0.3666666666666667,8,sqrt,-0.045634775855218,0.09048269498019272,0.43636058230683084,0.08454420396977158,0.7696524530923526,0.04377554453861223,0.3907258064516129,0.08795638744634673
Non_temporal,SMOTE,8,5,0.1,0.5,3,log2,-0.049556835422461434,0.09242572709740668,0.4782866741321389,0.06613845067045182,0.7684778922680165,0.03486119021955358,0.4287298387096774,0.052556910862630396
Non_temporal,SMOTE,8,5,0.1,0.5,3,sqrt,-0.049556835422461434,0.09242572709740668,0.4782866741321389,0.06613845067045182,0.7684778922680165,0.03486119021955358,0.4287298387096774,0.052556910862630396
Non_temporal,SMOTE,8,5,0.1,0.5,5,log2,-0.049556835422461434,0.09242572709740668,0.4782866741321389,0.06613845067045182,0.7684778922680165,0.03486119021955358,0.4287298387096774,0.052556910862630396
Non_temporal,SMOTE,8,5,0.1,0.5,5,sqrt,-0.049556835422461434,0.09242572709740668,0.4782866741321389,0.06613845067045182,0.7684778922680165,0.03486119021955358,0.4287298387096774,0.052556910862630396
Non_temporal,SMOTE,8,5,0.1,0.5,8,log2,-0.049556835422461434,0.09242572709740668,0.4782866741321389,0.06613845067045182,0.7684778922680165,0.03486119021955358,0.4287298387096774,0.052556910862630396
Non_temporal,SMOTE,8,5,0.1,0.5,8,sqrt,-0.049556835422461434,0.09242572709740668,0.4782866741321389,0.06613845067045182,0.7684778922680165,0.03486119021955358,0.4287298387096774,0.052556910862630396
Non_temporal,SMOTE,8,5,0.23333333333333334,0.1,3,log2,0.15537570440342446,0.08299417239173083,0.3971444568868981,0.05048544888356986,0.6839642731143125,0.03544282318023671,0.5525201612903227,0.08928225451339004
