datatype,sampling,time_step,lr,gamma,max_depth,n_estimators,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,0.001,0.001,2,20,0.05416847833852848,0.07722576861424242,0.47933418252262294,0.16748539443264535,0.7201618243798645,0.04963827538515622,0.5335026608611515,0.15310450914303375
Non_temporal,SMOTE,8,0.001,0.001,2,30,0.05416847833852848,0.07722576861424242,0.47933418252262294,0.16748539443264535,0.7201618243798645,0.04963827538515622,0.5335026608611515,0.15310450914303375
Non_temporal,SMOTE,8,0.001,0.001,2,50,0.062934673664313,0.09779350493927082,0.5572273969694558,0.13288996914326232,0.7309086323176484,0.039326646566973884,0.6201620706337688,0.16203923157211572
Non_temporal,SMOTE,8,0.001,0.001,2,100,0.07249468746363898,0.1055469330883202,0.5350887668179285,0.1310956864006975,0.7264931633665531,0.04274457607518975,0.6075834542815676,0.16135710446172827
Non_temporal,SMOTE,8,0.001,0.001,6,20,0.16892998066869577,0.0552402028341094,0.3898508611310139,0.06020905650354774,0.6753397086256357,0.030114561866616874,0.5587808417997097,0.056283049913552076
Non_temporal,SMOTE,8,0.001,0.001,6,30,0.17207386926159315,0.05840806437211038,0.3803571902449381,0.07258836053469955,0.6708529484052664,0.03523887974753423,0.5524310595065312,0.05871202153678011
Non_temporal,SMOTE,8,0.001,0.001,6,50,0.15622378179101368,0.06704737694854009,0.389857495422339,0.06200590818092439,0.6798510702235276,0.03567702610641042,0.5460812772133526,0.056476091214648985
Non_temporal,SMOTE,8,0.001,0.001,6,100,0.14101033112258332,0.10689722466976868,0.37301966403948733,0.08184582566726979,0.6820748010730652,0.05330254783425226,0.5140299951620707,0.0928796605200168
Non_temporal,SMOTE,8,0.001,0.001,10,20,0.17546858509958582,0.045241510773617766,0.30028129395218,0.06747391176546264,0.6491118479719898,0.041465412636095406,0.47574987905176586,0.04958040479449695
Non_temporal,SMOTE,8,0.001,0.001,10,30,0.17128898156483538,0.04372645975529185,0.2981715893108298,0.06439112878908353,0.6511740290624785,0.03894618852261823,0.4694605708756652,0.04597421205795585
Non_temporal,SMOTE,8,0.001,0.001,10,50,0.16603462283543488,0.045160814976321295,0.30028129395218,0.06961670138264181,0.6532900836923825,0.04174734201252527,0.4663159167876149,0.04635730608798439
Non_temporal,SMOTE,8,0.001,0.001,10,100,0.15977338281494,0.04617819067523692,0.3160974444709816,0.07714335467047159,0.659609410558454,0.044781310886353794,0.47587082728592156,0.05611075889108004
Non_temporal,SMOTE,8,0.01,0.001,2,20,0.0952944502622076,0.11618105539620857,0.5121075816681263,0.09730310360678497,0.7195567196730893,0.04423573656463149,0.6074020319303338,0.15663029812232873
Non_temporal,SMOTE,8,0.01,0.001,2,30,0.11001594271238406,0.12347779273363377,0.5036753973940503,0.08751390527512394,0.7130623730708433,0.04508411712728288,0.6136913401064344,0.14078306915749458
Non_temporal,SMOTE,8,0.01,0.001,2,50,0.14213535383227285,0.07955905558441857,0.5121341188334262,0.052203562342532754,0.7010860447519759,0.02753293760882716,0.654269472665699,0.051240137285747264
Non_temporal,SMOTE,8,0.01,0.001,2,100,0.1517558417486767,0.07530218073262124,0.5025741050341003,0.039281817649576396,0.6979980486164016,0.02587466503831988,0.654329946782777,0.06443930774822448
Non_temporal,SMOTE,8,0.01,0.001,6,20,0.16335258298477784,0.06907049801565253,0.3824867977602633,0.06791237576476791,0.6745184750265506,0.03786653423184796,0.5458393807450411,0.046437822101361916
Non_temporal,SMOTE,8,0.01,0.001,6,30,0.1590040601862909,0.06767529270932086,0.3677254995621368,0.06021722981120134,0.6743476009088479,0.03831510154607358,0.5267295597484277,0.05203825007160335
Non_temporal,SMOTE,8,0.01,0.001,6,50,0.1600581470118131,0.07667970653841807,0.36032163044343607,0.06374687649654881,0.6718390560732619,0.04252221149660976,0.5203797774552491,0.058284657880138126
Non_temporal,SMOTE,8,0.01,0.001,6,100,0.17371738735483663,0.0904543603347356,0.3466019159833347,0.06311831016284145,0.6638996426444311,0.04582475878101928,0.5203193033381713,0.07305353440738395
Non_temporal,SMOTE,8,0.01,0.001,10,20,0.20207592078860293,0.04719361204698055,0.28655494520075364,0.05930177187358566,0.6326946179370995,0.04344378643154879,0.4886308659893566,0.04011016192951524
Non_temporal,SMOTE,8,0.01,0.001,10,30,0.20317721314855305,0.05719328136497887,0.2791643446647029,0.06519301101592291,0.6276146359254314,0.05324207139359642,0.48234155781325594,0.03930557097541288
Non_temporal,SMOTE,8,0.01,0.001,10,50,0.187184743579537,0.05354856926935394,0.27284186503197727,0.05133651836797017,0.6364792174126832,0.042900137698028945,0.4600266086115143,0.03811851067692568
Non_temporal,SMOTE,8,0.01,0.001,10,100,0.20918992240941134,0.06885200733830081,0.25706552026112567,0.049632899470517015,0.6197605308585346,0.049392992145461306,0.466255442670537,0.05415145688080045
Non_temporal,SMOTE,8,0.05,0.001,2,20,0.1486236907481235,0.0780209637996207,0.4930671655653744,0.04530163687501439,0.6979268923807341,0.02804869328637286,0.6416908563134979,0.06786157956166913
Non_temporal,SMOTE,8,0.05,0.001,2,30,0.14112464506541408,0.0707344119273368,0.4846615184565985,0.05046654434684229,0.6990422768834662,0.026310163650974324,0.6257861635220126,0.05620801613023802
Non_temporal,SMOTE,8,0.05,0.001,2,50,0.13877074747029366,0.06111572830028011,0.4551455563516705,0.03856285055141202,0.6970016701297009,0.024878005544831244,0.5939163038219643,0.04209802186818583
