datatype,sampling,time_step,solver,shrinkage,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,svd,,0.18797909407665506,0.18951461023590627,0.3834494773519163,0.07498625638083053,0.7867668064898513,0.059483163405446834,0.5714285714285714,0.22246302146282054
Non_temporal,SMOTE,8,lsqr,0.0,0.18797909407665506,0.18951461023590627,0.3834494773519163,0.07498625638083053,0.7867668064898513,0.059483163405446834,0.5714285714285714,0.22246302146282054
Non_temporal,SMOTE,8,lsqr,0.01,0.2451219512195122,0.2451033636195837,0.37630662020905925,0.0900689188539203,0.7592784315712706,0.08766890338258031,0.6214285714285714,0.22879453397209953
Non_temporal,SMOTE,8,lsqr,0.02,0.2230981416957027,0.23626064614795664,0.3858304297328688,0.09130692879572702,0.769605062187521,0.07952988102952047,0.6089285714285715,0.231654706538038
Non_temporal,SMOTE,8,lsqr,0.03,0.21643437862950057,0.19438456647131974,0.4049941927990709,0.07615107264131679,0.7770750223585177,0.056157484731248306,0.6214285714285714,0.20729674087044933
Non_temporal,SMOTE,8,lsqr,0.04,0.21107723577235774,0.20838381597282388,0.39785133565621367,0.07470753529316772,0.7781023984911569,0.06114053033404497,0.6089285714285715,0.21774733766736273
Non_temporal,SMOTE,8,lsqr,0.05,0.19679152148664342,0.19258932303242807,0.3978513356562137,0.07912956425018046,0.7822829441237149,0.056102594901953955,0.5946428571428571,0.2150358892684414
Non_temporal,SMOTE,8,lsqr,0.06,0.2164924506387921,0.19939733681513236,0.3906504065040651,0.08600346941219963,0.7749808808696277,0.05955667926157049,0.6071428571428571,0.22700355117243864
Non_temporal,SMOTE,8,lsqr,0.07,0.21167247386759583,0.20762424499232848,0.39547038327526135,0.08553831528660508,0.7765317460317461,0.06256356857931525,0.6071428571428571,0.22700355117243864
Non_temporal,SMOTE,8,lsqr,0.08,0.19923054587688735,0.21307809482783882,0.3954123112659698,0.08546315770394736,0.7799737750172533,0.06422630190389159,0.5946428571428571,0.2291079083608189
Non_temporal,SMOTE,8,lsqr,0.09,0.19923054587688732,0.21026601795103572,0.3954123112659698,0.08546315770394734,0.7801175877262834,0.06301611647882051,0.5946428571428571,0.2291079083608189
Non_temporal,SMOTE,8,lsqr,0.1,0.19679152148664342,0.20973301550094303,0.3978513356562137,0.08135366209947599,0.7820223496310452,0.06126088399622845,0.5946428571428571,0.2291079083608189
Non_temporal,SMOTE,8,lsqr,0.11,0.2141695702671312,0.21890510227881022,0.3929732868757259,0.08998090593028898,0.7729747305834263,0.07328485480920961,0.6071428571428571,0.22700355117243864
Non_temporal,SMOTE,8,lsqr,0.12,0.21178861788617884,0.21510283790084136,0.3953542392566783,0.0911981293703687,0.7741143317230273,0.07210063566799396,0.6071428571428571,0.22700355117243864
Non_temporal,SMOTE,8,lsqr,0.13,0.21178861788617884,0.21030552666647878,0.3953542392566783,0.09304426288104108,0.7744607369517855,0.0708123771955142,0.6071428571428571,0.22700355117243864
Non_temporal,SMOTE,8,lsqr,0.14,0.19684959349593495,0.20803723337921076,0.3977932636469222,0.09255738297432997,0.778697613728708,0.07058965247142544,0.5946428571428571,0.22218333347366404
Non_temporal,SMOTE,8,lsqr,0.15,0.18429152148664346,0.20961251634198969,0.3978513356562137,0.0890660499094777,0.7818491563784358,0.071323280350448,0.5821428571428571,0.21653580558891597
Non_temporal,SMOTE,8,lsqr,0.16,0.15934959349593497,0.2141960222603862,0.3977932636469222,0.08937997253068963,0.7891119174942705,0.07478614211687971,0.5571428571428572,0.21735891506718483
Non_temporal,SMOTE,8,lsqr,0.17,0.15934959349593497,0.2073993987048533,0.3977932636469222,0.08320809100434184,0.790818639890648,0.0691477296239486,0.5571428571428572,0.21735891506718483
Non_temporal,SMOTE,8,lsqr,0.18,0.16173054587688734,0.20821977868994387,0.3954123112659698,0.08331520156274397,0.7897363888083969,0.06950617758283022,0.5571428571428572,0.21735891506718483
Non_temporal,SMOTE,8,lsqr,0.19,0.16173054587688734,0.20821977868994387,0.3954123112659698,0.08331520156274397,0.7897363888083969,0.06950617758283022,0.5571428571428572,0.21735891506718483
Non_temporal,SMOTE,8,lsqr,0.2,0.15447154471544716,0.20673076601828122,0.40267131242741006,0.07431683567110844,0.7943115522070897,0.06421876777341196,0.5571428571428572,0.21735891506718483
Non_temporal,SMOTE,8,lsqr,0.21,0.15691056910569107,0.21006280929096727,0.40023228803716615,0.07351732892155083,0.7932072829131653,0.06521841269730051,0.5571428571428572,0.21735891506718483
Non_temporal,SMOTE,8,lsqr,0.22,0.1545296167247387,0.21395078307323054,0.4026132404181185,0.07477142735150341,0.7936834733893557,0.06600901090524271,0.5571428571428572,0.21735891506718483
Non_temporal,SMOTE,8,lsqr,0.23,0.15691056910569107,0.21400635375642546,0.40023228803716604,0.07274214024176245,0.7928501400560224,0.0659766017337766,0.5571428571428572,0.21735891506718483
Non_temporal,SMOTE,8,lsqr,0.24,0.14441056910569106,0.23703851477193827,0.40023228803716604,0.07274214024176245,0.7973739495798319,0.07449584326532832,0.5446428571428571,0.23733882823456234
Non_temporal,SMOTE,8,lsqr,0.25,0.14197154471544715,0.23521092651505807,0.40267131242740994,0.06942857838423347,0.7990079365079364,0.07262690780602844,0.5446428571428571,0.23733882823456234
Non_temporal,SMOTE,8,lsqr,0.26,0.14197154471544715,0.23521092651505807,0.40267131242740994,0.06942857838423347,0.7990079365079364,0.07262690780602844,0.5446428571428571,0.23733882823456234
