datatype,sampling,time_step,C,gamma,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,8,0.1,1.0,0.03971710635473702,0.07068773681105539,0.03426248548199768,0.017429896814485424,0.6904761904761905,0.3383969143702832,0.07397959183673468,0.06433428680060455
Non_temporal,SMOTE,8,0.1,0.1,-0.009654471544715448,0.10315059040540837,0.3400116144018583,0.11820564267068247,0.8363236371471666,0.04539879693942443,0.33035714285714285,0.0875728559659945
Non_temporal,SMOTE,8,0.1,0.01,-0.09160859465737517,0.2230177056630355,0.6737514518002323,0.08093071561073538,0.8641515171908802,0.04705990195261494,0.5821428571428571,0.2561986633494422
Non_temporal,SMOTE,8,0.1,0.07,-0.0386178861788618,0.1517441715615666,0.44576074332171894,0.11082482701922865,0.8497017882321087,0.046800983664299176,0.40714285714285714,0.12995289570471608
Non_temporal,SMOTE,8,0.1,0.001,-0.054761904761904755,0.2188864318553255,0.7404761904761905,0.11579781444403109,0.8563760792323734,0.04631252919670196,0.6857142857142857,0.2624696289524732
Non_temporal,SMOTE,8,0.1,0.005,-0.04969512195121952,0.22058758073989815,0.7479094076655052,0.10156940517141574,0.852804138170207,0.04180461903198201,0.6982142857142857,0.23723131955876284
Non_temporal,SMOTE,8,0.1,0.0001,-0.06054006968641116,0.19857624653329736,0.7212543554006968,0.13077966055384882,0.8575653211513666,0.04376570778918491,0.6607142857142857,0.2488493930234978
Non_temporal,SMOTE,8,1.0,1.0,0.115897212543554,0.12766276461374276,0.05017421602787457,0.03893441316780088,0.6323809523809524,0.26886044901227835,0.16607142857142856,0.11574128873642002
Non_temporal,SMOTE,8,1.0,0.1,0.15254065040650405,0.19070852548465853,0.20638792102206738,0.06029776430436907,0.748008658008658,0.10588508313795365,0.35892857142857143,0.16394568849320254
Non_temporal,SMOTE,8,1.0,0.01,0.011933797909407661,0.19348020067425173,0.5202090592334494,0.10064460583711629,0.8415255469429676,0.05329593871489564,0.5321428571428571,0.21529524104430764
Non_temporal,SMOTE,8,1.0,0.07,0.15820267131242743,0.22159945135342904,0.24001161440185825,0.04871341691782254,0.7656673881673882,0.09679793618643989,0.39821428571428574,0.20361058520657332
Non_temporal,SMOTE,8,1.0,0.001,-0.13294134727061557,0.1629759158886466,0.6632984901277584,0.14872031829510265,0.8772102566630611,0.04196799771043301,0.5303571428571429,0.27595497451429224
Non_temporal,SMOTE,8,1.0,0.005,-0.05603948896631823,0.2227749588216493,0.5631823461091754,0.08862549686244339,0.8620394366425221,0.05753017283810043,0.5071428571428571,0.2689501509080621
Non_temporal,SMOTE,8,1.0,0.0001,-0.06054006968641116,0.19857624653329736,0.7212543554006968,0.13077966055384882,0.8575653211513666,0.04376570778918491,0.6607142857142857,0.2488493930234978
Non_temporal,SMOTE,8,4.0,1.0,0.162862950058072,0.13956813103435162,0.04070847851335656,0.030176721648339504,0.5583333333333333,0.3074311124282786,0.20357142857142857,0.12931333564451195
Non_temporal,SMOTE,8,4.0,0.1,0.3064459930313589,0.19523655793019068,0.10069686411149825,0.050954142805766864,0.5498015873015873,0.1869588647135678,0.40714285714285714,0.17142857142857143
Non_temporal,SMOTE,8,4.0,0.01,0.10483449477351917,0.1653186981217083,0.3790940766550523,0.10922935873555908,0.8037455727827453,0.06395091807538102,0.48392857142857143,0.16664646986470294
Non_temporal,SMOTE,8,4.0,0.07,0.3553135888501743,0.20341635343727238,0.0911149825783972,0.031655850731549036,0.5267857142857143,0.16832192491818548,0.44642857142857145,0.18158176884123087
Non_temporal,SMOTE,8,4.0,0.001,-0.05503774680603949,0.1984528231172158,0.5103948896631822,0.1236820511407748,0.8589827648906934,0.05360513843682529,0.4553571428571429,0.2373388282345624
Non_temporal,SMOTE,8,4.0,0.005,0.04989837398373983,0.15923316952109826,0.4840301974448316,0.10225926812282449,0.8272671703422609,0.04157738472713196,0.5339285714285714,0.15412069548088017
Non_temporal,SMOTE,8,4.0,0.0001,-0.06054006968641116,0.19857624653329736,0.7212543554006968,0.13077966055384882,0.8575653211513666,0.04376570778918491,0.6607142857142857,0.2488493930234978
Non_temporal,SMOTE,8,10.0,1.0,0.162862950058072,0.13956813103435162,0.04070847851335656,0.030176721648339504,0.5583333333333333,0.3074311124282786,0.20357142857142857,0.12931333564451195
Non_temporal,SMOTE,8,10.0,0.1,0.38720963995354235,0.18430848906394237,0.057433217189314746,0.03872619360134946,0.3960714285714286,0.21837243898634173,0.4446428571428571,0.16472185895116206
Non_temporal,SMOTE,8,10.0,0.01,0.38199767711962834,0.12447154390264492,0.1751451800232288,0.045561331134364474,0.6182410644910645,0.0852383802165787,0.5571428571428572,0.12647093721161268
Non_temporal,SMOTE,8,10.0,0.07,0.44959349593495934,0.17656534908815122,0.05754936120789779,0.05574274668268253,0.3210606060606061,0.247557814341801,0.5071428571428571,0.1385971993709447
Non_temporal,SMOTE,8,10.0,0.001,0.05627177700348433,0.2552132111362546,0.515156794425087,0.09750926744859859,0.8342352158934977,0.07298412887514086,0.5714285714285714,0.28414748972737264
Non_temporal,SMOTE,8,10.0,0.005,0.1509581881533101,0.1656177638666553,0.3454703832752613,0.09460336701978277,0.7792397660818713,0.06689529838024984,0.49642857142857144,0.1306869604537999
Non_temporal,SMOTE,8,10.0,0.0001,-0.12877468060394892,0.14628085836950896,0.6466318234610918,0.14527250248509527,0.8768171050956882,0.03997873144668217,0.5178571428571429,0.2625668039387543
