,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
25,401,11166,M1.7,2011.03.07_11:07_TAI,2.342712e+22,94.176,-0.00156132,10849.23,50.703,1984.707,62.552,-0.00362384,56.334,98.031,0.33145633,43826530000000.0,6780268000000.0,5.688812e+23,47.884,1035.240967,4.598,61.642
26,401,11166,M1.7,2011.03.07_14:02_TAI,2.319889e+22,94.585,0.00060359,11640.52,51.376,2118.42,63.699,0.00133619,56.681,99.0,0.36607438,45030040000000.0,10322030000000.0,5.86643e+23,48.013,1064.618286,4.492,22.904
27,401,11166,X1.5,2011.03.07_23:23_TAI,2.758896e+22,102.82,-0.00278861,12785.62,52.951,2582.623,70.375,-0.00552885,57.612,108.489,0.31792057,51901850000000.0,7790021000000.0,7.264834e+23,48.88,1171.347778,4.575,119.308
28,401,11166,M1.3,2011.03.10_04:43_TAI,3.501056e+22,102.257,0.00150644,15622.72,52.48,3751.132,71.601,0.00291504,55.862,111.28,0.2404947,67514120000000.0,11516990000000.0,1.073048e+24,48.438,1620.326294,4.927,77.908
29,407,11169,M4.2,2011.03.12_19:52_TAI,2.132701e+22,107.999,-0.0230308,9332.132,34.64,1957.785,61.41,-0.05610548,46.571,115.403,0.078535,37726880000000.0,34483230000000.0,4.086875e+23,38.985,982.50116,4.6,759.441
30,407,11169,M1.0,2011.03.13_00:22_TAI,2.134789e+22,109.076,-0.02447554,8703.886,33.229,1905.124,60.341,-0.0583455,45.205,116.433,0.16358481,36518010000000.0,36467910000000.0,3.776373e+23,37.844,952.76532,4.661,799.616
31,437,11176,M1.0,2011.03.23_23:22_TAI,4.271748e+22,78.175,0.00681883,7011.337,25.709,2255.245,39.792,0.01616831,40.622,84.891,0.09409513,43115620000000.0,12397220000000.0,5.929292e+23,32.712,1005.10968,4.404,434.21
32,495,11190,M1.3,2011.04.13_17:12_TAI,1.85522e+22,119.678,-0.00596931,7138.397,34.589,1816.996,74.438,-0.01520096,50.798,122.122,0.13057564,37836850000000.0,12910070000000.0,2.864415e+23,39.833,1314.647461,4.446,180.363
33,514,11195,M1.8,2011.04.20_04:57_TAI,1.95273e+22,85.945,0.00967252,3275.578,9.743,1019.866,39.543,0.02490387,31.843,90.363,0.17130509,18822930000000.0,10815540000000.0,1.19341e+23,25.529,486.716919,4.616,265.346
34,746,11260,M1.1,2011.07.25_16:07_TAI,1.077347e+22,93.087,0.00466664,2829.855,7.294,682.132,41.663,0.01228102,29.11,98.001,-0.18629175,12085990000000.0,3033937000000.0,5.683486e+22,23.534,243.70578,3.974,70.574
35,750,11261,M9.3,2011.07.28_02:09_TAI,2.340852e+22,74.12,0.00451364,9803.579,34.905,1407.61,44.502,0.00878439,45.175,82.885,0.05790077,25256120000000.0,5762914000000.0,4.189573e+23,39.122,729.691772,4.421,145.235
36,750,11261,M1.4,2011.07.31_06:19_TAI,1.829739e+22,109.932,-0.01050071,10472.69,41.946,2045.518,68.093,-0.02558537,52.487,115.877,0.34513527,37490760000000.0,7875494000000.0,4.08331e+23,43.591,1061.657593,4.356,308.29
37,750,11261,M1.1,2011.08.01_03:37_TAI,2.136906e+22,105.777,-0.00463255,11452.86,48.709,2807.656,75.255,-0.0125879,57.497,112.086,0.20439169,52778660000000.0,6439093000000.0,5.792694e+23,47.484,1304.798828,4.809,176.431
38,753,11263,M1.7,2011.08.01_04:32_TAI,2.898555e+22,81.073,0.0104841,20702.81,58.412,2389.665,56.615,0.01572939,58.352,91.121,0.03805508,45874620000000.0,23243100000000.0,1.108679e+24,51.703,1011.672852,4.758,422.75
