,HARPNUM,NOAANUM,CLASS,PEAKTIME,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH
185,3364,11900,M1.2,2013.11.14_16:53_TAI,1.72e+22,106.33,0.00631019,11212.67,49.566,1773.816,70.984,0.01375872,57.571,107.923,0.08605876,34400000000000.0,3330000000000.0,4.26e+23,46.695,895.371765,4.35,180.314
186,3364,11900,M1.6,2013.11.14_19:49_TAI,1.87e+22,103.812,-3.16e-05,10653.17,48.323,1965.728,69.398,-7.25e-05,56.464,106.457,0.09463706,37400000000000.0,3680000000000.0,4.51e+23,46.257,922.836853,4.285,1.009
187,3364,11900,M1.0,2013.11.15_17:10_TAI,2.14e+22,119.248,0.00208444,10903.97,39.041,2208.249,71.373,0.00412457,49.829,124.629,0.12127655,38700000000000.0,3860000000000.0,4.49e+23,40.892,1078.637573,4.603,64.67
188,3376,11904,M1.1,2013.11.21_14:32_TAI,4.11e+22,95.18,-0.00886528,18394.53,40.738,3405.089,53.361,-0.01308786,49.06,98.69,-0.12263191,55500000000000.0,9330000000000.0,1.3999999999999998e+24,42.616,1979.839233,4.461,507.91
189,3376,11904,M1.0,2013.11.22_00:57_TAI,4.2e+22,91.858,-0.00846542,18349.6,37.113,2897.238,47.774,-0.01279758,46.382,96.016,-0.12756872,53100000000000.0,9160000000000.0,1.39e+24,40.593,1827.838989,4.07,483.664
190,3437,11909,M1.2,2013.12.05_19:29_TAI,1.53e+22,112.738,0.00020431,6009.631,28.606,1012.728,56.835,0.00053571,43.511,113.206,0.22436106,22100000000000.0,2820000000000.0,1.97e+23,36.114,733.851807,3.87,5.032
191,3497,11928,M1.9,2013.12.20_20:11_TAI,3.65e+22,108.021,0.0085211,9044.042,34.031,3113.087,61.97,0.01866692,46.443,113.988,0.10286587,60600000000000.0,21900000000000.0,6.59e+23,38.44,1506.834351,4.787,467.203
192,3497,11928,M1.1,2013.12.20_20:37_TAI,3.61e+22,107.285,0.0079068,9158.285,34.198,3056.066,61.818,0.01701916,46.69,113.146,-0.02096262,59300000000000.0,18600000000000.0,6.55e+23,38.625,1492.011597,4.777,426.034
193,3520,11934,M1.6,2013.12.21_02:38_TAI,4.15e+22,81.931,-0.00137245,6500.423,17.84,2034.176,38.232,-0.00317284,34.574,86.063,0.00253313,39500000000000.0,8670000000000.0,5.02e+23,28.109,964.407654,4.348,79.836
194,3497,11928,M3.3,2013.12.21_03:12_TAI,3.64e+22,108.499,0.00653172,9521.491,33.456,3045.29,61.743,0.012697,45.555,114.619,-0.02749423,56500000000000.0,20900000000000.0,6.42e+23,37.985,1466.825562,4.654,331.766
195,3497,11928,M1.6,2013.12.21_10:08_TAI,3.87e+22,105.847,0.00470353,9081.731,31.118,3043.114,58.991,0.00930077,43.708,111.935,-0.17558387,56400000000000.0,13700000000000.0,6.45e+23,36.411,1488.559937,4.782,251.422
196,3497,11928,M1.3,2013.12.21_12:03_TAI,3.89e+22,105.095,0.00284131,9206.256,31.966,3041.679,58.912,0.00566927,44.253,111.459,-0.14233743,56500000000000.0,11800000000000.0,6.64e+23,36.878,1513.712036,4.842,154.266
197,3497,11928,M1.6,2013.12.21_21:06_TAI,4.34e+22,102.563,0.00093984,8716.271,27.211,3316.358,55.385,0.00183998,41.555,108.821,-0.0822703,58400000000000.0,2600000000000.0,6.79e+23,34.498,1481.088867,4.829,55.127
198,3535,11936,M3.1,2013.12.27_19:56_TAI,1.55e+22,122.52,-0.00187762,5843.924,25.104,1372.632,67.534,-0.00472265,43.508,125.107,0.26734883,27600000000000.0,5370000000000.0,1.82e+23,34.902,898.606506,4.195,44.105
199,3535,11936,M6.4,2013.12.30_09:58_TAI,1.98e+22,121.517,0.00125797,7743.817,38.987,2133.102,77.885,0.00328471,52.31,124.735,0.21805909,43700000000000.0,3700000000000.0,3.43e+23,42.099,1328.562622,4.575,41.908
200,3535,11936,M9.9,2013.12.31_06:52_TAI,3.03e+22,112.697,-0.00190572,8206.805,39.742,2943.232,68.949,-0.00474505,51.034,116.242,0.15333708,59900000000000.0,3920000000000.0,5.47e+23,42.238,1631.42749,4.709,95.696
201,3580,11946,M1.0,2014.01.05_15:53_TAI,7.05e+21,108.217,0.01879068,8532.027,41.936,693.732,73.654,0.0416421,53.261,110.587,0.17557237,14100000000000.0,9270000000000.0,1.28e+23,43.32,288.473175,3.892,212.523
202,3563,11944,M7.2,2014.01.05_22:13_TAI,9.93e+22,94.017,0.01375437,15201.8,45.462,7817.661,56.176,0.02503674,51.447,100.345,0.21567652,155000000000000.0,70700000000000.0,2.95e+24,45.429,4352.848633,5.042,2007.327
203,3563,11944,M1.3,2014.01.12_09:51_TAI,8.73e+22,81.427,0.00762082,11341.72,30.196,4781.841,42.216,0.01458975,42.323,87.91,-0.15511359,88400000000000.0,33300000000000.0,1.79e+24,35.32,2973.008301,4.856,905.369
204,3688,11968,M1.1,2014.01.30_03:42_TAI,3.75e+22,82.074,-0.00040199,3633.567,12.956,1740.805,35.458,-0.00121605,31.918,83.269,-0.09784401,36900000000000.0,2910000000000.0,2.81e+23,26.289,962.430847,4.01,23.4
205,3686,11967,M3.0,2014.01.30_19:23_TAI,8.18e+22,94.392,-0.00488128,13342.43,31.873,7572.287,51.812,-0.00949104,43.344,101.855,0.07465883,123000000000000.0,8310000000000.0,2.04e+24,37.531,2694.436768,5.241,561.708
206,3688,11968,M2.6,2014.01.31_18:34_TAI,2.78e+22,108.826,-0.00117311,4323.193,21.963,1921.689,52.205,-0.00387239,39.448,108.32,0.08328822,43500000000000.0,2930000000000.0,2.71e+23,32.951,1297.577759,4.086,55.358
207,3686,11967,M2.2,2014.01.31_20:20_TAI,7.62e+22,104.857,-0.01029536,16059.57,38.731,9039.139,62.618,-0.01724609,47.447,111.886,0.12722604,138000000000000.0,36800000000000.0,2.22e+24,41.189,3179.153076,5.229,1071.994
208,3686,11967,M4.4,2014.01.31_21:31_TAI,7.86e+22,104.641,-0.00923022,15445.16,38.492,9221.026,63.096,-0.01604721,47.625,111.227,0.15584065,143000000000000.0,33200000000000.0,2.26e+24,41.401,3137.806152,5.256,1016.44
209,3686,11967,M1.3,2014.02.01_02:06_TAI,7.89e+22,102.667,-0.01102149,16410.31,39.711,8987.994,62.981,-0.01957806,48.373,109.735,0.15570752,140000000000000.0,33500000000000.0,2.44e+24,41.875,3249.072021,5.263,1231.64
210,3686,11967,M1.3,2014.02.01_10:04_TAI,7.66e+22,99.797,-0.01355597,17428.41,41.976,9346.746,63.654,-0.02559993,50.194,106.737,0.16483679,147000000000000.0,31600000000000.0,2.62e+24,43.424,3453.765381,5.238,1536.8
211,3688,11968,M3.8,2014.02.02_13:23_TAI,2.41e+22,111.548,-0.01122465,7809.666,39.232,2502.784,68.73,-0.03160947,50.85,113.776,0.38568604,55900000000000.0,21800000000000.0,4.35e+23,41.736,1672.792358,4.664,471.256
212,3686,11967,M5.2,2014.02.02_16:00_TAI,7.31e+22,99.835,-0.02026872,22310.01,49.468,9834.563,68.744,-0.03316421,54.774,110.039,0.18667863,145000000000000.0,58100000000000.0,3.0999999999999996e+24,47.169,3891.140869,5.343,2117.413
213,3686,11967,M1.4,2014.02.02_21:49_TAI,7.48e+22,100.514,-0.0225984,22931.13,51.432,10137.95,69.396,-0.03459183,55.897,111.547,0.1718726,144000000000000.0,67600000000000.0,3.18e+24,48.018,3907.68335,5.435,2363.001
214,3686,11967,M1.5,2014.02.03_04:02_TAI,7.48e+22,100.576,-0.02922837,25132.4,52.4,10216.24,71.938,-0.04160662,56.549,112.061,0.14506125,144000000000000.0,94500000000000.0,3.33e+24,48.538,3883.043701,5.392,2920.265
215,3686,11967,M1.3,2014.02.04_04:20_TAI,7.26e+22,103.503,-0.02909567,24295.7,51.607,9942.423,72.61,-0.04130598,55.043,114.456,0.26816192,138000000000000.0,99500000000000.0,3.06e+24,47.329,3926.352051,5.345,2756.146
216,3686,11967,M1.5,2014.02.05_11:05_TAI,7.58e+22,108.015,-0.01639181,18829.84,40.867,9109.428,67.541,-0.02572921,48.966,115.7,0.09111582,128000000000000.0,54800000000000.0,2.51e+24,42.139,3652.694336,5.227,1646.983
217,3686,11967,M2.0,2014.02.05_16:56_TAI,7.74e+22,108.028,-0.01725277,18479.2,37.948,8989.218,65.806,-0.0260811,47.184,116.805,0.10359507,125000000000000.0,46800000000000.0,2.45e+24,40.708,3568.322998,5.346,1720.308
218,3688,11968,M1.9,2014.02.05_22:29_TAI,5.3e+22,110.343,-0.01181032,9698.509,33.022,4732.087,63.597,-0.02685616,45.335,118.426,-0.07606833,93300000000000.0,51600000000000.0,1.01e+24,39.167,2256.464355,5.011,924.855
219,3721,11974,M1.8,2014.02.10_04:51_TAI,1.93e+22,109.445,0.00257163,7632.024,35.428,1779.308,64.428,0.00669202,49.727,110.408,0.11392076,36300000000000.0,2390000000000.0,3.3e+23,39.49,1108.456909,4.162,83.758
220,3721,11974,M3.7,2014.02.10_16:25_TAI,1.77e+22,110.173,0.00334851,8138.887,38.191,1825.18,68.458,0.00900123,51.879,111.749,0.21276103,39000000000000.0,3400000000000.0,3.38e+23,40.664,1180.389648,4.376,104.631
221,3721,11974,M2.3,2014.02.10_18:58_TAI,1.77e+22,116.175,-0.00317645,9576.688,40.311,2017.79,74.06,-0.00758513,53.308,118.603,0.17322901,38800000000000.0,7780000000000.0,3.71e+23,41.896,1250.762939,4.482,92.682
222,3721,11974,M2.1,2014.02.11_03:51_TAI,2.01e+22,110.63,-0.0149517,10891.84,45.944,2692.475,75.197,-0.0365941,56.571,117.364,0.17045447,47400000000000.0,17400000000000.0,4.98e+23,45.136,1356.470215,4.755,514.802
223,3721,11974,M1.0,2014.02.11_14:51_TAI,2.28e+22,112.532,-0.00469964,10316.45,46.446,3071.076,75.576,-0.01222716,56.495,119.109,0.39759538,58400000000000.0,8200000000000.0,5.51e+23,45.328,1565.949341,4.894,189.095
224,3721,11974,M1.0,2014.02.11_20:12_TAI,2.6e+22,114.22,-0.00461692,9832.335,47.33,3633.411,77.591,-0.01214596,57.389,120.558,0.23039971,67600000000000.0,5580000000000.0,6.1e+23,46.233,1643.31897,4.937,215.601
225,3721,11974,M1.6,2014.02.13_00:40_TAI,3.23e+22,114.838,0.00096113,13096.7,49.127,4766.846,80.885,0.00214925,57.347,124.026,0.18061993,86900000000000.0,6250000000000.0,9.33e+23,47.262,1735.776733,5.099,51.547
226,3721,11974,M1.1,2014.02.13_01:28_TAI,3.22e+22,114.329,0.00057394,13156.36,49.421,4850.994,80.395,0.00128436,57.366,123.847,0.22058354,87700000000000.0,6870000000000.0,9.37e+23,47.262,1744.284912,5.062,30.773
227,3721,11974,M1.0,2014.02.13_04:39_TAI,3.28e+22,116.53,0.0009011,13897.76,49.438,5053.041,83.941,0.00195192,57.291,125.758,0.22831392,89200000000000.0,6880000000000.0,9.85e+23,47.131,1802.157715,5.122,48.094
228,3740,11977,M1.1,2014.02.14_21:26_TAI,2.47e+22,100.582,0.00227271,7718.798,36.671,1962.556,55.944,0.00672009,47.491,104.098,0.26588252,44200000000000.0,6030000000000.0,4.35e+23,40.639,1285.918335,4.415,96.497
229,3730,11976,M3.0,2014.02.18_19:56_TAI,2.15e+22,93.557,0.00856985,7767.688,25.479,1337.833,43.855,0.02008976,39.351,99.628,-0.206698,26300000000000.0,6270000000000.0,3.28e+23,33.355,750.022217,4.101,272.221
230,3766,11982,M1.1,2014.02.25_03:01_TAI,5.15e+22,106.007,-0.00400763,6309.792,36.601,4426.518,59.312,-0.01191475,48.425,106.84,0.25573787,92800000000000.0,12000000000000.0,7.62e+23,40.431,2646.446533,4.557,364.342
231,3779,11986,M1.1,2014.03.01_11:19_TAI,1.69e+22,95.992,0.0008845,1213.005,0.974,703.143,32.013,0.00337531,23.534,96.1,-0.21447863,15800000000000.0,2970000000000.0,4.32e+22,19.566,438.318451,2.189,23.698
232,3784,11989,M1.2,2014.03.02_03:58_TAI,3.37e+22,124.755,-0.00457084,4525.13,18.657,2698.117,60.728,-0.01332776,38.881,125.64,0.42234668,57000000000000.0,11800000000000.0,3.24e+23,30.62,2451.763184,4.041,246.336
233,3804,11991,M1.0,2014.03.03_14:10_TAI,1.79e+22,103.496,-0.01015732,11787.99,49.878,1757.075,71.931,-0.02159959,56.586,107.002,0.17909758,37400000000000.0,12800000000000.0,4.5e+23,47.284,847.307373,4.539,291.698
234,3836,12002,M1.7,2014.03.09_03:28_TAI,1.03e+22,98.401,-0.01035876,5201.167,11.867,772.537,56.302,-0.02321976,34.685,109.362,-0.09395811,13100000000000.0,7430000000000.0,9.5e+22,27.832,247.86618,4.074,142.464
235,3813,11996,M1.4,2014.03.09_11:00_TAI,1.62e+22,121.053,-0.00537308,5033.872,24.012,1352.578,64.095,-0.01474801,42.636,123.583,-0.04153223,28200000000000.0,6240000000000.0,1.71e+23,34.599,810.891296,4.304,137.502
236,3813,11996,M3.5,2014.03.09_15:50_TAI,1.72e+22,119.837,-0.00270252,5263.789,23.002,1356.522,62.621,-0.00686372,41.353,122.284,-0.4193269,28600000000000.0,5680000000000.0,1.83e+23,33.535,781.70166,4.322,70.563
237,3813,11996,M2.5,2014.03.10_23:05_TAI,3.27e+22,89.841,-0.00704239,5665.846,17.725,2302.657,49.884,-0.01691256,37.154,97.306,-0.1138588,42000000000000.0,16300000000000.0,3.55e+23,30.597,955.908875,4.462,332.415
238,3813,11996,M9.3,2014.03.11_10:34_TAI,3.53e+22,91.214,-0.00672539,6768.349,20.341,2370.708,47.969,-0.01425122,37.155,99.198,-0.24591269,39700000000000.0,12400000000000.0,4.24e+23,31.267,1041.531616,4.564,317.479
239,3856,12010,M1.7,2014.03.18_15:56_TAI,2.61e+22,107.487,0.00879488,2193.248,6.47,1751.136,46.74,0.02975369,31.013,108.687,0.2212702,37800000000000.0,18500000000000.0,1.22e+23,24.906,999.652405,3.63,367.564
240,3877,12011,M1.1,2014.03.20_19:02_TAI,1.65e+22,101.25,-0.01457178,12720.31,41.559,1689.773,68.068,-0.02195945,49.37,110.545,-0.08269991,25500000000000.0,10500000000000.0,3.55e+23,41.848,532.014771,4.444,306.153
241,3894,12017,M2.0,2014.03.27_07:18_TAI,1.05e+22,123.092,0.0077582,8105.122,33.851,955.437,76.164,0.01641936,50.42,122.066,0.26636672,18500000000000.0,4460000000000.0,1.68e+23,37.915,735.202393,3.005,121.299
242,3894,12017,M2.6,2014.03.27_11:51_TAI,1.06e+22,116.135,0.00515838,6712.437,33.551,893.885,70.852,0.01364574,50.592,114.377,0.17623706,19900000000000.0,4140000000000.0,1.61e+23,38.812,759.631897,3.578,93.196
243,3894,12017,M2.1,2014.03.28_23:55_TAI,1.14e+22,120.912,0.01372961,6821.76,27.245,1104.542,65.491,0.03801365,44.036,126.431,0.25716665,22100000000000.0,14600000000000.0,1.68e+23,35.206,760.341797,4.201,254.684
244,3879,12014,M1.4,2014.03.29_20:07_TAI,3.14e+22,89.778,-0.00091905,5379.64,16.105,1616.021,39.916,-0.00236699,34.236,92.977,-0.12424006,33700000000000.0,3400000000000.0,3.33e+23,30.139,922.447021,4.05,42.784
245,4000,12035,M1.0,2014.04.15_07:59_TAI,4.6e+22,99.934,0.00898022,4216.844,18.641,3014.668,46.36,0.02932652,37.593,101.794,0.12899043,65800000000000.0,26800000000000.0,4.33e+23,30.842,1773.037476,4.316,694.539
246,4097,12056,M5.2,2014.05.06_22:07_TAI,8.1e+22,66.258,0.00169035,10304.97,30.15,4406.659,36.179,0.00344251,42.791,76.244,-0.04047066,74600000000000.0,3560000000000.0,1.55e+24,35.261,2295.241455,0.0,191.672
247,4138,12065,M1.3,2014.05.23_06:35_TAI,1.77e+22,121.399,0.00293774,2552.01,12.485,1309.884,54.446,0.01024415,34.968,121.518,0.15338832,27800000000000.0,7540000000000.0,1e+23,27.998,875.299011,3.889,86.71
248,4186,12077,M1.3,2014.06.01_16:09_TAI,1.41e+22,90.137,0.00737659,5059.199,20.574,810.932,44.232,0.02258195,39.307,92.512,0.0815283,18200000000000.0,8880000000000.0,1.57e+23,32.966,370.692688,3.917,172.207
249,4197,12080,M1.4,2014.06.05_07:31_TAI,2.18e+22,101.727,0.00829183,3240.87,10.977,1493.628,44.817,0.02720905,32.479,104.035,0.05733905,30600000000000.0,8830000000000.0,1.54e+23,26.614,711.246826,4.342,297.246
250,4197,12080,M1.8,2014.06.09_17:34_TAI,5.49e+22,102.344,0.00688547,11751.15,47.843,4729.915,64.498,0.014642,54.388,109.131,0.21680811,96700000000000.0,31600000000000.0,1.34e+24,45.724,3052.432129,4.901,590.23
251,4197,12085,M1.8,2014.06.10_21:37_TAI,6.53e+22,98.06,0.00320473,11076.67,43.331,4982.349,58.189,0.00677666,50.646,102.968,0.04508979,104000000000000.0,12500000000000.0,1.46e+24,43.631,3080.435303,4.848,317.602
252,4231,12089,M1.1,2014.06.11_08:03_TAI,2.03e+21,159.241,0.01768201,5443.834,21.115,274.465,92.422,0.04794282,44.269,168.091,-0.26639035,5070000000000.0,3480000000000.0,2.26e+22,32.428,107.165848,3.696,55.186
253,4197,12085,M1.1,2014.06.13_23:39_TAI,1.15e+23,67.027,0.00226156,9434.412,25.978,5974.291,35.555,0.00468209,39.515,77.258,-0.01044967,101000000000000.0,15700000000000.0,1.96e+24,33.765,3344.658936,4.415,353.746
254,4225,12087,M1.0,2014.06.14_12:01_TAI,2.78e+22,106.161,0.02253679,4963.302,22.736,2275.792,50.203,0.07275725,39.602,106.45,0.39703304,48000000000000.0,42900000000000.0,3.13e+23,33.794,1178.746338,0.0,1069.821
255,4294,12106,M1.5,2014.07.09_10:34_TAI,3.56e+22,100.957,-0.00076636,2937.295,8.78,1820.331,40.54,-0.00226703,29.992,101.83,-0.19654651,38400000000000.0,5650000000000.0,2.06e+23,24.199,1150.570312,3.992,40.523
256,4396,12130,M2.0,2014.07.31_02:48_TAI,5.73e+22,91.467,-0.00034626,6404.007,23.711,3608.585,45.33,-0.00091227,39.724,97.026,-0.14115353,71300000000000.0,6700000000000.0,7.45e+23,33.428,1831.775269,0.0,30.321
257,4639,12182,M1.3,2014.10.07_13:43_TAI,1.81e+22,129.09,-0.00010236,2834.152,10.248,1321.743,55.217,-0.00034238,33.072,129.635,0.28366101,28500000000000.0,4280000000000.0,1.08e+23,26.143,1423.030762,3.659,2.941
258,4639,12182,M1.4,2014.10.07_13:58_TAI,1.84e+22,128.63,3.25e-05,2814.486,10.435,1368.229,55.551,0.00011078,33.169,128.868,0.24472709,29800000000000.0,3790000000000.0,1.1e+23,26.245,1436.24353,3.686,0.959
259,4698,12192,M3.9,2014.10.18_21:11_TAI,1.33e+23,74.467,-0.00628705,13686.56,31.584,7717.978,40.771,-0.01122509,42.468,84.434,-0.02785411,131000000000000.0,38200000000000.0,3.12e+24,37.133,3995.536377,4.957,1078.719
