,HARPNUM,NOAANUM,CLASS,PEAKTIME,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH
0,377,11158,X2.2,2011.02.13_13:56_TAI,1.74e+22,110.305,0.0269153,13063.93,52.876,2575.372,83.372,0.06064697,59.751,119.75,0.09912507,44800000000000.0,26300000000000.0,5.1e+23,49.919,776.300354,4.728,790.906
1,401,11166,M2.0,2011.03.06_02:30_TAI,2.76e+22,91.339,-0.00436145,10385.64,42.248,1804.829,52.444,-0.00871083,48.924,96.108,0.11228573,35800000000000.0,6300000000000.0,5.49e+23,41.769,967.674744,4.254,173.529
2,393,11164,M3.7,2011.03.06_08:12_TAI,5.71e+22,93.323,0.00775337,10983.51,34.062,4354.476,53.287,0.01605595,44.227,103.374,0.05254352,82900000000000.0,39300000000000.0,1.19e+24,38.558,2116.946533,5.082,631.9
3,637,11226,M2.5,2011.06.05_18:41_TAI,2.32e+22,114.006,0.00886903,4568.461,18.244,1608.422,52.416,0.02731529,37.849,115.458,0.12027697,33500000000000.0,18800000000000.0,2.25e+23,30.918,1095.482422,4.303,329.059
4,750,11261,M6.0,2011.08.02_01:48_TAI,2.06e+22,111.825,0.03330122,14011.66,46.641,2840.259,78.565,0.07212018,55.638,120.666,0.07327458,45600000000000.0,42300000000000.0,5.93e+23,45.41,1273.533447,4.784,1061.609
5,750,11261,M9.3,2011.08.02_15:57_TAI,1.96e+22,106.54,0.03188976,11877.49,45.542,2484.24,71.944,0.07886149,53.843,112.535,0.26985049,41600000000000.0,39600000000000.0,5.16e+23,44.659,1256.206299,4.739,1044.103
6,833,11283,X1.8,2011.09.06_10:38_TAI,1.61e+22,109.015,0.0083264,9216.73,39.491,1661.601,68.339,0.02405243,51.496,110.552,0.3638669,34100000000000.0,13200000000000.0,3.49e+23,41.612,1297.287842,4.352,237.386
7,1321,11402,M8.7,2012.01.21_15:59_TAI,5.84e+22,106.148,-0.01024404,8590.774,34.821,4605.517,59.165,-0.02584729,46.778,109.184,0.18862098,98000000000000.0,25000000000000.0,1.07e+24,38.945,3315.342773,4.793,957.306
8,1321,11402,X1.8,2012.01.26_06:37_TAI,5.8e+22,71.71,-0.00731494,3844.322,10.757,2507.335,31.964,-0.0204142,29.869,76.673,0.0099841,48200000000000.0,26300000000000.0,4.33e+23,22.601,1212.75708,4.643,620.204
9,1449,11429,X1.1,2012.03.03_16:09_TAI,3.51e+22,55.37,-0.02306779,15935.68,43.962,2179.433,37.533,-0.03168762,48.911,74.715,0.15495391,28700000000000.0,33100000000000.0,8.33e+23,43.77,1199.032715,4.556,907.925
10,1449,11429,X5.4,2012.03.05_12:24_TAI,4.77e+22,84.271,-0.0265606,16026.35,41.305,4224.59,58.89,-0.03984113,49.304,101.535,0.03793158,64300000000000.0,52800000000000.0,1.23e+24,43.868,1552.376343,4.95,1538.018
11,1449,11430,X1.3,2012.03.05_13:14_TAI,4.81e+22,84.603,-0.02767894,15974.75,40.728,4221.199,58.667,-0.04135624,49.068,102.315,0.03858977,63600000000000.0,55800000000000.0,1.24e+24,43.647,1559.189941,4.996,1611.412
12,1449,11429,M6.3,2012.03.07_15:53_TAI,5.65e+22,90.408,-0.02921071,16107.17,52.89,5870.174,63.439,-0.05620049,55.409,102.833,-0.02573578,101000000000000.0,89900000000000.0,1.76e+24,48.885,2318.640869,5.284,2402.785
13,1449,11429,M8.4,2012.03.09_05:44_TAI,5.02e+22,97.247,-0.02623654,13906.97,48.328,4497.273,62.425,-0.05331531,52.542,104.717,-0.04317858,82900000000000.0,87100000000000.0,1.37e+24,45.581,2350.527832,4.997,1942.396
14,1449,11429,M7.9,2012.03.12_05:41_TAI,5.48e+22,94.399,-0.01513538,9579.588,29.963,3544.214,48.169,-0.03194812,41.794,98.917,-0.19338351,68000000000000.0,50600000000000.0,9.84e+23,36.071,1891.246704,4.631,1170.57
15,1638,11476,M5.1,2012.05.15_13:47_TAI,4.57e+22,86.257,-0.00806555,7368.469,20.736,2501.177,40.117,-0.01869225,36.767,90.221,-0.16944195,48300000000000.0,28800000000000.0,6.38e+23,31.476,1351.406128,4.585,526.148
16,1750,11504,M1.2,2012.06.12_01:17_TAI,3.12e+22,100.358,0.00500624,8603.95,36.713,2314.422,60.35,0.01065666,47.688,107.916,-0.02410121,46900000000000.0,4290000000000.0,5.23e+23,40.483,1196.090942,4.693,229.04
17,1807,11515,X1.1,2012.07.05_11:08_TAI,5.07e+22,109.536,-0.01301609,13827.4,41.249,5758.624,70.76,-0.02404683,50.274,121.899,-0.10846316,96500000000000.0,19300000000000.0,1.31e+24,42.897,2172.993652,5.213,927.436
18,1834,11520,X1.4,2012.07.11_04:49_TAI,9.52e+22,95.907,0.00876598,11822.08,43.82,7395.614,56.309,0.01926593,51.686,100.142,0.24195127,147000000000000.0,60900000000000.0,2.38e+24,44.433,4697.911621,5.08,1331.369
19,1834,11520,M1.8,2012.07.16_05:15_TAI,1.18e+23,83.783,0.0049753,8885.825,25.717,6953.045,41.718,0.01044633,39.739,90.084,-0.10073915,128000000000000.0,36800000000000.0,1.95e+24,33.778,3506.539551,4.96,822.417
20,1879,11532,M6.2,2012.07.27_08:56_TAI,8.78e+22,80.911,-0.00264053,5443.6,18.145,4363.23,37.847,-0.00680258,35.531,86.742,-0.05453749,83200000000000.0,12300000000000.0,9.36e+23,29.307,2392.012939,4.43,341.682
21,2220,11618,M3.5,2012.11.20_03:30_TAI,1.61e+22,125.575,-0.01949233,7208.939,31.562,2131.047,77.317,-0.0465189,48.456,132.804,0.34347311,37600000000000.0,14200000000000.0,2.39e+23,37.916,856.428955,4.573,485.905
22,2635,11719,M6.5,2013.04.09_19:16_TAI,2.06e+22,109.702,-0.01126122,6995.061,28.588,1736.791,57.668,-0.02762098,43.123,111.92,0.33303988,35200000000000.0,11800000000000.0,2.94e+23,36.284,1051.927612,4.189,356.384
23,2739,11745,M5.0,2013.05.21_01:32_TAI,2.99e+22,88.801,-0.00228152,3140.347,10.927,1314.458,34.367,-0.00763307,30.345,91.108,0.00693055,29600000000000.0,3570000000000.0,2.01e+23,25.632,884.953186,3.201,109.782
24,2790,11762,M5.9,2013.06.06_10:49_TAI,2.89e+22,78.764,0.01147966,6605.467,23.644,1567.897,39.907,0.0252307,38.285,84.152,-0.43077397,27600000000000.0,21300000000000.0,3.48e+23,30.645,744.646606,4.426,455.742
