,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,8,11069,M1.2,2010.05.05_05:19_TAI,8.218006e+21,104.576,-0.02858981,6956.294,17.711,804.506,57.682,-0.06215115,37.419,113.83,0.01561382,12583300000000.0,11804430000000.0,1.062031e+23,30.822,221.451202,4.197,328.64
1,54,11081,M2.0,2010.06.11_12:57_TAI,2.492258e+21,136.018,-0.01067006,3867.412,26.318,266.345,73.914,-0.02801483,45.745,143.165,-0.51339287,5566317000000.0,2072907000000.0,2.074468e+22,35.722,91.149933,3.231,43.086
2,115,11093,M1.0,2010.08.07_06:24_TAI,1.291028e+22,96.459,-0.00584239,8250.659,24.915,869.41,42.809,-0.0143567,39.289,96.397,-0.1721857,16864430000000.0,1866188000000.0,2.194078e+23,34.03,510.853424,3.739,116.988
3,211,11112,M2.9,2010.10.16_07:12_TAI,1.18678e+22,131.391,0.00288457,3811.955,16.53,993.808,63.644,0.00821481,37.853,132.928,0.37282902,19683660000000.0,6300825000000.0,9.150875e+22,29.788,696.704041,4.0,52.141
4,245,11121,M5.4,2010.11.06_03:36_TAI,2.598392e+22,88.15,0.00072538,2347.871,7.347,1336.263,37.386,0.00207232,27.64,92.776,0.0967373,26080910000000.0,1877915000000.0,1.160735e+23,22.769,548.855286,4.046,27.002
5,377,11158,M6.6,2011.02.13_05:38_TAI,1.250015e+22,112.35,0.02521585,9586.912,50.103,1814.469,83.279,0.06796505,59.725,118.404,0.13935535,34425680000000.0,22501870000000.0,2.97645e+23,48.945,574.865662,4.656,589.496
6,377,11158,M2.2,2011.02.14_05:26_TAI,2.31322e+22,98.992,0.02189833,15359.87,57.868,2858.902,73.307,0.04572924,60.477,108.353,0.09070126,49966090000000.0,17156630000000.0,7.623972e+23,51.407,1008.172302,4.967,818.45
7,384,11161,M1.1,2011.02.15_19:44_TAI,1.583015e+22,111.274,-0.01404452,7778.299,24.627,1428.679,61.943,-0.02776583,42.338,118.889,-0.14175706,24263720000000.0,6742030000000.0,2.202133e+23,35.49,584.009949,4.488,299.387
8,377,11158,M1.6,2011.02.16_02:25_TAI,2.769748e+22,98.424,0.02600396,14370.5,53.262,3196.524,68.185,0.05061166,55.707,109.978,0.32540411,55416610000000.0,34606690000000.0,8.018418e+23,48.878,1082.296997,4.763,1092.505
9,377,11158,M6.6,2011.02.17_22:11_TAI,3.550232e+22,97.354,0.01586254,11323.3,37.159,3255.458,61.35,0.02955703,47.167,106.617,0.06650361,54518170000000.0,27361110000000.0,7.398621e+23,40.936,1115.798218,4.82,780.421
10,384,11162,M1.0,2011.02.17_22:26_TAI,1.537188e+22,110.641,-0.00433871,8400.286,40.993,1316.236,65.845,-0.01049289,52.291,111.389,0.36190766,28280020000000.0,4778088000000.0,2.868641e+23,42.546,766.605164,3.813,111.566
11,377,11158,M1.4,2011.02.18_01:03_TAI,3.56562e+22,93.166,0.01378401,11007.56,35.594,3196.389,57.492,0.02673303,46.345,103.785,0.10323603,52167990000000.0,21191720000000.0,7.332359e+23,39.953,1086.963867,4.694,691.365
