,HARPNUM,NOAANUM,CLASS,PEAKTIME,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,USFLUX_diff,MEANGBT_diff,MEANJZH_diff,MEANPOT_diff,SHRGT45_diff,TOTUSJH_diff,MEANGBH_diff,MEANALP_diff,MEANGAM_diff,MEANGBZ_diff,MEANJZD_diff,TOTUSJZ_diff,SAVNCPP_diff,TOTPOT_diff,MEANSHR_diff,AREA_ACR_diff,R_VALUE_diff,ABSNJZH_diff
0,8,11069,M1.2,2010-05-04 17:19:00,5.987544e+21,112.002,-0.0241965,5501.074,25.269,720.336,62.781,-0.06723806,43.847,125.326,-0.12102426,13372850000000.0,9859024000000.0,7.265489e+22,36.054,171.006271,4.072,240.634,,,,,,,,,,,,,,,,,,
1,49,11079,M1.0,2010-06-12 05:39:00,2.355847e+21,111.543,-0.00649765,3562.911,11.591,176.57,48.468,-0.01452075,33.674,126.283,-0.36591971,3090533000000.0,1221765000000.0,1.51036e+22,26.255,48.475544,3.192,20.74,,,,,,,,,,,,,,,,,,
2,115,11093,M1.0,2010-08-06 18:24:00,1.628014e+22,89.979,-0.00530818,6295.134,19.619,942.902,39.346,-0.01510972,37.157,89.782,-0.14628448,19542480000000.0,2124900000000.0,2.24522e+23,31.719,470.634491,3.818,142.551,,,,,,,,,,,,,,,,,,
3,211,11112,M2.9,2010-10-15 19:12:00,1.104408e+22,128.494,0.00053409,2971.182,12.117,855.488,59.704,0.00191748,35.838,128.672,0.72400463,18648530000000.0,7092123000000.0,7.395334e+22,27.692,703.612671,3.707,10.009,,,,,,,,,,,,,,,,,,
4,345,11149,M1.3,2011-01-27 01:03:00,1.812796e+22,61.379,0.00556161,7593.361,24.858,878.336,32.508,0.01279436,40.577,68.417,-0.33720404,14402410000000.0,8784931000000.0,2.608914e+23,29.979,515.142334,4.015,143.879,3.9720399999999987e+21,16.079,0.00237267,534.7849999999999,3.655000000000001,247.47599999999989,2.9849999999999994,0.00531846,4.457999999999998,14.867000000000004,0.11492938000000003,6497590000000.0,1594931000000.0,3.1108599999999987e+22,1.149000000000001,48.910766999999964,0.1750000000000007,44.49199999999999
5,362,11153,M1.9,2011-02-08 01:31:00,1.017101e+22,84.182,-0.002347,3373.081,11.46,536.272,40.112,-0.00626775,32.987,88.18,-0.19513364,10166150000000.0,1490940000000.0,6.688043e+22,26.689,240.660339,3.782,35.038,3.2010099999999997e+21,29.286999999999992,0.00012159999999999992,276.1369999999997,0.9930000000000003,72.01300000000003,13.274999999999999,3.252000000000029e-05,0.007999999999995566,32.76799999999999,0.17817868,786150000000.0,609060000000.0,1.9480430000000003e+22,0.6039999999999992,41.31925899999999,0.16500000000000004,10.887999999999998
6,377,11158,M6.6,2011-02-12 17:38:00,5.466512e+21,121.227,-0.00157128,5202.92,34.474,497.171,78.803,-0.00450468,53.747,119.24,0.25255057,11105230000000.0,1266448000000.0,6.762531e+22,40.947,302.56897,3.473,15.378,5.265119999999995e+20,4.162999999999997,0.01051572,554.848,4.641999999999996,45.822,1.7980000000000018,0.02539684,4.143000000000001,5.990000000000009,0.13892063,2415230000000.0,2123552000000.0,8.62531e+21,3.0960000000000036,69.868271,0.06899999999999995,53.673
7,377,11158,M2.2,2011-02-13 17:26:00,1.879846e+22,104.174,0.02375576,14077.77,55.601,2627.275,79.392,0.05185017,60.309,112.614,0.01359574,45529300000000.0,19789300000000.0,5.793296e+23,50.653,837.608398,4.803,736.12,6.39846e+21,8.920999999999992,0.002854889999999999,4434.9310000000005,5.805,865.268,4.503,0.019412029999999997,0.7849999999999966,6.60199999999999,0.18097143000000002,12129300000000.0,3410700000000.0,2.843296e+23,2.0249999999999986,270.680114,0.133,122.82399999999996
8,384,11161,M1.1,2011-02-15 07:44:00,1.171459e+22,111.583,-0.00836099,3735.856,14.595,877.359,55.372,-0.02069247,36.63,117.052,-0.23794883,16512450000000.0,4169352000000.0,8.403092e+22,29.142,356.131836,4.172,141.61,4.17459e+21,4.003,0.0025945000000000005,1277.8010000000004,10.901,423.22700000000003,9.643999999999998,0.00582385,8.662000000000003,5.496000000000009,0.17131415,8002450000000.0,1779352000000.0,4.943092000000001e+22,6.849999999999998,221.96565300000003,0.8679999999999999,80.56600000000002
9,377,11158,M1.6,2011-02-15 14:25:00,2.605934e+22,92.424,0.02403116,14984.81,57.563,3013.313,66.699,0.05083205,58.373,100.389,0.2000917,52286680000000.0,29798980000000.0,8.292732e+23,50.865,1096.292847,4.861,1001.403,5.406599999999967e+20,4.8729999999999905,0.002090390000000001,1253.2600000000002,0.37700000000000244,270.2039999999997,3.105000000000004,0.0089558,0.3710000000000022,6.186999999999998,0.10261134999999996,4413320000000.0,8798980000000.0,3.872680000000004e+22,0.46999999999999886,6.990111999999954,0.03399999999999981,118.39700000000005
